TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,5,10,0.648223555991,0.24147023019118263
1,1,5,10,0.689387894524,0.120312166789397
2,1,5,10,0.489573554057,0.18341920326419303
3,1,5,10,0.56358495976,0.05229852086558993
4,1,5,10,0.726991728737,0.1194845463693939
5,1,5,10,0.67219665626,0.06598707968213309
6,1,5,10,0.668484332287,0.12676045635441047
7,1,5,10,0.613734975895,0.13161272498850693
8,1,5,10,0.633228724898,0.20246475783986542
9,1,5,10,0.597688983589,0.06618453438114186
10,1,5,10,0.568806749187,0.07984077576349217
11,1,5,10,0.550125457627,0.15363858971777933
12,1,5,10,0.814689735256,0.06686064625649704
13,1,5,10,0.660728165257,0.09000155939488862
14,1,5,10,0.589481492485,0.08927963104024099
15,1,5,10,0.622325632001,0.1326010737440272
16,1,5,10,0.661058261549,0.08582207785375341
17,1,5,10,0.661508658461,0.17589395692002102
18,1,5,10,0.730619846603,0.10076676565981256
19,1,5,10,0.586955087546,0.1797161637773976
20,1,5,10,0.710340795797,0.12017137868013132
21,1,5,10,0.640518137019,0.0851975581939591
22,1,5,10,0.549410420187,0.1348352232081896
23,1,5,10,0.730223203284,0.06566408761072386
24,1,5,10,0.603912571354,0.121195161218975
0,1,50,10,0.382715261706,0.06332263470645687
1,1,50,10,0.361312839018,0.07405730805648188
2,1,50,10,0.384234435263,0.05389221302639355
3,1,50,10,0.376369495091,0.061919532584063505
4,1,50,10,0.360721364444,0.06743690942643213
5,1,50,10,0.373154847314,0.0634489706381538
6,1,50,10,0.361039459217,0.06942738903885098
7,1,50,10,0.373099483185,0.047880764601566025
8,1,50,10,0.384641250446,0.059883832873551215
9,1,50,10,0.369576753619,0.05682308488525868
10,1,50,10,0.369618188003,0.05737784227445754
11,1,50,10,0.352869551227,0.061102157984120546
12,1,50,10,0.373719233171,0.0633417782700527
13,1,50,10,0.384846208622,0.06222483158780958
14,1,50,10,0.380135174801,0.0576469576203787
15,1,50,10,0.376837799019,0.058308118560856256
16,1,50,10,0.364336108225,0.05280183590332956
