TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,100,1,0.00643354620386,0.006041171370374628
1,1,100,1,0.00710969275505,0.007429570313826906
2,1,100,1,0.00772056337176,0.008036086348647688
3,1,100,1,0.0076379743406,0.0062129310251638845
4,1,100,1,0.00682684791969,0.007210614910071862
5,1,100,1,0.00688640266892,0.007052834639082826
6,1,100,1,0.00715399475088,0.008176196461037556
7,1,100,1,0.00747070115435,0.007845017285296952
8,1,100,1,0.00828864720517,0.00829713006840174
9,1,100,1,0.00750655044355,0.008136083759456377
10,1,100,1,0.00669835618249,0.006586434966651981
11,1,100,1,0.0068640727102,0.007280632533033965
12,1,100,1,0.00779470493139,0.007271994686644214
13,1,100,1,0.00687488200598,0.007813014491652599
14,1,100,1,0.00706725193892,0.007676789738660292
15,1,100,1,0.00759352862264,0.006723430777745494
16,1,100,1,0.00768585089252,0.008766772427023933
17,1,100,1,0.00642613596288,0.00697916765326583
18,1,100,1,0.00753405587278,0.006142568410511401
19,1,100,1,0.00639063535022,0.0064121689510406
20,1,100,1,0.00672174817448,0.005774693816495261
21,1,100,1,0.00714361897146,0.007701417295017746
22,1,100,1,0.0069384140173,0.007797765684108955
23,1,100,1,0.00617238608661,0.0057047877665358715
24,1,100,1,0.00569159399485,0.006641626376911613
0,1,100,2,0.0437079071458,0.027041743238717886
1,1,100,2,0.0560830805699,0.026899180364723455
2,1,100,2,0.0454737517277,0.027539287622557886
3,1,100,2,0.0508800138671,0.02654144674980218
4,1,100,2,0.0484526474376,0.024670595694784726
5,1,100,2,0.0450244463865,0.022217337882797623
6,1,100,2,0.0519926939939,0.027438711023048633
7,1,100,2,0.0469141474007,0.02866521132744911
8,1,100,2,0.0463916429473,0.024593563814975298
9,1,100,2,0.0501434070667,0.02428006625821394
10,1,100,2,0.0435757665249,0.02739775631754396
11,1,100,2,0.0471158159441,0.027069307196626084
12,1,100,2,0.0454743872144,0.025825567017991925
13,1,100,2,0.0437986278821,0.026297248716549763
14,1,100,2,0.0434394666102,0.027957847310240418
15,1,100,2,0.0469085406317,0.026355368107103105
16,1,100,2,0.0432927308507,0.02344586472700412
17,1,100,2,0.0500964699035,0.03019892324351509
18,1,100,2,0.0548895804168,0.0247727577930606
19,1,100,2,0.0488553600602,0.030461581616248345
20,1,100,2,0.0517370427867,0.02750260236809906
21,1,100,2,0.0471941749231,0.028214569990753797
22,1,100,2,0.0469467905601,0.02561256048148921
23,1,100,2,0.0437655840723,0.02387205132728603
24,1,100,2,0.0451499252196,0.029810440662998247
0,1,100,3,0.092771824824,0.04150327171190277
1,1,100,3,0.101378119486,0.04309290101305751
2,1,100,3,0.0966942153462,0.034290977045205125
3,1,100,3,0.0958673662306,0.04407930161902517
4,1,100,3,0.0978926696194,0.03750355851434655
5,1,100,3,0.10128109196,0.04313803871050901
6,1,100,3,0.100610223949,0.040493684700918825
7,1,100,3,0.103590738818,0.03417085928032008
8,1,100,3,0.107567546457,0.04018870322857852
9,1,100,3,0.0979507052382,0.03902582702697705
10,1,100,3,0.101732959013,0.03605384780650768
11,1,100,3,0.0992143564341,0.041896173344141745
12,1,100,3,0.103637999483,0.03867086150698312
13,1,100,3,0.0963118969727,0.03906243090721127
14,1,100,3,0.10397474382,0.042818377360174686
15,1,100,3,0.0942031328256,0.039303397223493276
16,1,100,3,0.0960638416304,0.037002431192181696
17,1,100,3,0.100822621838,0.04024154972609164
18,1,100,3,0.104240526613,0.04076282861221035
19,1,100,3,0.0913093682117,0.042193618829243704
20,1,100,3,0.101642244802,0.039450391143169346
21,1,100,3,0.0910977936291,0.03975208466197724
22,1,100,3,0.0933896104733,0.03940559475736305
23,1,100,3,0.102355250496,0.0393745434616139
24,1,100,3,0.0918692144311,0.03485915670116458
0,1,100,4,0.146574972649,0.04139955932301282
1,1,100,4,0.149396603025,0.0447102359691791
2,1,100,4,0.14984008477,0.05005384022459863
3,1,100,4,0.143420319086,0.04827530496224817
4,1,100,4,0.140053260507,0.042765732114659866
5,1,100,4,0.140746499294,0.04993679495510687
6,1,100,4,0.144584341983,0.03978036372171732
7,1,100,4,0.14909644668,0.042686976983937204
8,1,100,4,0.143768236321,0.04307001242239072
9,1,100,4,0.151756572523,0.04345894379148759
10,1,100,4,0.141317885597,0.046113523680474666
11,1,100,4,0.14191115627,0.0443761572620319
12,1,100,4,0.137035905373,0.04319803873674906
13,1,100,4,0.142291470494,0.04233492779733878
14,1,100,4,0.143926707476,0.04549633724381563
15,1,100,4,0.150704819752,0.050172867908256424
16,1,100,4,0.158169260361,0.0411348092073712
17,1,100,4,0.141742130852,0.047714386537618406
18,1,100,4,0.137544732279,0.04737771886278788
19,1,100,4,0.144453177987,0.04736254542254202
20,1,100,4,0.147049680711,0.04571566584490139
21,1,100,4,0.159768210665,0.049139491318321175
22,1,100,4,0.143200058107,0.04455865437925938
23,1,100,4,0.149233332477,0.03985668463699636
24,1,100,4,0.15773698822,0.044633180448463844
0,1,100,5,0.185593807745,0.055504300497714106
1,1,100,5,0.174509189421,0.05974919296897655
2,1,100,5,0.192302399173,0.044506636797958056
3,1,100,5,0.179308262468,0.051534281515296494
4,1,100,5,0.180417741919,0.04055893294835324
5,1,100,5,0.186625764644,0.05604231497435446
6,1,100,5,0.192351082577,0.04534080865501352
7,1,100,5,0.181252292472,0.04783435362228466
8,1,100,5,0.20096216687,0.052852677657677545
9,1,100,5,0.187975125026,0.05375126231205672
10,1,100,5,0.197287042835,0.056914208274626586
11,1,100,5,0.181341232795,0.04737514181266209
12,1,100,5,0.196700738062,0.04887489909136019
13,1,100,5,0.179899285699,0.054644251631895395
14,1,100,5,0.181410499243,0.0483281656875368
15,1,100,5,0.188155713284,0.05276395787469406
16,1,100,5,0.186300997193,0.052841559460908814
17,1,100,5,0.181847963638,0.05557532276331211
18,1,100,5,0.188380405358,0.04271983838586315
19,1,100,5,0.188937588219,0.04981074021443295
20,1,100,5,0.196265257208,0.04367436316837632
21,1,100,5,0.184216680882,0.053583785388044515
22,1,100,5,0.19068947875,0.048402323378499854
23,1,100,5,0.196409331762,0.04573785185392582
24,1,100,5,0.184284195439,0.05348798654965934
0,1,100,6,0.21185097762,0.04498949822300303
1,1,100,6,0.2109778588,0.045806826968894813
2,1,100,6,0.217861366786,0.04962353264063303
3,1,100,6,0.224603969023,0.046203095077633545
4,1,100,6,0.228072741943,0.04810954815727962
5,1,100,6,0.229332725353,0.05677597356559867
6,1,100,6,0.221210436788,0.05539411320564206
7,1,100,6,0.231036421334,0.046500853203814245
8,1,100,6,0.2190570264,0.049392325703747915
9,1,100,6,0.227983702347,0.055470914546363645
10,1,100,6,0.222089257691,0.04777672316251311
11,1,100,6,0.215183953134,0.05056665799395083
12,1,100,6,0.220966501541,0.056146442317114
13,1,100,6,0.226366701885,0.05480771328153481
14,1,100,6,0.218146758959,0.06490899245523188
15,1,100,6,0.228220649138,0.058669305337013526
16,1,100,6,0.223223953947,0.04856446415329084
17,1,100,6,0.213316828807,0.05564619291406962
18,1,100,6,0.227905048892,0.05109596580428214
19,1,100,6,0.225224302493,0.05334060229044322
20,1,100,6,0.212393823516,0.06760806477838101
21,1,100,6,0.230451028771,0.04314287289413817
22,1,100,6,0.222677962188,0.050872017964570956
23,1,100,6,0.225224547679,0.04750502982978944
24,1,100,6,0.213385785891,0.04811708909738148
0,1,100,7,0.244938055454,0.05625069314384097
1,1,100,7,0.25233054218,0.04727337564719701
2,1,100,7,0.24835979785,0.04999101739888479
3,1,100,7,0.246240897156,0.051921982279943955
4,1,100,7,0.260417520698,0.046576381806381136
5,1,100,7,0.248273604286,0.04971570960256493
6,1,100,7,0.254232737575,0.04389184742503981
7,1,100,7,0.257964862625,0.05099238754619616
8,1,100,7,0.251497332772,0.04873779511774006
9,1,100,7,0.252707569446,0.058603924302336366
10,1,100,7,0.252344746928,0.048543009986575125
11,1,100,7,0.25978154213,0.05124398430544192
12,1,100,7,0.235777490158,0.05505330180612055
13,1,100,7,0.258553248029,0.04993372207147597
14,1,100,7,0.254912496447,0.04775533172601206
15,1,100,7,0.255705504098,0.04345323578627599
16,1,100,7,0.259422379786,0.04983935467904762
17,1,100,7,0.255534559083,0.05019118951615898
18,1,100,7,0.255167100275,0.04940246595436865
19,1,100,7,0.246244016878,0.04989191746005126
20,1,100,7,0.261471709749,0.051354006557765064
21,1,100,7,0.25752047061,0.046114647534270845
22,1,100,7,0.249737228644,0.05282704444425917
23,1,100,7,0.238991669449,0.04226818709828886
24,1,100,7,0.253356251829,0.057115363072046545
0,1,100,8,0.272254163084,0.054036553960717146
1,1,100,8,0.260579946523,0.05534970219264683
2,1,100,8,0.274717431857,0.0538740249235585
3,1,100,8,0.284220999393,0.05162377414268694
4,1,100,8,0.282855960707,0.04610683108548172
5,1,100,8,0.2824166879,0.05015848859643758
6,1,100,8,0.282444500177,0.04736238636013177
7,1,100,8,0.280518065408,0.05185368079499441
8,1,100,8,0.284151819125,0.05130776324296844
9,1,100,8,0.280254704937,0.05146027410500628
10,1,100,8,0.276727122945,0.058372482491599764
11,1,100,8,0.281072818631,0.0512425618340331
12,1,100,8,0.265267111195,0.053331892781206466
13,1,100,8,0.285406349008,0.05413331998287084
14,1,100,8,0.286395295873,0.048901263926857216
15,1,100,8,0.289980938026,0.052552648652930876
16,1,100,8,0.271656158268,0.054164194170961015
17,1,100,8,0.27634931627,0.055108100488529634
18,1,100,8,0.293449643783,0.041784984972895595
19,1,100,8,0.280043282804,0.050281567592043136
20,1,100,8,0.273328333715,0.05629537753534876
21,1,100,8,0.284218156816,0.05190127673255268
22,1,100,8,0.277012897906,0.052319045499402986
23,1,100,8,0.283394071678,0.0489030618458037
24,1,100,8,0.277530915783,0.06262566416278458
0,1,100,9,0.313492368786,0.05802392830352749
1,1,100,9,0.3024788281,0.04660018003609346
