TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,1000,20,0.362750524376,0.03231867673374681
1,1,1000,20,0.36211379843,0.03323249945575362
2,1,1000,20,0.362245738594,0.03305840663353307
3,1,1000,20,0.360532308733,0.03283108719135184
4,1,1000,20,0.362875898487,0.032243070005722206
5,1,1000,20,0.362415002099,0.03291284571616894
6,1,1000,20,0.361208314565,0.031944993125127816
7,1,1000,20,0.36187746182,0.03340713256140161
8,1,1000,20,0.361406755464,0.03342862631532387
9,1,1000,20,0.361346286493,0.03351278226162016
10,1,1000,20,0.364977917175,0.03224166360920049
11,1,1000,20,0.364570079358,0.03230892080203806
12,1,1000,20,0.362665160452,0.03212578196299468
13,1,1000,20,0.365529420754,0.03259181079557672
14,1,1000,20,0.360364598643,0.03331272305476578
15,1,1000,20,0.363994694362,0.03214459383627466
16,1,1000,20,0.364590059624,0.033005674252596234
17,1,1000,20,0.362687550236,0.03308502974755299
18,1,1000,20,0.360814477485,0.03357975693058
19,1,1000,20,0.365445847328,0.03116515810661987
20,1,1000,20,0.364088529913,0.0324406529422748
21,1,1000,20,0.361951142409,0.03221021306258102
22,1,1000,20,0.364481665402,0.03126935306443632
23,1,1000,20,0.36265791279,0.032440355316795476
24,1,1000,20,0.363970070095,0.03191381484819775
0,1,1000,30,0.442988933868,0.029471709124678586
1,1,1000,30,0.440819167879,0.03044348077648157
2,1,1000,30,0.442277270701,0.030793142529967177
3,1,1000,30,0.44750797065,0.030319474111517232
4,1,1000,30,0.44215186184,0.030309545269060146
5,1,1000,30,0.446075187567,0.029151769472288133
6,1,1000,30,0.439632027754,0.03014217548251309
7,1,1000,30,0.442834671591,0.030154219763910473
8,1,1000,30,0.438281787349,0.03162717867401085
9,1,1000,30,0.438804401514,0.03010139271785604
10,1,1000,30,0.440554681668,0.030624629532128057
11,1,1000,30,0.441610971874,0.029333580914318955
12,1,1000,30,0.442812017308,0.030035548441205588
13,1,1000,30,0.441969218493,0.030227725275018286
14,1,1000,30,0.438835918393,0.03207883753857964
15,1,1000,30,0.442723011061,0.03142300545805275
16,1,1000,30,0.442155239381,0.030727721246360355
17,1,1000,30,0.441575080301,0.03280912212701972
18,1,1000,30,0.438830480163,0.031080100339457184
19,1,1000,30,0.441051476498,0.030128430916251957
20,1,1000,30,0.441289210857,0.03004457286935131
21,1,1000,30,0.44360344543,0.030483765175015203
22,1,1000,30,0.441222020388,0.03057995850349661
23,1,1000,30,0.442403333671,0.029945903707806084
24,1,1000,30,0.441611854947,0.03203790743177069
0,1,1000,40,0.493862720685,0.02828446534146967
1,1,1000,40,0.495054938799,0.029461952423418446
2,1,1000,40,0.495680277629,0.029327505502367526
3,1,1000,40,0.496264422364,0.028096388293133916
4,1,1000,40,0.496990053474,0.02803067206379458
5,1,1000,40,0.491781172604,0.030000263008831154
6,1,1000,40,0.494727353665,0.02691417174303249
7,1,1000,40,0.49718026509,0.027550884961141473
8,1,1000,40,0.493951259746,0.02859210564302366
9,1,1000,40,0.497307597155,0.028887654804372533
10,1,1000,40,0.498355514812,0.028672846345748713
11,1,1000,40,0.496701975246,0.02803874490084737
12,1,1000,40,0.49645964576,0.029551147961606895
13,1,1000,40,0.49751613519,0.027749831536015037
14,1,1000,40,0.494601149141,0.029444211773113436
15,1,1000,40,0.498537947724,0.027786585404586134
16,1,1000,40,0.496572034275,0.02944709909933869
17,1,1000,40,0.496100844455,0.027496550652209892
18,1,1000,40,0.494644670784,0.028582940693107982
19,1,1000,40,0.498038615448,0.029553452651972446
20,1,1000,40,0.498088794355,0.027667670395215598
21,1,1000,40,0.497979263882,0.027970686301671103
22,1,1000,40,0.49443978144,0.028714896818996784
23,1,1000,40,0.494587247881,0.028927164672559257
24,1,1000,40,0.494266193123,0.02905747030738721
0,1,1000,50,0.534729263691,0.027314887004683885
1,1,1000,50,0.535410321439,0.027146184326883906
2,1,1000,50,0.534612773579,0.027517013685963754
3,1,1000,50,0.534039629728,0.02857685887629275
4,1,1000,50,0.53481765062,0.025998592986335542
5,1,1000,50,0.532527666195,0.027504749463030515
6,1,1000,50,0.535978551063,0.026693098265910386
7,1,1000,50,0.534271086136,0.028034237550768733
8,1,1000,50,0.535388261499,0.026996004519391957
9,1,1000,50,0.535864546161,0.026664912584876695
10,1,1000,50,0.53828314838,0.026413278674069625
