TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,5000,1,0.000139056770894,0.00013924255540999055
1,1,5000,1,0.000137712327545,0.00014065959453958698
2,1,5000,1,0.000140831479345,0.00014662198705025294
3,1,5000,1,0.000138681163621,0.00014276616637641013
4,1,5000,1,0.000140616009114,0.00014668124092802359
5,1,5000,1,0.000135528971691,0.00014003887897632932
6,1,5000,1,0.000141430389274,0.00014782699969596107
7,1,5000,1,0.000139451772824,0.00014514669884704566
8,1,5000,1,0.000140308534327,0.00014678239994735427
9,1,5000,1,0.000141676072062,0.00014625554842399329
10,1,5000,1,0.000135927697267,0.00014031610270728428
11,1,5000,1,0.000137625871483,0.00014885661940857556
12,1,5000,1,0.000139009186566,0.00015178778702877713
13,1,5000,1,0.000137037799734,0.0001448864998087768
14,1,5000,1,0.000136817769372,0.0001466183144567488
15,1,5000,1,0.000138270951247,0.00014599232319378012
16,1,5000,1,0.000136978325388,0.00013915160663496037
17,1,5000,1,0.00013912926139,0.00014311074994676414
18,1,5000,1,0.000136568968369,0.00013791905065323892
19,1,5000,1,0.000139722850209,0.00014538076688889594
20,1,5000,1,0.000137680544691,0.00014353757249094682
21,1,5000,1,0.000140928220874,0.0001445365169313477
22,1,5000,1,0.000138793817761,0.00013992194701954182
23,1,5000,1,0.000139830789317,0.00014539466128914982
24,1,5000,1,0.000142684368138,0.0001469469145138396
0,1,5000,2,0.00611696501985,0.0033517807462500027
1,1,5000,2,0.00604168659024,0.0032244875973632915
2,1,5000,2,0.00607663542904,0.0032624235910976096
3,1,5000,2,0.00599662861231,0.003299769972861627
4,1,5000,2,0.00611191660579,0.003358985773924739
5,1,5000,2,0.00610946475691,0.0033769569558557214
6,1,5000,2,0.00625056357162,0.003401453964769297
7,1,5000,2,0.00615555866319,0.0034225755648761578
8,1,5000,2,0.00609362019795,0.0034011457759393934
9,1,5000,2,0.00616268509378,0.0034361276904621165
10,1,5000,2,0.00622586379669,0.003398584842306144
11,1,5000,2,0.00611451812288,0.003302342772511676
12,1,5000,2,0.00614193266437,0.003357964879029015
13,1,5000,2,0.00611425479455,0.0033357725172952625
14,1,5000,2,0.00616828509855,0.0034000095581482575
15,1,5000,2,0.00605730561583,0.003345047776767001
16,1,5000,2,0.00623198095772,0.0033507935936949182
17,1,5000,2,0.00612476116736,0.0034009145057045218
18,1,5000,2,0.00606182429526,0.0033942959687858903
19,1,5000,2,0.00604084255441,0.0032927661418949653
20,1,5000,2,0.00619603634402,0.0033600103807783282
21,1,5000,2,0.00610351504008,0.0033155278944759538
22,1,5000,2,0.00615101160526,0.003321747838894827
23,1,5000,2,0.00614903774221,0.0034031366302942397
24,1,5000,2,0.00618093645479,0.0033933360645025026
0,1,5000,3,0.0226289044389,0.008855949742567292
1,1,5000,3,0.0226616002934,0.008817097049525118
2,1,5000,3,0.0226117225732,0.008818245435374433
3,1,5000,3,0.0225114894541,0.00858354326219213
4,1,5000,3,0.0227683978575,0.008756590993336767
5,1,5000,3,0.0224273472759,0.008866848253692017
6,1,5000,3,0.0221720744879,0.008822557034713081
7,1,5000,3,0.0225921407022,0.00850841833433953
8,1,5000,3,0.0227666796599,0.008764421621468822
9,1,5000,3,0.0225440616921,0.008686183109889946
10,1,5000,3,0.0225698660149,0.008892230299166214
11,1,5000,3,0.0228975416506,0.008961903914382213
12,1,5000,3,0.0226011184173,0.008862095452540818
13,1,5000,3,0.0227524290078,0.00903491009693202
14,1,5000,3,0.0227332731094,0.008536150578144823
15,1,5000,3,0.0227280979014,0.008965386472721817
16,1,5000,3,0.0226644139778,0.008697718533065784
17,1,5000,3,0.0224467218676,0.00881784590001239
18,1,5000,3,0.0227087169864,0.008725001253425733
19,1,5000,3,0.0227547016203,0.008831232337984853
20,1,5000,3,0.0224569033596,0.008771778501296438
21,1,5000,3,0.0225312425476,0.008796572204277594
22,1,5000,3,0.0227666392185,0.008888088499415837
23,1,5000,3,0.0230543773673,0.008655358956852087
24,1,5000,3,0.0226399833334,0.008699817235678265
0,1,5000,4,0.044955050517,0.013892633981717254
1,1,5000,4,0.0452813762582,0.013574861692301562
2,1,5000,4,0.0443135482076,0.013656474547227343
3,1,5000,4,0.0445141591837,0.013576211140362305
4,1,5000,4,0.0448641977543,0.013948394101605957
5,1,5000,4,0.0449456988373,0.013732434164904501
6,1,5000,4,0.0446409514468,0.013822053306742535
7,1,5000,4,0.0446004457717,0.013771004546249667
8,1,5000,4,0.0444830204628,0.01383840910276038
9,1,5000,4,0.0448306401417,0.013745343520513906
10,1,5000,4,0.0441245685302,0.01338332712530374
11,1,5000,4,0.0448849391941,0.013365997787424148
12,1,5000,4,0.0452101488285,0.013919427868494628
13,1,5000,4,0.0448249689242,0.013590731421081966
14,1,5000,4,0.0451050405359,0.013914141774930364
15,1,5000,4,0.0451534392703,0.013977246345044839
16,1,5000,4,0.0447537936431,0.0137169615853478
17,1,5000,4,0.0441898285947,0.013484855273393104
18,1,5000,4,0.044815632181,0.013620440349872288
19,1,5000,4,0.0446938883707,0.013763973704364798
20,1,5000,4,0.0449696931656,0.013687624152446447
21,1,5000,4,0.0447501335775,0.01369977907446405
22,1,5000,4,0.0452403903042,0.01334012039051708
23,1,5000,4,0.0449946164602,0.013836827628957124
24,1,5000,4,0.0448929240008,0.013688267094356738
0,1,5000,5,0.0696397313264,0.017441636859642427
1,1,5000,5,0.0680522945947,0.01728476343527025
