TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,inf,5000,1,0.000142509573901,0.00014497791818096495
1,inf,5000,1,0.00013647453533,0.00014403923637427475
2,inf,5000,1,0.000138248159095,0.0001394178736151463
3,inf,5000,1,0.000143057194766,0.00014468012453858342
4,inf,5000,1,0.000136462978977,0.0001439282232988111
5,inf,5000,1,0.000140875048117,0.0001461370345099239
6,inf,5000,1,0.000141551213859,0.00014314303797031028
7,inf,5000,1,0.000139137910202,0.00014781341588100553
8,inf,5000,1,0.000139319612917,0.00014501134615997968
9,inf,5000,1,0.000138206776517,0.00014559855555823438
10,inf,5000,1,0.00014014559106,0.00014801562641799965
11,inf,5000,1,0.000139242070432,0.00014443736695239588
12,inf,5000,1,0.000140264222837,0.00014322280855881683
13,inf,5000,1,0.000140378153523,0.0001438211927110265
14,inf,5000,1,0.000142524709401,0.00015025936910560692
15,inf,5000,1,0.000142245009789,0.00014563698803055092
16,inf,5000,1,0.00014186665612,0.0001474428444560916
17,inf,5000,1,0.000139270292269,0.0001444942452872113
18,inf,5000,1,0.000140265796659,0.00014522941865059287
19,inf,5000,1,0.00013894302056,0.00014162422059084534
20,inf,5000,1,0.000137718197862,0.00014962061062972248
21,inf,5000,1,0.000136825471085,0.0001388598047208981
22,inf,5000,1,0.000137928530125,0.00014773443776184566
23,inf,5000,1,0.000137643137916,0.00013918317904641143
24,inf,5000,1,0.00013771521699,0.00014135795665452745
0,inf,5000,2,0.0076391955812,0.004316332483374974
1,inf,5000,2,0.00764297960567,0.004173486117863403
2,inf,5000,2,0.00780628390714,0.004285510358334846
3,inf,5000,2,0.00766003609959,0.004225912413346293
4,inf,5000,2,0.00778670590478,0.004289491815038095
5,inf,5000,2,0.00758533721127,0.004271431738499089
6,inf,5000,2,0.00778317642886,0.0043197831840829206
7,inf,5000,2,0.00775279391291,0.004325922378445173
8,inf,5000,2,0.00767383334851,0.004441649417895794
9,inf,5000,2,0.00771801412051,0.004300169525286877
10,inf,5000,2,0.00773753834084,0.004256089105323815
11,inf,5000,2,0.00772766801952,0.004364235541126591
12,inf,5000,2,0.00768403450476,0.004253119525102652
13,inf,5000,2,0.00773850818144,0.004290977465126343
14,inf,5000,2,0.00769549666606,0.00428094611417171
15,inf,5000,2,0.00777441640791,0.004299768477837018
16,inf,5000,2,0.00771454306822,0.00422475445785936
17,inf,5000,2,0.00776975389651,0.004291088501962363
18,inf,5000,2,0.00780585381596,0.004281182722838645
19,inf,5000,2,0.00770634185397,0.0042463066655860065
20,inf,5000,2,0.00761625575064,0.004218700754043943
21,inf,5000,2,0.00772951207304,0.004409383504179284
22,inf,5000,2,0.00783421069561,0.004177910815115501
23,inf,5000,2,0.00768219268536,0.004256441068603357
24,inf,5000,2,0.00771922139071,0.0042488145353039184
0,inf,5000,3,0.0310196462127,0.011847490073278974
1,inf,5000,3,0.0307573842065,0.011951128605997964
2,inf,5000,3,0.030665678982,0.012062235154480393
3,inf,5000,3,0.0308212951403,0.011943459247345644
4,inf,5000,3,0.030585027957,0.011791761190238876
5,inf,5000,3,0.0306182239512,0.01206145185663397
6,inf,5000,3,0.0309373629364,0.01202485448819089
7,inf,5000,3,0.0311675571602,0.012021788817212843
8,inf,5000,3,0.0309432481401,0.012046321103602936
9,inf,5000,3,0.0304053190864,0.012098870266208
10,inf,5000,3,0.0308425274009,0.012045030612284003
11,inf,5000,3,0.0308720939937,0.012006255939906113
12,inf,5000,3,0.0307333747776,0.012189166033925766
13,inf,5000,3,0.0310945874687,0.012094611392950518
14,inf,5000,3,0.0310870009177,0.011697668862710058
15,inf,5000,3,0.0311507281595,0.01220785759927065
