TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,5000,1,0.000138824341276,0.00014533409279989751
0,1,5000,2,0.00605127547302,0.0033669318528197364
0,1,5000,3,0.0229868179155,0.008760865384138053
0,1,5000,4,0.0445692359718,0.013536339968406879
0,1,5000,5,0.0691959526201,0.017276249988878525
0,1,5000,6,0.0939933206437,0.01993151068673061
0,1,5000,7,0.115159946719,0.02195927546055907
0,1,5000,8,0.138601020759,0.024121368892886626
0,1,5000,9,0.158072250539,0.024491845989480236
0,1,5000,10,0.176408802358,0.025718173484791704
0,1,5000,20,0.311935111068,0.026864628396671086
0,1,5000,30,0.393531185401,0.025202218827292202
0,1,5000,40,0.44951660688,0.02427846025576866
0,1,5000,50,0.491233277089,0.022934479554184373
0,1,5000,60,0.523534760947,0.02186346524346348
0,1,5000,70,0.549392312933,0.021273396898958304
0,1,5000,80,0.572272104945,0.020575612131669092
0,1,5000,90,0.589533982385,0.02002341973231269
0,1,5000,100,0.608022417396,0.019407442732559517
0,2,5000,1,0.000138533526214,0.0001449370766002487
0,2,5000,2,0.00689621905103,0.0037448733090410594
0,2,5000,3,0.0263722807259,0.010355071440311258
0,2,5000,4,0.0535194266741,0.0162286653696044
0,2,5000,5,0.0825780913794,0.02093383147291248
0,2,5000,6,0.112570908172,0.024091809974453645
0,2,5000,7,0.140113351226,0.02675993735258875
0,2,5000,8,0.165943483265,0.02829129311677277
0,2,5000,9,0.190732798884,0.028011769561063667
0,2,5000,10,0.212611676659,0.029182033080645518
0,2,5000,20,0.366870467571,0.029673372386403087
0,2,5000,30,0.452863118494,0.02757419039267875
0,2,5000,40,0.510575288649,0.02460161204065059
0,2,5000,50,0.551274790582,0.023157197849633517
0,2,5000,60,0.582969024686,0.0218447441585835
0,2,5000,70,0.608716540123,0.020676862445919132
0,2,5000,80,0.630038412233,0.019347182739275326
0,2,5000,90,0.646702801921,0.018679968229176003
0,2,5000,100,0.663305649977,0.017001140543845137
0,inf,5000,1,0.000137004341547,0.0001465757303437236
0,inf,5000,2,0.0077128502718,0.004192522026859464
0,inf,5000,3,0.0306042582862,0.011864070372558669
0,inf,5000,4,0.0622354802579,0.019154354899757618
0,inf,5000,5,0.0977880357322,0.023849507097181543
0,inf,5000,6,0.131369086338,0.027827684644818843
0,inf,5000,7,0.164347265257,0.031731711632844786
0,inf,5000,8,0.193712282663,0.03395649113461307
0,inf,5000,9,0.221667688292,0.03618382490986358
0,inf,5000,10,0.247407899887,0.038096278027767855
0,inf,5000,20,0.420158911445,0.040933396143625074
0,inf,5000,30,0.511525735673,0.03910277636774867
0,inf,5000,40,0.570208694642,0.03655153280173495
0,inf,5000,50,0.611786618612,0.03305797359257972
0,inf,5000,60,0.642782784209,0.030312589309614238
0,inf,5000,70,0.666613700628,0.028798916548974818
0,inf,5000,80,0.686831128308,0.026568152790023294
0,inf,5000,90,0.703273773767,0.02503874368476757
0,inf,5000,100,0.717498105735,0.02412097088597221
