TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,100,1,0.006433546,0.006041171
1,1,100,1,0.007109693,0.00742957
2,1,100,1,0.007720563,0.008036086
3,1,100,1,0.007637974,0.006212931
4,1,100,1,0.006826848,0.007210615
5,1,100,1,0.006886403,0.007052835
6,1,100,1,0.007153995,0.008176196
7,1,100,1,0.007470701,0.007845017
8,1,100,1,0.008288647,0.00829713
9,1,100,1,0.00750655,0.008136084
10,1,100,1,0.006698356,0.006586435
11,1,100,1,0.006864073,0.007280633
12,1,100,1,0.007794705,0.007271995
13,1,100,1,0.006874882,0.007813014
14,1,100,1,0.007067252,0.00767679
15,1,100,1,0.007593529,0.006723431
16,1,100,1,0.007685851,0.008766772
17,1,100,1,0.006426136,0.006979168
18,1,100,1,0.007534056,0.006142568
19,1,100,1,0.006390635,0.006412169
20,1,100,1,0.006721748,0.005774694
21,1,100,1,0.007143619,0.007701417
22,1,100,1,0.006938414,0.007797766
23,1,100,1,0.006172386,0.005704788
24,1,100,1,0.005691594,0.006641626
0,1,100,2,0.043707907,0.027041743
1,1,100,2,0.056083081,0.02689918
2,1,100,2,0.045473752,0.027539288
3,1,100,2,0.050880014,0.026541447
4,1,100,2,0.048452647,0.024670596
5,1,100,2,0.045024446,0.022217338
6,1,100,2,0.051992694,0.027438711
7,1,100,2,0.046914147,0.028665211
8,1,100,2,0.046391643,0.024593564
9,1,100,2,0.050143407,0.024280066
10,1,100,2,0.043575767,0.027397756
11,1,100,2,0.047115816,0.027069307
12,1,100,2,0.045474387,0.025825567
13,1,100,2,0.043798628,0.026297249
14,1,100,2,0.043439467,0.027957847
15,1,100,2,0.046908541,0.026355368
16,1,100,2,0.043292731,0.023445865
17,1,100,2,0.05009647,0.030198923
18,1,100,2,0.05488958,0.024772758
19,1,100,2,0.04885536,0.030461582
20,1,100,2,0.051737043,0.027502602
21,1,100,2,0.047194175,0.02821457
22,1,100,2,0.046946791,0.02561256
23,1,100,2,0.043765584,0.023872051
24,1,100,2,0.045149925,0.029810441
0,1,100,3,0.092771825,0.041503272
1,1,100,3,0.101378119,0.043092901
2,1,100,3,0.096694215,0.034290977
3,1,100,3,0.095867366,0.044079302
4,1,100,3,0.09789267,0.037503559
5,1,100,3,0.101281092,0.043138039
6,1,100,3,0.100610224,0.040493685
7,1,100,3,0.103590739,0.034170859
8,1,100,3,0.107567546,0.040188703
9,1,100,3,0.097950705,0.039025827
10,1,100,3,0.101732959,0.036053848
11,1,100,3,0.099214356,0.041896173
12,1,100,3,0.103637999,0.038670862
13,1,100,3,0.096311897,0.039062431
14,1,100,3,0.103974744,0.042818377
15,1,100,3,0.094203133,0.039303397
16,1,100,3,0.096063842,0.037002431
17,1,100,3,0.100822622,0.04024155
18,1,100,3,0.104240527,0.040762829
19,1,100,3,0.091309368,0.042193619
20,1,100,3,0.101642245,0.039450391
21,1,100,3,0.091097794,0.039752085
22,1,100,3,0.09338961,0.039405595
23,1,100,3,0.10235525,0.039374543
24,1,100,3,0.091869214,0.034859157
0,1,100,4,0.146574973,0.041399559
1,1,100,4,0.149396603,0.044710236
2,1,100,4,0.149840085,0.05005384
3,1,100,4,0.143420319,0.048275305
4,1,100,4,0.140053261,0.042765732
5,1,100,4,0.140746499,0.049936795
6,1,100,4,0.144584342,0.039780364
7,1,100,4,0.149096447,0.042686977
8,1,100,4,0.143768236,0.043070012
9,1,100,4,0.151756573,0.043458944
10,1,100,4,0.141317886,0.046113524
11,1,100,4,0.141911156,0.044376157
12,1,100,4,0.137035905,0.043198039
13,1,100,4,0.14229147,0.042334928
14,1,100,4,0.143926707,0.045496337
15,1,100,4,0.15070482,0.050172868
16,1,100,4,0.15816926,0.041134809
17,1,100,4,0.141742131,0.047714387
18,1,100,4,0.137544732,0.047377719
19,1,100,4,0.144453178,0.047362545
20,1,100,4,0.147049681,0.045715666
21,1,100,4,0.159768211,0.049139491
22,1,100,4,0.143200058,0.044558654
23,1,100,4,0.149233332,0.039856685
24,1,100,4,0.157736988,0.04463318
0,1,100,5,0.185593808,0.0555043
1,1,100,5,0.174509189,0.059749193
2,1,100,5,0.192302399,0.044506637
3,1,100,5,0.179308262,0.051534282
4,1,100,5,0.180417742,0.040558933
5,1,100,5,0.186625765,0.056042315
6,1,100,5,0.192351083,0.045340809
7,1,100,5,0.181252292,0.047834354
8,1,100,5,0.200962167,0.052852678
9,1,100,5,0.187975125,0.053751262
10,1,100,5,0.197287043,0.056914208
11,1,100,5,0.181341233,0.047375142
12,1,100,5,0.196700738,0.048874899
13,1,100,5,0.179899286,0.054644252
14,1,100,5,0.181410499,0.048328166
15,1,100,5,0.188155713,0.052763958
16,1,100,5,0.186300997,0.052841559
17,1,100,5,0.181847964,0.055575323
18,1,100,5,0.188380405,0.042719838
19,1,100,5,0.188937588,0.04981074
20,1,100,5,0.196265257,0.043674363
21,1,100,5,0.184216681,0.053583785
22,1,100,5,0.190689479,0.048402323
23,1,100,5,0.196409332,0.045737852
24,1,100,5,0.184284195,0.053487987
0,1,100,6,0.211850978,0.044989498
1,1,100,6,0.210977859,0.045806827
2,1,100,6,0.217861367,0.049623533
3,1,100,6,0.224603969,0.046203095
4,1,100,6,0.228072742,0.048109548
5,1,100,6,0.229332725,0.056775974
6,1,100,6,0.221210437,0.055394113
7,1,100,6,0.231036421,0.046500853
8,1,100,6,0.219057026,0.049392326
9,1,100,6,0.227983702,0.055470915
10,1,100,6,0.222089258,0.047776723
11,1,100,6,0.215183953,0.050566658
12,1,100,6,0.220966502,0.056146442
13,1,100,6,0.226366702,0.054807713
14,1,100,6,0.218146759,0.064908992
15,1,100,6,0.228220649,0.058669305
16,1,100,6,0.223223954,0.048564464
17,1,100,6,0.213316829,0.055646193
18,1,100,6,0.227905049,0.051095966
19,1,100,6,0.225224302,0.053340602
20,1,100,6,0.212393824,0.067608065
21,1,100,6,0.230451029,0.043142873
22,1,100,6,0.222677962,0.050872018
23,1,100,6,0.225224548,0.04750503
24,1,100,6,0.213385786,0.048117089
0,1,100,7,0.244938055,0.056250693
1,1,100,7,0.252330542,0.047273376
2,1,100,7,0.248359798,0.049991017
3,1,100,7,0.246240897,0.051921982
4,1,100,7,0.260417521,0.046576382
5,1,100,7,0.248273604,0.04971571
6,1,100,7,0.254232738,0.043891847
7,1,100,7,0.257964863,0.050992388
8,1,100,7,0.251497333,0.048737795
9,1,100,7,0.252707569,0.058603924
10,1,100,7,0.252344747,0.04854301
11,1,100,7,0.259781542,0.051243984
12,1,100,7,0.23577749,0.055053302
13,1,100,7,0.258553248,0.049933722
14,1,100,7,0.254912496,0.047755332
15,1,100,7,0.255705504,0.043453236
16,1,100,7,0.25942238,0.049839355
17,1,100,7,0.255534559,0.05019119
18,1,100,7,0.2551671,0.049402466
