Metric,K,N,Mean,StandardDeviation
str,int,int,float,float
1,5,1,0.256049212,0.117561548
1,50,1,0.014888801,0.013572333
1,500,1,0.001393175,0.001527816
1,5,2,0.203734204,0.044549764
1,50,2,0.057714175,0.036144309
1,500,2,0.01926978,0.011727889
1,5,3,0.352819957,0.233756799
1,50,3,0.126694113,0.058355941
1,500,3,0.053504513,0.019580582
1,5,4,0.457741109,0.145471426
1,50,4,0.207373611,0.061484337
1,500,4,0.088421256,0.026393504
1,5,5,0.588093524,0.12131523
1,50,5,0.23838351,0.061457439
1,500,5,0.119887018,0.033254917
1,5,6,0.495723049,0.169210452
1,50,6,0.254033478,0.08227356
1,500,6,0.151472924,0.03418171
1,5,7,0.624502185,0.071248053
1,50,7,0.291007186,0.067762534
1,500,7,0.179450361,0.034231111
1,5,8,0.646041739,0.125015974
1,50,8,0.342046332,0.064011144
1,500,8,0.209552017,0.035089939
1,5,9,0.745587932,0.068815509
1,50,9,0.335767853,0.067908992
1,500,9,0.229000387,0.035828805
1,5,10,0.690422669,0.072394012
1,50,10,0.367768959,0.053193827
1,500,10,0.250189768,0.039331748
1,5,20,0.716010398,0.140945417
1,50,20,0.498837922,0.061368884
1,500,20,0.390241284,0.038365261
1,5,30,0.735023819,0.093754569
1,50,30,0.576823921,0.045572389
1,500,30,0.467218556,0.030992767
1,5,40,0.802131526,0.086652055
1,50,40,0.614629045,0.052808853
1,500,40,0.521822374,0.029854045
1,5,50,0.855545398,0.047186222
1,50,50,0.646702577,0.036887459
1,500,50,0.556617075,0.029091616
1,5,60,0.846989263,0.036533276
1,50,60,0.687561516,0.041156774
1,500,60,0.587815327,0.026823838
1,5,70,0.840100847,0.047992642
1,50,70,0.700151251,0.034214486
1,500,70,0.61013641,0.027553077
1,5,80,0.855867413,0.051318617
1,50,80,0.711729679,0.043486101
1,500,80,0.635635726,0.024836368
1,5,90,0.878655506,0.053385498
1,50,90,0.731728767,0.033536169
1,500,90,0.65008431,0.025532447
1,5,100,0.895576318,0.051606928
1,50,100,0.736502088,0.032691151
1,500,100,0.665989236,0.023871646
2,5,1,0.227059595,0.241972456
2,50,1,0.015799887,0.01203088
2,500,1,0.001412252,0.001526085
2,5,2,0.387588536,0.108995995
2,50,2,0.079122089,0.040588913
2,500,2,0.023230088,0.01332131
2,5,3,0.46975346,0.144864488
2,50,3,0.133445284,0.05397651
2,500,3,0.062389269,0.022595215
2,5,4,0.618660539,0.088881989
2,50,4,0.237927079,0.054260435
2,500,4,0.100543159,0.031739148
2,5,5,0.737688474,0.101269551
2,50,5,0.268760499,0.071027313
2,500,5,0.142167714,0.036710226
2,5,6,0.561062284,0.166871667
2,50,6,0.292352272,0.083841653
2,500,6,0.176846176,0.040723609
2,5,7,0.615007925,0.142595837
2,50,7,0.337252885,0.084094576
2,500,7,0.215651443,0.041710169
2,5,8,0.651660346,0.190388573
2,50,8,0.371415089,0.06435658
2,500,8,0.240833564,0.044039615
2,5,9,0.703843677,0.159278723
2,50,9,0.397993113,0.067117528
2,500,9,0.268962508,0.04108863
2,5,10,0.5801826,0.101443924
2,50,10,0.440195653,0.063531474
2,500,10,0.289577248,0.042747748
2,5,20,0.622695153,0.163723985
2,50,20,0.556326045,0.063235739
2,500,20,0.448624591,0.038191618
2,5,30,0.846554891,0.049219538
2,50,30,0.620313946,0.051594091
2,500,30,0.529295068,0.032536898
2,5,40,0.847512411,0.048878916
2,50,40,0.673596919,0.043904653
2,500,40,0.580229788,0.030262287
2,5,50,0.828450379,0.033535222
2,50,50,0.703353026,0.041551883
2,500,50,0.616242581,0.02893551
2,5,60,0.852010331,0.030112116
2,50,60,0.736216394,0.02916779
2,500,60,0.640409728,0.029144076
2,5,70,0.838621267,0.041303228
2,50,70,0.74566338,0.031376841
2,500,70,0.667155557,0.024184047
2,5,80,0.848736138,0.064310362
2,50,80,0.762603339,0.033080574
2,500,80,0.685048246,0.024546207
2,5,90,0.915853471,0.008374603
2,50,90,0.771846348,0.031924939
2,500,90,0.703551452,0.021885947
2,5,100,0.896519003,0.031118061
2,50,100,0.779710384,0.031099125
2,500,100,0.712549332,0.020741129
inf,5,1,0.223367465,0.182286509
inf,50,1,0.013621879,0.015373232
inf,500,1,0.001522209,0.001435775
inf,5,2,0.341690553,0.279083165
inf,50,2,0.085825119,0.049164328
inf,500,2,0.025246989,0.014379564
inf,5,3,0.137756333,0.110538506
inf,50,3,0.153481733,0.066556657
inf,500,3,0.066959187,0.029476951
inf,5,4,0.564745825,0.094690629
inf,50,4,0.240431591,0.05876531
inf,500,4,0.113215155,0.037887335
inf,5,5,0.513530617,0.105108964
inf,50,5,0.263642344,0.063001313
inf,500,5,0.157216039,0.043201991
inf,5,6,0.73783697,0.109271644
inf,50,6,0.332365695,0.058408931
inf,500,6,0.203666679,0.044937604
inf,5,7,0.602190053,0.112434848
inf,50,7,0.354260156,0.075148484
inf,500,7,0.237371724,0.049440257
inf,5,8,0.741022395,0.122431401
inf,50,8,0.404702973,0.074322715
inf,500,8,0.274775991,0.052458554
inf,5,9,0.631248542,0.140079861
inf,50,9,0.440486138,0.07544398
inf,500,9,0.3018134,0.0500652
inf,5,10,0.720044918,0.138968301
inf,50,10,0.439945853,0.070100039
inf,500,10,0.325898341,0.055214862
inf,5,20,0.874554788,0.046421942
inf,50,20,0.585330461,0.066354037
inf,500,20,0.490226465,0.046123213
inf,5,30,0.860734291,0.06116673
inf,50,30,0.652689251,0.067325127
inf,500,30,0.568887937,0.042950954
inf,5,40,0.793124807,0.106744204
inf,50,40,0.694702653,0.058449163
inf,500,40,0.628161887,0.045227801
inf,5,50,0.903247116,0.019361557
inf,50,50,0.720137493,0.038051785
inf,500,50,0.666838014,0.036803925
inf,5,60,0.918811769,0.035579734
inf,50,60,0.756283273,0.043285155
inf,500,60,0.690004469,0.031885033
inf,5,70,0.913273342,0.035994824
inf,50,70,0.773629728,0.036801639
inf,500,70,0.710154125,0.031971254
inf,5,80,0.892359422,0.049147609
inf,50,80,0.786325974,0.036060253
inf,500,80,0.72954043,0.029016435
inf,5,90,0.892202275,0.053655144
inf,50,90,0.80589736,0.032185737
inf,500,90,0.746652071,0.028010537
inf,5,100,0.858771694,0.058924749
inf,50,100,0.807313779,0.029531162
inf,500,100,0.760110022,0.025085462
