Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
0,2,400,3,0.05528306758151734,24,16,21,39,0.63,0.37,0.5333333333333333,0.2909090909090909,0.7090909090909091,0.6
1,2,400,5,0.05746627223021509,47,6,8,39,0.86,0.14,0.8545454545454545,0.13333333333333333,0.8666666666666667,0.8867924528301887
2,2,400,10,0.018022967101112054,45,3,1,51,0.96,0.04,0.9782608695652174,0.05555555555555555,0.9444444444444444,0.9375
3,2,400,5,0.10699267381366279,43,8,20,29,0.72,0.28,0.6825396825396826,0.21621621621621623,0.7837837837837838,0.8431372549019608
4,2,400,22,0.0973996971407647,45,7,9,39,0.84,0.16,0.8333333333333334,0.15217391304347827,0.8478260869565217,0.8653846153846154
5,2,400,12,0.003560723788307912,57,1,0,42,0.99,0.01,1.0,0.023255813953488372,0.9767441860465116,0.9827586206896551
6,2,400,4,0.07235842340171637,32,17,12,39,0.71,0.29,0.7272727272727273,0.30357142857142855,0.6964285714285714,0.6530612244897959
7,2,400,8,0.04472900914430706,39,8,5,48,0.87,0.13,0.8863636363636364,0.14285714285714285,0.8571428571428571,0.8297872340425532
8,2,400,13,0.13428689715311423,38,13,11,38,0.76,0.24,0.7755102040816326,0.2549019607843137,0.7450980392156863,0.7450980392156863
9,2,400,6,0.13457696228017008,40,10,20,30,0.7,0.3,0.6666666666666666,0.25,0.75,0.8
10,2,400,2,0.11211601613447252,32,17,21,30,0.62,0.38,0.6037735849056604,0.3617021276595745,0.6382978723404256,0.6530612244897959
11,2,400,17,0.036018433023490296,49,3,1,47,0.96,0.04,0.98,0.06,0.94,0.9423076923076923
12,2,400,2,0.031061554832610236,22,8,20,50,0.72,0.28,0.5238095238095238,0.13793103448275862,0.8620689655172413,0.7333333333333333
13,2,400,13,0.05580126731611773,44,8,3,45,0.89,0.11,0.9361702127659575,0.1509433962264151,0.8490566037735849,0.8461538461538461
14,2,400,3,0.09419635010798524,37,13,16,34,0.71,0.29,0.6981132075471698,0.2765957446808511,0.723404255319149,0.74
15,2,400,1,0.12139637207620295,17,27,27,29,0.46,0.54,0.38636363636363635,0.48214285714285715,0.5178571428571429,0.38636363636363635
16,2,400,12,0.043820015677974736,43,7,4,46,0.89,0.11,0.9148936170212766,0.1320754716981132,0.8679245283018868,0.86
17,2,400,20,0.10248419908039333,42,11,9,38,0.8,0.2,0.8235294117647058,0.22448979591836735,0.7755102040816326,0.7924528301886793
18,2,400,20,0.1410393465927414,35,10,16,39,0.74,0.26,0.6862745098039216,0.20408163265306123,0.7959183673469388,0.7777777777777778
19,2,400,7,0.13508290416872915,29,17,15,39,0.68,0.32,0.6590909090909091,0.30357142857142855,0.6964285714285714,0.6304347826086957
20,2,400,22,0.0001149462014090552,36,0,0,64,1.0,0.0,1.0,0.0,1.0,1.0
21,2,400,17,0.09186051787788906,42,5,6,47,0.89,0.11,0.875,0.09615384615384616,0.9038461538461539,0.8936170212765957
22,2,400,4,0.07220889601655182,35,9,11,45,0.8,0.2,0.7608695652173914,0.16666666666666666,0.8333333333333334,0.7954545454545454
23,2,400,7,0.056903827296104464,44,9,6,41,0.85,0.15,0.88,0.18,0.82,0.8301886792452831
24,2,400,22,0.14107814467574675,27,8,11,54,0.81,0.19,0.7105263157894737,0.12903225806451613,0.8709677419354839,0.7714285714285715
25,2,400,21,0.10004560227961613,41,11,6,42,0.83,0.17,0.8723404255319149,0.20754716981132076,0.7924528301886793,0.7884615384615384
26,2,400,4,0.11107957353648373,34,20,18,28,0.62,0.38,0.6538461538461539,0.4166666666666667,0.5833333333333334,0.6296296296296297
27,2,400,3,0.050521722191177995,29,14,15,42,0.71,0.29,0.6590909090909091,0.25,0.75,0.6744186046511628
28,2,400,17,0.005089001267189752,52,0,2,46,0.98,0.02,0.9629629629629629,0.0,1.0,1.0
29,2,400,13,0.08921714263440521,45,9,5,41,0.86,0.14,0.9,0.18,0.82,0.8333333333333334
30,2,400,17,0.019451148281282665,64,0,2,34,0.98,0.02,0.9696969696969697,0.0,1.0,1.0
31,2,400,4,0.07885158011585049,34,13,6,47,0.81,0.19,0.85,0.21666666666666667,0.7833333333333333,0.723404255319149
32,2,400,19,0.048668771330992996,36,10,5,49,0.85,0.15,0.8780487804878049,0.1694915254237288,0.8305084745762712,0.782608695652174
33,2,400,14,0.07749204643727611,50,7,7,36,0.86,0.14,0.8771929824561403,0.16279069767441862,0.8372093023255814,0.8771929824561403
34,2,400,3,0.14316504655418424,36,22,19,23,0.59,0.41,0.6545454545454545,0.4888888888888889,0.5111111111111111,0.6206896551724138
35,2,400,2,0.10407075846897039,34,16,25,25,0.59,0.41,0.576271186440678,0.3902439024390244,0.6097560975609756,0.68
36,2,400,1,0.01889805176616849,34,14,26,26,0.6,0.4,0.5666666666666667,0.35,0.65,0.7083333333333334
37,2,400,14,0.04359635549085482,37,3,7,53,0.9,0.1,0.8409090909090909,0.05357142857142857,0.9464285714285714,0.925
38,2,400,10,0.11892801448623128,41,13,7,39,0.8,0.2,0.8541666666666666,0.25,0.75,0.7592592592592593
39,2,400,23,0.06965561182406992,41,4,0,55,0.96,0.04,1.0,0.06779661016949153,0.9322033898305084,0.9111111111111111
40,2,400,21,0.08166854889785431,44,8,6,42,0.86,0.14,0.88,0.16,0.84,0.8461538461538461
41,2,400,5,0.12624358048747747,36,10,10,44,0.8,0.2,0.782608695652174,0.18518518518518517,0.8148148148148148,0.782608695652174
42,2,400,14,0.03302076704996674,41,3,5,51,0.92,0.08,0.8913043478260869,0.05555555555555555,0.9444444444444444,0.9318181818181818
43,2,400,2,0.12544273803742165,25,28,25,22,0.47,0.53,0.5,0.56,0.44,0.4716981132075472
44,2,400,11,0.029878059305853587,44,5,3,48,0.92,0.08,0.9361702127659575,0.09433962264150944,0.9056603773584906,0.8979591836734694
45,2,400,21,0.1135768107749976,32,18,9,41,0.73,0.27,0.7804878048780488,0.3050847457627119,0.6949152542372882,0.64
46,2,400,3,0.031504250570040256,45,12,9,34,0.79,0.21,0.8333333333333334,0.2608695652173913,0.7391304347826086,0.7894736842105263
47,2,400,23,0.14989848571860884,50,11,12,27,0.77,0.23,0.8064516129032258,0.2894736842105263,0.7105263157894737,0.819672131147541
48,2,400,8,0.10845721334726788,37,13,9,41,0.78,0.22,0.8043478260869565,0.24074074074074073,0.7592592592592593,0.74
49,2,400,10,0.1037236137758027,41,6,11,42,0.83,0.17,0.7884615384615384,0.125,0.875,0.8723404255319149
50,2,400,20,0.06320427966161188,41,10,8,41,0.82,0.18,0.8367346938775511,0.19607843137254902,0.803921568627451,0.803921568627451
51,2,400,18,0.11697944923591798,32,10,18,40,0.72,0.28,0.64,0.2,0.8,0.7619047619047619
52,2,400,15,0.008307488960619109,44,0,0,56,1.0,0.0,1.0,0.0,1.0,1.0
53,2,400,17,0.06968902844266768,38,8,4,50,0.88,0.12,0.9047619047619048,0.13793103448275862,0.8620689655172413,0.8260869565217391
54,2,400,11,0.08011097445804599,39,7,12,42,0.81,0.19,0.7647058823529411,0.14285714285714285,0.8571428571428571,0.8478260869565217
55,2,400,1,0.10954172279715947,26,23,20,31,0.57,0.43,0.5652173913043478,0.42592592592592593,0.5740740740740741,0.5306122448979592
56,2,400,25,0.11101045437038097,51,6,7,36,0.87,0.13,0.8793103448275862,0.14285714285714285,0.8571428571428571,0.8947368421052632
57,2,400,15,0.05499656393139827,57,8,5,30,0.87,0.13,0.9193548387096774,0.21052631578947367,0.7894736842105263,0.8769230769230769
