Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
0,2,60,8,0.23958134116844457,32,17,11,40,0.72,0.28,0.7441860465116279,0.2982456140350877,0.7017543859649122,0.6530612244897959
1,2,66,10,0.09123860413361101,41,13,9,37,0.78,0.22,0.82,0.26,0.74,0.7592592592592593
2,2,49,19,0.036512194243762924,41,3,4,52,0.93,0.07,0.9111111111111111,0.05454545454545454,0.9454545454545454,0.9318181818181818
3,2,90,25,0.17008230669446534,40,7,12,41,0.81,0.19,0.7692307692307693,0.14583333333333334,0.8541666666666666,0.851063829787234
4,2,74,3,0.0352190563438147,53,9,6,32,0.85,0.15,0.8983050847457628,0.21951219512195122,0.7804878048780488,0.8548387096774194
5,2,90,17,0.22157238155175696,33,18,15,34,0.67,0.33,0.6875,0.34615384615384615,0.6538461538461539,0.6470588235294118
6,2,114,16,0.02882281918157431,41,7,2,50,0.91,0.09,0.9534883720930233,0.12280701754385964,0.8771929824561403,0.8541666666666666
7,2,166,14,0.1666899477787647,39,11,16,34,0.73,0.27,0.7090909090909091,0.24444444444444444,0.7555555555555555,0.78
8,2,120,3,0.06499914735056259,39,4,14,43,0.82,0.18,0.7358490566037735,0.0851063829787234,0.9148936170212766,0.9069767441860465
9,2,53,23,0.0698410203282219,49,7,8,36,0.85,0.15,0.8596491228070176,0.16279069767441862,0.8372093023255814,0.875
10,2,161,6,0.14759316427868738,41,11,12,36,0.77,0.23,0.7735849056603774,0.23404255319148937,0.7659574468085106,0.7884615384615384
11,2,112,2,0.11161257034858926,30,17,21,32,0.62,0.38,0.5882352941176471,0.3469387755102041,0.6530612244897959,0.6382978723404256
12,2,175,19,0.04467780833061771,54,4,7,35,0.89,0.11,0.8852459016393442,0.10256410256410256,0.8974358974358975,0.9310344827586207
13,2,40,12,0.10696065118999887,40,10,4,46,0.86,0.14,0.9090909090909091,0.17857142857142858,0.8214285714285714,0.8
14,2,84,15,0.07579373535142217,40,7,6,47,0.87,0.13,0.8695652173913043,0.12962962962962962,0.8703703703703703,0.851063829787234
15,2,129,25,0.12442641261604201,49,6,9,36,0.85,0.15,0.8448275862068966,0.14285714285714285,0.8571428571428571,0.8909090909090909
16,2,67,21,0.22179671580172283,44,12,10,34,0.78,0.22,0.8148148148148148,0.2608695652173913,0.7391304347826086,0.7857142857142857
17,2,145,7,0.08796056227764235,32,11,19,38,0.7,0.3,0.6274509803921569,0.22448979591836735,0.7755102040816326,0.7441860465116279
18,2,83,7,0.04510836527249515,27,6,5,62,0.89,0.11,0.84375,0.08823529411764706,0.9117647058823529,0.8181818181818182
19,2,56,21,0.11593531056705472,40,8,10,42,0.82,0.18,0.8,0.16,0.84,0.8333333333333334
20,2,165,24,0.22499817027023952,39,16,15,30,0.69,0.31,0.7222222222222222,0.34782608695652173,0.6521739130434783,0.7090909090909091
21,2,66,8,0.18597613786878064,33,16,11,40,0.73,0.27,0.75,0.2857142857142857,0.7142857142857143,0.673469387755102
22,2,124,14,0.14037367212580296,55,6,9,30,0.85,0.15,0.859375,0.16666666666666666,0.8333333333333334,0.9016393442622951
23,2,66,25,0.19188946058157672,27,22,16,35,0.62,0.38,0.627906976744186,0.38596491228070173,0.6140350877192983,0.5510204081632653
24,2,59,25,0.19479676294009335,39,11,10,40,0.79,0.21,0.7959183673469388,0.21568627450980393,0.7843137254901961,0.78
25,2,135,14,0.10447957302883318,33,11,10,46,0.79,0.21,0.7674418604651163,0.19298245614035087,0.8070175438596491,0.75
26,2,90,4,0.051108648225678205,44,5,8,43,0.87,0.13,0.8461538461538461,0.10416666666666667,0.8958333333333334,0.8979591836734694
27,2,131,1,0.07664633653308414,27,25,24,24,0.51,0.49,0.5294117647058824,0.5102040816326531,0.4897959183673469,0.5192307692307693
28,2,7,22,0.01813850899752531,85,0,0,15,1.0,0.0,1.0,0.0,1.0,1.0
29,2,63,1,0.036072878401875313,15,17,15,53,0.68,0.32,0.5,0.24285714285714285,0.7571428571428571,0.46875
30,2,1,24,0.19015514460375743,100,0,0,0,1.0,0.0,1.0,0,0,1.0
31,2,97,22,0.013484747294130128,46,1,1,52,0.98,0.02,0.9787234042553191,0.018867924528301886,0.9811320754716981,0.9787234042553191
32,2,187,6,0.1006771945054406,54,7,5,34,0.88,0.12,0.9152542372881356,0.17073170731707318,0.8292682926829268,0.8852459016393442
33,2,90,7,0.1744427955757658,36,10,14,40,0.76,0.24,0.72,0.2,0.8,0.782608695652174
34,2,39,22,0.15530999037895848,49,3,10,38,0.87,0.13,0.8305084745762712,0.07317073170731707,0.926829268292683,0.9423076923076923
35,2,100,3,0.1697478356813754,23,17,19,41,0.64,0.36,0.5476190476190477,0.29310344827586204,0.7068965517241379,0.575
36,2,69,2,0.009983120793401135,50,2,2,46,0.96,0.04,0.9615384615384616,0.041666666666666664,0.9583333333333334,0.9615384615384616
37,2,143,6,0.004377803605722513,43,0,1,56,0.99,0.01,0.9772727272727273,0.0,1.0,1.0
38,2,116,25,0.17516991588589623,40,9,14,37,0.77,0.23,0.7407407407407407,0.1956521739130435,0.8043478260869565,0.8163265306122449
39,2,20,23,0.19295447774966723,26,18,6,50,0.76,0.24,0.8125,0.2647058823529412,0.7352941176470589,0.5909090909090909
40,2,1,9,0.2208654300289588,100,0,0,0,1.0,0.0,1.0,0,0,1.0
41,2,28,10,0.11478237347957898,23,9,3,65,0.88,0.12,0.8846153846153846,0.12162162162162163,0.8783783783783784,0.71875
42,2,14,22,0.040870240561954874,39,3,3,55,0.94,0.06,0.9285714285714286,0.05172413793103448,0.9482758620689655,0.9285714285714286
43,2,91,24,0.2480591325653395,28,11,24,37,0.65,0.35,0.5384615384615384,0.22916666666666666,0.7708333333333334,0.717948717948718
44,2,32,22,0.12034130672754637,30,12,13,45,0.75,0.25,0.6976744186046512,0.21052631578947367,0.7894736842105263,0.7142857142857143
45,2,187,6,0.20251536438977608,28,10,19,43,0.71,0.29,0.5957446808510638,0.18867924528301888,0.8113207547169812,0.7368421052631579
46,2,114,20,0.1559913672295558,47,11,9,33,0.8,0.2,0.8392857142857143,0.25,0.75,0.8103448275862069
47,2,48,20,0.0060383113746081685,39,0,0,61,1.0,0.0,1.0,0.0,1.0,1.0
48,2,12,3,0.1526933241293214,39,9,7,45,0.84,0.16,0.8478260869565217,0.16666666666666666,0.8333333333333334,0.8125
49,2,130,15,0.10989041711470995,29,9,8,54,0.83,0.17,0.7837837837837838,0.14285714285714285,0.8571428571428571,0.7631578947368421
50,2,62,3,0.11699359555091274,26,12,17,45,0.71,0.29,0.6046511627906976,0.21052631578947367,0.7894736842105263,0.6842105263157895
51,2,158,2,0.1852721603865366,22,25,23,30,0.52,0.48,0.4888888888888889,0.45454545454545453,0.5454545454545454,0.46808510638297873
52,2,185,21,0.06306543313360027,43,4,5,48,0.91,0.09,0.8958333333333334,0.07692307692307693,0.9230769230769231,0.9148936170212766
53,2,1,20,0.09452274887153,0,0,0,100,1.0,0.0,0,0.0,1.0,0
54,2,127,15,0.20308670506161855,31,6,10,53,0.84,0.16,0.7560975609756098,0.1016949152542373,0.8983050847457628,0.8378378378378378
55,2,59,12,0.019961978899252664,51,1,1,47,0.98,0.02,0.9807692307692307,0.020833333333333332,0.9791666666666666,0.9807692307692307
56,2,129,15,0.22043139468641518,51,12,12,25,0.76,0.24,0.8095238095238095,0.32432432432432434,0.6756756756756757,0.8095238095238095
57,2,181,25,0.07908276751244064,39,6,8,47,0.86,0.14,0.8297872340425532,0.11320754716981132,0.8867924528301887,0.8666666666666667
58,2,193,4,0.24418142022340966,33,27,18,22,0.55,0.45,0.6470588235294118,0.5510204081632653,0.4489795918367347,0.55
59,2,116,8,0.1628426947800997,34,21,11,34,0.68,0.32,0.7555555555555555,0.38181818181818183,0.6181818181818182,0.6181818181818182
60,2,71,14,0.23507382495087858,27,18,13,42,0.69,0.31,0.675,0.3,0.7,0.6
61,2,126,17,0.17597308161367445,29,20,9,42,0.71,0.29,0.7631578947368421,0.3225806451612903,0.6774193548387096,0.5918367346938775
62,2,62,9,0.09475361201948229,47,8,8,37,0.84,0.16,0.8545454545454545,0.17777777777777778,0.8222222222222222,0.8545454545454545
63,2,173,1,0.13212238692161044,32,19,24,25,0.57,0.43,0.5714285714285714,0.4318181818181818,0.5681818181818182,0.6274509803921569
64,2,4,16,0.18507158394606066,42,8,19,31,0.73,0.27,0.6885245901639344,0.20512820512820512,0.7948717948717948,0.84
65,2,14,22,0.09256116985106788,58,6,4,32,0.9,0.1,0.9354838709677419,0.15789473684210525,0.8421052631578947,0.90625
66,2,199,13,0.012143099716715094,56,2,1,41,0.97,0.03,0.9824561403508771,0.046511627906976744,0.9534883720930233,0.9655172413793104
