Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,2,5000,100,0.001,35,18,14,33,0.68,0.32,0.7142857142857143,0.35294117647058826,0.6470588235294118,0.660377358490566
1,2,5000,100,0.001,44,22,13,21,0.65,0.35,0.7719298245614035,0.5116279069767442,0.4883720930232558,0.6666666666666666
2,2,5000,100,0.001,31,18,13,38,0.69,0.31,0.7045454545454546,0.32142857142857145,0.6785714285714286,0.6326530612244898
3,2,5000,100,0.001,29,19,15,37,0.66,0.34,0.6590909090909091,0.3392857142857143,0.6607142857142857,0.6041666666666666
4,2,5000,100,0.001,22,27,11,40,0.62,0.38,0.6666666666666666,0.40298507462686567,0.5970149253731343,0.4489795918367347
0,2,5000,100,0.101,33,13,12,42,0.75,0.25,0.7333333333333333,0.23636363636363636,0.7636363636363637,0.717391304347826
1,2,5000,100,0.101,32,26,17,25,0.57,0.43,0.6530612244897959,0.5098039215686274,0.49019607843137253,0.5517241379310345
2,2,5000,100,0.101,38,13,12,37,0.75,0.25,0.76,0.26,0.74,0.7450980392156863
3,2,5000,100,0.101,35,13,20,32,0.67,0.33,0.6363636363636364,0.28888888888888886,0.7111111111111111,0.7291666666666666
4,2,5000,100,0.101,35,8,23,34,0.69,0.31,0.603448275862069,0.19047619047619047,0.8095238095238095,0.813953488372093
0,2,5000,100,0.201,33,10,18,39,0.72,0.28,0.6470588235294118,0.20408163265306123,0.7959183673469388,0.7674418604651163
1,2,5000,100,0.201,25,13,24,38,0.63,0.37,0.5102040816326531,0.2549019607843137,0.7450980392156863,0.6578947368421053
2,2,5000,100,0.201,42,16,19,23,0.65,0.35,0.6885245901639344,0.41025641025641024,0.5897435897435898,0.7241379310344828
3,2,5000,100,0.201,34,10,21,35,0.69,0.31,0.6181818181818182,0.2222222222222222,0.7777777777777778,0.7727272727272727
4,2,5000,100,0.201,31,11,15,43,0.74,0.26,0.6739130434782609,0.2037037037037037,0.7962962962962963,0.7380952380952381
0,2,5000,100,0.301,39,14,22,25,0.64,0.36,0.639344262295082,0.358974358974359,0.6410256410256411,0.7358490566037735
1,2,5000,100,0.301,27,19,18,36,0.63,0.37,0.6,0.34545454545454546,0.6545454545454545,0.5869565217391305
2,2,5000,100,0.301,35,21,13,31,0.66,0.34,0.7291666666666666,0.40384615384615385,0.5961538461538461,0.625
3,2,5000,100,0.301,24,22,13,41,0.65,0.35,0.6486486486486487,0.3492063492063492,0.6507936507936508,0.5217391304347826
4,2,5000,100,0.301,29,13,22,36,0.65,0.35,0.5686274509803921,0.2653061224489796,0.7346938775510204,0.6904761904761905
0,2,5000,100,0.401,40,30,17,13,0.53,0.47,0.7017543859649122,0.6976744186046512,0.3023255813953488,0.5714285714285714
1,2,5000,100,0.401,32,38,10,20,0.52,0.48,0.7619047619047619,0.6551724137931034,0.3448275862068966,0.45714285714285713
2,2,5000,100,0.401,48,32,9,11,0.59,0.41,0.8421052631578947,0.7441860465116279,0.2558139534883721,0.6
3,2,5000,100,0.401,15,10,38,37,0.52,0.48,0.2830188679245283,0.2127659574468085,0.7872340425531915,0.6
4,2,5000,100,0.401,28,15,32,25,0.53,0.47,0.4666666666666667,0.375,0.625,0.6511627906976745
0,2,5000,100,0.501,24,39,11,26,0.5,0.5,0.6857142857142857,0.6,0.4,0.38095238095238093
1,2,5000,100,0.501,31,29,17,23,0.54,0.46,0.6458333333333334,0.5576923076923077,0.4423076923076923,0.5166666666666667
2,2,5000,100,0.501,22,15,32,31,0.53,0.47,0.4074074074074074,0.32608695652173914,0.6739130434782609,0.5945945945945946
3,2,5000,100,0.501,21,15,26,38,0.59,0.41,0.44680851063829785,0.2830188679245283,0.7169811320754716,0.5833333333333334
4,2,5000,100,0.501,34,20,18,28,0.62,0.38,0.6538461538461539,0.4166666666666667,0.5833333333333334,0.6296296296296297
0,2,5000,100,0.601,15,14,36,35,0.5,0.5,0.29411764705882354,0.2857142857142857,0.7142857142857143,0.5172413793103449
1,2,5000,100,0.601,32,23,13,32,0.64,0.36,0.7111111111111111,0.41818181818181815,0.5818181818181818,0.5818181818181818
2,2,5000,100,0.601,34,16,19,31,0.65,0.35,0.6415094339622641,0.3404255319148936,0.6595744680851063,0.68
3,2,5000,100,0.601,24,11,28,37,0.61,0.39,0.46153846153846156,0.22916666666666666,0.7708333333333334,0.6857142857142857
4,2,5000,100,0.601,23,20,28,29,0.52,0.48,0.45098039215686275,0.40816326530612246,0.5918367346938775,0.5348837209302325
0,2,5000,100,0.701,35,38,12,15,0.5,0.5,0.7446808510638298,0.7169811320754716,0.2830188679245283,0.4794520547945205
1,2,5000,100,0.701,16,16,30,38,0.54,0.46,0.34782608695652173,0.2962962962962963,0.7037037037037037,0.5
2,2,5000,100,0.701,32,29,16,23,0.55,0.45,0.6666666666666666,0.5576923076923077,0.4423076923076923,0.5245901639344263
3,2,5000,100,0.701,34,25,22,19,0.53,0.47,0.6071428571428571,0.5681818181818182,0.4318181818181818,0.576271186440678
4,2,5000,100,0.701,26,26,22,26,0.52,0.48,0.5416666666666666,0.5,0.5,0.5
0,2,5000,100,0.001,31,25,15,29,0.6,0.4,0.6739130434782609,0.46296296296296297,0.5370370370370371,0.5535714285714286
1,2,5000,100,0.001,30,21,17,32,0.62,0.38,0.6382978723404256,0.39622641509433965,0.6037735849056604,0.5882352941176471
2,2,5000,100,0.001,26,28,20,26,0.52,0.48,0.5652173913043478,0.5185185185185185,0.48148148148148145,0.48148148148148145
3,2,5000,100,0.001,28,27,23,22,0.5,0.5,0.5490196078431373,0.5510204081632653,0.4489795918367347,0.509090909090909
4,2,5000,100,0.001,25,19,18,38,0.63,0.37,0.5813953488372093,0.3333333333333333,0.6666666666666666,0.5681818181818182
5,2,5000,100,0.001,24,17,21,38,0.62,0.38,0.5333333333333333,0.3090909090909091,0.6909090909090909,0.5853658536585366
6,2,5000,100,0.001,34,23,18,25,0.59,0.41,0.6538461538461539,0.4791666666666667,0.5208333333333334,0.5964912280701754
7,2,5000,100,0.001,36,30,12,22,0.58,0.42,0.75,0.5769230769230769,0.4230769230769231,0.5454545454545454
8,2,5000,100,0.001,33,29,14,24,0.57,0.43,0.7021276595744681,0.5471698113207547,0.4528301886792453,0.532258064516129
9,2,5000,100,0.001,28,16,21,35,0.63,0.37,0.5714285714285714,0.3137254901960784,0.6862745098039216,0.6363636363636364
10,2,5000,100,0.001,21,24,17,38,0.59,0.41,0.5526315789473685,0.3870967741935484,0.6129032258064516,0.4666666666666667
11,2,5000,100,0.001,23,20,30,27,0.5,0.5,0.4339622641509434,0.425531914893617,0.574468085106383,0.5348837209302325
12,2,5000,100,0.001,25,18,27,30,0.55,0.45,0.4807692307692308,0.375,0.625,0.5813953488372093
