Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,1,10,1,0.05,12,19,17,52,0.64,0.36,0.41379310344827586,0.2676056338028169,0.7323943661971831,0.3870967741935484
1,1,10,1,0.05,20,19,22,39,0.59,0.41,0.47619047619047616,0.3275862068965517,0.6724137931034483,0.5128205128205128
2,1,10,1,0.05,13,17,19,51,0.64,0.36,0.40625,0.25,0.75,0.43333333333333335
3,1,10,1,0.05,24,15,14,47,0.71,0.29,0.631578947368421,0.24193548387096775,0.7580645161290323,0.6153846153846154
4,1,10,1,0.05,30,16,28,26,0.56,0.44,0.5172413793103449,0.38095238095238093,0.6190476190476191,0.6521739130434783
5,1,10,1,0.05,32,23,21,24,0.56,0.44,0.6037735849056604,0.48936170212765956,0.5106382978723404,0.5818181818181818
6,1,10,1,0.05,19,14,8,59,0.78,0.22,0.7037037037037037,0.1917808219178082,0.8082191780821918,0.5757575757575758
7,1,10,1,0.05,35,10,12,43,0.78,0.22,0.7446808510638298,0.18867924528301888,0.8113207547169812,0.7777777777777778
8,1,10,1,0.05,54,20,17,9,0.63,0.37,0.7605633802816901,0.6896551724137931,0.3103448275862069,0.7297297297297297
9,1,10,1,0.05,47,18,17,18,0.65,0.35,0.734375,0.5,0.5,0.7230769230769231
0,1,10,1,0.1,30,7,14,49,0.79,0.21,0.6818181818181818,0.125,0.875,0.8108108108108109
1,1,10,1,0.1,3,10,15,72,0.75,0.25,0.16666666666666666,0.12195121951219512,0.8780487804878049,0.23076923076923078
2,1,10,1,0.1,39,10,14,37,0.76,0.24,0.7358490566037735,0.2127659574468085,0.7872340425531915,0.7959183673469388
3,1,10,1,0.1,15,15,15,55,0.7,0.3,0.5,0.21428571428571427,0.7857142857142857,0.5
4,1,10,1,0.1,39,20,14,27,0.66,0.34,0.7358490566037735,0.425531914893617,0.574468085106383,0.6610169491525424
5,1,10,1,0.1,2,6,8,84,0.86,0.14,0.2,0.06666666666666667,0.9333333333333333,0.25
6,1,10,1,0.1,47,21,17,15,0.62,0.38,0.734375,0.5833333333333334,0.4166666666666667,0.6911764705882353
7,1,10,1,0.1,13,11,22,54,0.67,0.33,0.37142857142857144,0.16923076923076924,0.8307692307692308,0.5416666666666666
8,1,10,1,0.1,58,24,14,4,0.62,0.38,0.8055555555555556,0.8571428571428571,0.14285714285714285,0.7073170731707317
9,1,10,1,0.1,34,15,22,29,0.63,0.37,0.6071428571428571,0.3409090909090909,0.6590909090909091,0.6938775510204082
0,1,10,1,0.15,59,19,16,6,0.65,0.35,0.7866666666666666,0.76,0.24,0.7564102564102564
1,1,10,1,0.15,42,20,12,26,0.68,0.32,0.7777777777777778,0.43478260869565216,0.5652173913043478,0.6774193548387096
2,1,10,1,0.15,17,15,15,53,0.7,0.3,0.53125,0.22058823529411764,0.7794117647058824,0.53125
3,1,10,1,0.15,1,16,13,70,0.71,0.29,0.07142857142857142,0.18604651162790697,0.813953488372093,0.058823529411764705
4,1,10,1,0.15,72,8,6,14,0.86,0.14,0.9230769230769231,0.36363636363636365,0.6363636363636364,0.9
5,1,10,1,0.15,38,22,25,15,0.53,0.47,0.6031746031746031,0.5945945945945946,0.40540540540540543,0.6333333333333333
