Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,2,300,100,0.05,28,15,26,31,0.59,0.41,0.5185185185185185,0.32608695652173914,0.6739130434782609,0.6511627906976745
1,2,300,100,0.05,38,29,13,20,0.58,0.42,0.7450980392156863,0.5918367346938775,0.40816326530612246,0.5671641791044776
2,2,300,100,0.05,35,22,18,25,0.6,0.4,0.660377358490566,0.46808510638297873,0.5319148936170213,0.6140350877192983
3,2,300,100,0.05,28,17,22,33,0.61,0.39,0.56,0.34,0.66,0.6222222222222222
4,2,300,100,0.05,12,8,37,43,0.55,0.45,0.24489795918367346,0.1568627450980392,0.8431372549019608,0.6
5,2,300,100,0.05,28,19,20,33,0.61,0.39,0.5833333333333334,0.36538461538461536,0.6346153846153846,0.5957446808510638
6,2,300,100,0.05,31,13,29,27,0.58,0.42,0.5166666666666667,0.325,0.675,0.7045454545454546
7,2,300,100,0.05,55,24,5,16,0.71,0.29,0.9166666666666666,0.6,0.4,0.6962025316455697
8,2,300,100,0.05,22,19,28,31,0.53,0.47,0.44,0.38,0.62,0.5365853658536586
9,2,300,100,0.05,21,13,30,36,0.57,0.43,0.4117647058823529,0.2653061224489796,0.7346938775510204,0.6176470588235294
0,2,300,100,0.1,34,24,13,29,0.63,0.37,0.723404255319149,0.4528301886792453,0.5471698113207547,0.5862068965517241
1,2,300,100,0.1,35,17,24,24,0.59,0.41,0.5932203389830508,0.4146341463414634,0.5853658536585366,0.6730769230769231
2,2,300,100,0.1,46,30,6,18,0.64,0.36,0.8846153846153846,0.625,0.375,0.6052631578947368
3,2,300,100,0.1,37,16,34,13,0.5,0.5,0.5211267605633803,0.5517241379310345,0.4482758620689655,0.6981132075471698
4,2,300,100,0.1,34,19,12,35,0.69,0.31,0.7391304347826086,0.35185185185185186,0.6481481481481481,0.6415094339622641
5,2,300,100,0.1,31,17,26,26,0.57,0.43,0.543859649122807,0.3953488372093023,0.6046511627906976,0.6458333333333334
6,2,300,100,0.1,16,3,33,48,0.64,0.36,0.32653061224489793,0.058823529411764705,0.9411764705882353,0.8421052631578947
7,2,300,100,0.1,16,14,30,40,0.56,0.44,0.34782608695652173,0.25925925925925924,0.7407407407407407,0.5333333333333333
