Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,1,5000,100,0.001,402,323,123,152,0.554,0.446,0.7657142857142857,0.68,0.32,0.5544827586206896
1,1,5000,100,0.001,386,314,126,174,0.56,0.44,0.75390625,0.6434426229508197,0.35655737704918034,0.5514285714285714
2,1,5000,100,0.001,303,245,194,258,0.561,0.439,0.6096579476861167,0.4870775347912525,0.5129224652087475,0.5529197080291971
3,1,5000,100,0.001,234,169,277,320,0.554,0.446,0.45792563600782776,0.3456032719836401,0.65439672801636,0.5806451612903226
4,1,5000,100,0.001,157,95,332,416,0.573,0.427,0.3210633946830266,0.18590998043052837,0.8140900195694716,0.623015873015873
5,1,5000,100,0.001,260,225,217,298,0.558,0.442,0.5450733752620545,0.43021032504780116,0.5697896749521989,0.5360824742268041
6,1,5000,100,0.001,170,112,320,398,0.568,0.432,0.3469387755102041,0.2196078431372549,0.7803921568627451,0.6028368794326241
7,1,5000,100,0.001,268,212,232,288,0.556,0.444,0.536,0.424,0.576,0.5583333333333333
8,1,5000,100,0.001,250,246,223,281,0.531,0.469,0.5285412262156448,0.4667931688804554,0.5332068311195446,0.5040322580645161
9,1,5000,100,0.001,275,236,223,266,0.541,0.459,0.5522088353413654,0.4701195219123506,0.5298804780876494,0.538160469667319
10,1,5000,100,0.001,191,107,348,354,0.545,0.455,0.35435992578849723,0.23210412147505424,0.7678958785249458,0.6409395973154363
11,1,5000,100,0.001,279,213,236,272,0.551,0.449,0.541747572815534,0.43917525773195876,0.5608247422680412,0.5670731707317073
12,1,5000,100,0.001,321,264,187,228,0.549,0.451,0.6318897637795275,0.5365853658536586,0.4634146341463415,0.5487179487179488
13,1,5000,100,0.001,302,249,211,238,0.54,0.46,0.5886939571150097,0.5112936344969199,0.4887063655030801,0.5480943738656987
14,1,5000,100,0.001,400,308,127,165,0.565,0.435,0.7590132827324478,0.6511627906976745,0.3488372093023256,0.5649717514124294
0,1,5000,100,0.101,145,70,361,424,0.569,0.431,0.2865612648221344,0.1417004048582996,0.8582995951417004,0.6744186046511628
1,1,5000,100,0.101,404,327,115,154,0.558,0.442,0.7784200385356455,0.6798336798336798,0.3201663201663202,0.5526675786593708
2,1,5000,100,0.101,306,244,186,264,0.57,0.43,0.6219512195121951,0.48031496062992124,0.5196850393700787,0.5563636363636364
3,1,5000,100,0.101,163,144,312,381,0.544,0.456,0.3431578947368421,0.2742857142857143,0.7257142857142858,0.5309446254071661
4,1,5000,100,0.101,271,210,233,286,0.557,0.443,0.5376984126984127,0.42338709677419356,0.5766129032258065,0.5634095634095634
5,1,5000,100,0.101,263,207,239,291,0.554,0.446,0.5239043824701195,0.41566265060240964,0.5843373493975904,0.5595744680851064
6,1,5000,100,0.101,139,120,298,443,0.582,0.418,0.3180778032036613,0.21314387211367672,0.7868561278863233,0.5366795366795367
7,1,5000,100,0.101,292,269,173,266,0.558,0.442,0.6279569892473118,0.502803738317757,0.497196261682243,0.5204991087344029
8,1,5000,100,0.101,136,91,388,385,0.521,0.479,0.2595419847328244,0.19117647058823528,0.8088235294117647,0.5991189427312775
9,1,5000,100,0.101,391,308,100,201,0.592,0.408,0.7963340122199593,0.6051080550098232,0.3948919449901768,0.5593705293276109
10,1,5000,100,0.101,271,221,214,294,0.565,0.435,0.5587628865979382,0.429126213592233,0.570873786407767,0.5508130081300813
11,1,5000,100,0.101,335,251,201,213,0.548,0.452,0.625,0.540948275862069,0.45905172413793105,0.5716723549488054
12,1,5000,100,0.101,383,300,140,177,0.56,0.44,0.7323135755258127,0.6289308176100629,0.3710691823899371,0.5607613469985359
13,1,5000,100,0.101,412,313,128,147,0.559,0.441,0.762962962962963,0.6804347826086956,0.31956521739130433,0.5682758620689655
14,1,5000,100,0.101,400,346,105,149,0.549,0.451,0.7920792079207921,0.6989898989898989,0.301010101010101,0.5361930294906166
0,1,5000,100,0.201,248,197,239,316,0.564,0.436,0.5092402464065708,0.3840155945419103,0.6159844054580896,0.5573033707865168
