Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,inf,5000,100,0.001,292,242,207,259,0.551,0.449,0.5851703406813628,0.48303393213572854,0.5169660678642715,0.5468164794007491
1,inf,5000,100,0.001,284,234,255,227,0.511,0.489,0.5269016697588126,0.5075921908893709,0.4924078091106291,0.5482625482625483
2,inf,5000,100,0.001,273,256,243,228,0.501,0.499,0.5290697674418605,0.5289256198347108,0.47107438016528924,0.5160680529300568
3,inf,5000,100,0.001,259,234,220,287,0.546,0.454,0.5407098121085595,0.4491362763915547,0.5508637236084453,0.5253549695740365
4,inf,5000,100,0.001,262,241,229,268,0.53,0.47,0.5336048879837068,0.47347740667976423,0.5265225933202358,0.5208747514910537
5,inf,5000,100,0.001,281,250,223,246,0.527,0.473,0.5575396825396826,0.5040322580645161,0.4959677419354839,0.5291902071563088
6,inf,5000,100,0.001,252,239,221,288,0.54,0.46,0.53276955602537,0.45351043643263755,0.5464895635673624,0.5132382892057027
7,inf,5000,100,0.001,272,222,233,273,0.545,0.455,0.5386138613861386,0.4484848484848485,0.5515151515151515,0.5506072874493927
8,inf,5000,100,0.001,256,273,204,267,0.523,0.477,0.5565217391304348,0.5055555555555555,0.49444444444444446,0.4839319470699433
9,inf,5000,100,0.001,268,230,255,247,0.515,0.485,0.5124282982791587,0.48218029350104824,0.5178197064989518,0.5381526104417671
10,inf,5000,100,0.001,255,252,239,254,0.509,0.491,0.5161943319838057,0.4980237154150198,0.5019762845849802,0.5029585798816568
11,inf,5000,100,0.001,245,240,249,266,0.511,0.489,0.4959514170040486,0.4743083003952569,0.525691699604743,0.5051546391752577
12,inf,5000,100,0.001,282,217,245,256,0.538,0.462,0.5351043643263758,0.4587737843551797,0.5412262156448203,0.5651302605210421
13,inf,5000,100,0.001,290,226,236,248,0.538,0.462,0.5513307984790875,0.4767932489451477,0.5232067510548524,0.562015503875969
14,inf,5000,100,0.001,253,248,228,271,0.524,0.476,0.525987525987526,0.47784200385356457,0.5221579961464354,0.5049900199600799
0,inf,5000,100,0.101,250,200,269,281,0.531,0.469,0.4816955684007707,0.4158004158004158,0.5841995841995842,0.5555555555555556
1,inf,5000,100,0.101,266,245,230,259,0.525,0.475,0.5362903225806451,0.4861111111111111,0.5138888888888888,0.5205479452054794
2,inf,5000,100,0.101,259,206,253,282,0.541,0.459,0.505859375,0.42213114754098363,0.5778688524590164,0.556989247311828
3,inf,5000,100,0.101,308,239,240,213,0.521,0.479,0.5620437956204379,0.5287610619469026,0.47123893805309736,0.5630712979890311
4,inf,5000,100,0.101,273,243,229,255,0.528,0.472,0.5438247011952191,0.4879518072289157,0.5120481927710844,0.5290697674418605
5,inf,5000,100,0.101,285,237,223,255,0.54,0.46,0.5610236220472441,0.4817073170731707,0.5182926829268293,0.5459770114942529
6,inf,5000,100,0.101,268,252,235,245,0.513,0.487,0.532803180914513,0.5070422535211268,0.49295774647887325,0.5153846153846153
7,inf,5000,100,0.101,300,219,218,263,0.563,0.437,0.5791505791505791,0.45435684647302904,0.5456431535269709,0.5780346820809249
8,inf,5000,100,0.101,257,276,203,264,0.521,0.479,0.558695652173913,0.5111111111111111,0.4888888888888889,0.4821763602251407
9,inf,5000,100,0.101,261,234,240,265,0.526,0.474,0.5209580838323353,0.46893787575150303,0.531062124248497,0.5272727272727272
10,inf,5000,100,0.101,274,220,214,292,0.566,0.434,0.5614754098360656,0.4296875,0.5703125,0.5546558704453441
11,inf,5000,100,0.101,271,225,232,272,0.543,0.457,0.5387673956262425,0.45271629778672035,0.5472837022132797,0.5463709677419355
12,inf,5000,100,0.101,285,211,246,258,0.543,0.457,0.536723163841808,0.44989339019189767,0.5501066098081023,0.5745967741935484
13,inf,5000,100,0.101,238,247,239,276,0.514,0.486,0.4989517819706499,0.4722753346080306,0.5277246653919694,0.49072164948453606
14,inf,5000,100,0.101,242,222,235,301,0.543,0.457,0.5073375262054507,0.42447418738049714,0.5755258126195029,0.521551724137931
0,inf,5000,100,0.201,230,238,219,313,0.543,0.457,0.512249443207127,0.4319419237749546,0.5680580762250453,0.49145299145299143
1,inf,5000,100,0.201,270,218,237,275,0.545,0.455,0.5325443786982249,0.4421906693711968,0.5578093306288032,0.5532786885245902
2,inf,5000,100,0.201,202,229,260,309,0.511,0.489,0.43722943722943725,0.4256505576208178,0.5743494423791822,0.46867749419953597
3,inf,5000,100,0.201,273,225,237,265,0.538,0.462,0.5352941176470588,0.45918367346938777,0.5408163265306123,0.5481927710843374
4,inf,5000,100,0.201,270,249,246,235,0.505,0.495,0.5232558139534884,0.5144628099173554,0.4855371900826446,0.5202312138728323
5,inf,5000,100,0.201,229,236,233,302,0.531,0.469,0.49567099567099565,0.43866171003717475,0.5613382899628253,0.4924731182795699
6,inf,5000,100,0.201,262,233,227,278,0.54,0.46,0.5357873210633947,0.45596868884540115,0.5440313111545988,0.5292929292929293
7,inf,5000,100,0.201,294,233,220,253,0.547,0.453,0.5719844357976653,0.4794238683127572,0.5205761316872428,0.5578747628083491
8,inf,5000,100,0.201,231,227,248,294,0.525,0.475,0.4822546972860125,0.43570057581573896,0.564299424184261,0.5043668122270742
9,inf,5000,100,0.201,258,239,226,277,0.535,0.465,0.5330578512396694,0.4631782945736434,0.5368217054263565,0.5191146881287726
10,inf,5000,100,0.201,287,270,217,226,0.513,0.487,0.5694444444444444,0.5443548387096774,0.45564516129032256,0.5152603231597845
11,inf,5000,100,0.201,261,231,236,272,0.533,0.467,0.5251509054325956,0.4592445328031809,0.5407554671968191,0.5304878048780488
12,inf,5000,100,0.201,254,243,246,257,0.511,0.489,0.508,0.486,0.514,0.5110663983903421
13,inf,5000,100,0.201,268,254,230,248,0.516,0.484,0.5381526104417671,0.5059760956175299,0.4940239043824701,0.5134099616858238
14,inf,5000,100,0.201,254,251,237,258,0.512,0.488,0.5173116089613035,0.4931237721021611,0.5068762278978389,0.502970297029703
0,inf,5000,100,0.301,246,217,246,291,0.537,0.463,0.5,0.4271653543307087,0.5728346456692913,0.531317494600432
1,inf,5000,100,0.301,286,248,226,240,0.526,0.474,0.55859375,0.5081967213114754,0.4918032786885246,0.5355805243445693
2,inf,5000,100,0.301,262,229,238,271,0.533,0.467,0.524,0.458,0.542,0.5336048879837068
3,inf,5000,100,0.301,257,241,227,275,0.532,0.468,0.53099173553719,0.46705426356589147,0.5329457364341085,0.5160642570281124
4,inf,5000,100,0.301,262,253,228,257,0.519,0.481,0.5346938775510204,0.49607843137254903,0.503921568627451,0.5087378640776699
5,inf,5000,100,0.301,254,239,234,273,0.527,0.473,0.5204918032786885,0.466796875,0.533203125,0.5152129817444219
6,inf,5000,100,0.301,216,235,249,300,0.516,0.484,0.4645161290322581,0.4392523364485981,0.5607476635514018,0.4789356984478936
7,inf,5000,100,0.301,234,225,267,274,0.508,0.492,0.46706586826347307,0.45090180360721444,0.5490981963927856,0.5098039215686274
8,inf,5000,100,0.301,267,273,198,262,0.529,0.471,0.5741935483870968,0.5102803738317757,0.4897196261682243,0.49444444444444446
9,inf,5000,100,0.301,258,234,270,238,0.496,0.504,0.48863636363636365,0.4957627118644068,0.5042372881355932,0.524390243902439
10,inf,5000,100,0.301,294,228,231,247,0.541,0.459,0.56,0.48,0.52,0.5632183908045977
11,inf,5000,100,0.301,248,240,246,266,0.514,0.486,0.5020242914979757,0.4743083003952569,0.525691699604743,0.5081967213114754
12,inf,5000,100,0.301,263,218,226,293,0.556,0.444,0.5378323108384458,0.42661448140900193,0.5733855185909981,0.5467775467775468
13,inf,5000,100,0.301,289,231,244,236,0.525,0.475,0.5422138836772983,0.49464668094218417,0.5053533190578159,0.5557692307692308
14,inf,5000,100,0.301,299,228,247,226,0.525,0.475,0.5476190476190477,0.5022026431718062,0.4977973568281938,0.5673624288425048
0,inf,5000,100,0.401,272,247,204,277,0.549,0.451,0.5714285714285714,0.4713740458015267,0.5286259541984732,0.5240847784200385
1,inf,5000,100,0.401,259,262,225,254,0.513,0.487,0.5351239669421488,0.5077519379844961,0.49224806201550386,0.4971209213051823
2,inf,5000,100,0.401,259,228,259,254,0.513,0.487,0.5,0.4730290456431535,0.5269709543568465,0.5318275154004107
3,inf,5000,100,0.401,252,228,240,280,0.532,0.468,0.5121951219512195,0.44881889763779526,0.5511811023622047,0.525
4,inf,5000,100,0.401,256,232,232,280,0.536,0.464,0.5245901639344263,0.453125,0.546875,0.5245901639344263
5,inf,5000,100,0.401,269,215,250,266,0.535,0.465,0.5183044315992292,0.446985446985447,0.553014553014553,0.5557851239669421
6,inf,5000,100,0.401,285,245,223,247,0.532,0.468,0.5610236220472441,0.49796747967479676,0.5020325203252033,0.5377358490566038
7,inf,5000,100,0.401,271,233,251,245,0.516,0.484,0.5191570881226054,0.4874476987447699,0.5125523012552301,0.5376984126984127
8,inf,5000,100,0.401,308,259,225,208,0.516,0.484,0.5778611632270169,0.5546038543897216,0.44539614561027835,0.5432098765432098
9,inf,5000,100,0.401,243,245,243,269,0.512,0.488,0.5,0.4766536964980545,0.5233463035019456,0.4979508196721312
10,inf,5000,100,0.401,298,215,257,230,0.528,0.472,0.5369369369369369,0.48314606741573035,0.5168539325842697,0.580896686159844
11,inf,5000,100,0.401,276,248,240,236,0.512,0.488,0.5348837209302325,0.512396694214876,0.48760330578512395,0.5267175572519084
12,inf,5000,100,0.401,270,226,235,269,0.539,0.461,0.5346534653465347,0.45656565656565656,0.5434343434343434,0.5443548387096774
13,inf,5000,100,0.401,245,278,235,242,0.487,0.513,0.5104166666666666,0.5346153846153846,0.4653846153846154,0.4684512428298279
14,inf,5000,100,0.401,218,246,254,282,0.5,0.5,0.461864406779661,0.4659090909090909,0.5340909090909091,0.4698275862068966
0,inf,5000,100,0.501,276,238,243,243,0.519,0.481,0.5317919075144508,0.49480249480249483,0.5051975051975052,0.5369649805447471
1,inf,5000,100,0.501,280,246,236,238,0.518,0.482,0.5426356589147286,0.5082644628099173,0.49173553719008267,0.532319391634981
2,inf,5000,100,0.501,263,275,226,236,0.499,0.501,0.5378323108384458,0.538160469667319,0.461839530332681,0.4888475836431227
