Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,1,100,100,0.001,29,20,16,35,0.64,0.36,0.6444444444444445,0.36363636363636365,0.6363636363636364,0.5918367346938775
1,1,100,100,0.001,27,19,22,32,0.59,0.41,0.5510204081632653,0.37254901960784315,0.6274509803921569,0.5869565217391305
2,1,100,100,0.001,19,5,33,43,0.62,0.38,0.36538461538461536,0.10416666666666667,0.8958333333333334,0.7916666666666666
3,1,100,100,0.001,38,33,7,22,0.6,0.4,0.8444444444444444,0.6,0.4,0.5352112676056338
4,1,100,100,0.001,35,18,23,24,0.59,0.41,0.603448275862069,0.42857142857142855,0.5714285714285714,0.660377358490566
5,1,100,100,0.001,30,9,38,23,0.53,0.47,0.4411764705882353,0.28125,0.71875,0.7692307692307693
6,1,100,100,0.001,25,30,15,30,0.55,0.45,0.625,0.5,0.5,0.45454545454545453
7,1,100,100,0.001,23,18,15,44,0.67,0.33,0.6052631578947368,0.2903225806451613,0.7096774193548387,0.5609756097560976
8,1,100,100,0.001,18,12,24,46,0.64,0.36,0.42857142857142855,0.20689655172413793,0.7931034482758621,0.6
9,1,100,100,0.001,13,8,50,29,0.42,0.58,0.20634920634920634,0.21621621621621623,0.7837837837837838,0.6190476190476191
10,1,100,100,0.001,21,6,29,44,0.65,0.35,0.42,0.12,0.88,0.7777777777777778
11,1,100,100,0.001,17,11,29,43,0.6,0.4,0.3695652173913043,0.2037037037037037,0.7962962962962963,0.6071428571428571
12,1,100,100,0.001,22,12,27,39,0.61,0.39,0.4489795918367347,0.23529411764705882,0.7647058823529411,0.6470588235294118
13,1,100,100,0.001,25,25,23,27,0.52,0.48,0.5208333333333334,0.4807692307692308,0.5192307692307693,0.5
14,1,100,100,0.001,26,19,17,38,0.64,0.36,0.6046511627906976,0.3333333333333333,0.6666666666666666,0.5777777777777777
0,1,100,100,0.101,18,5,33,44,0.62,0.38,0.35294117647058826,0.10204081632653061,0.8979591836734694,0.782608695652174
1,1,100,100,0.101,63,28,5,4,0.67,0.33,0.9264705882352942,0.875,0.125,0.6923076923076923
2,1,100,100,0.101,32,21,23,24,0.56,0.44,0.5818181818181818,0.4666666666666667,0.5333333333333333,0.6037735849056604
3,1,100,100,0.101,26,22,26,26,0.52,0.48,0.5,0.4583333333333333,0.5416666666666666,0.5416666666666666
4,1,100,100,0.101,23,35,9,33,0.56,0.44,0.71875,0.5147058823529411,0.4852941176470588,0.39655172413793105
5,1,100,100,0.101,18,22,15,45,0.63,0.37,0.5454545454545454,0.3283582089552239,0.6716417910447762,0.45
6,1,100,100,0.101,29,28,12,31,0.6,0.4,0.7073170731707317,0.4745762711864407,0.5254237288135594,0.5087719298245614
7,1,100,100,0.101,25,18,19,38,0.63,0.37,0.5681818181818182,0.32142857142857145,0.6785714285714286,0.5813953488372093
8,1,100,100,0.101,38,26,18,18,0.56,0.44,0.6785714285714286,0.5909090909090909,0.4090909090909091,0.59375
9,1,100,100,0.101,35,21,18,26,0.61,0.39,0.660377358490566,0.44680851063829785,0.5531914893617021,0.625
10,1,100,100,0.101,31,17,24,28,0.59,0.41,0.5636363636363636,0.37777777777777777,0.6222222222222222,0.6458333333333334
11,1,100,100,0.101,33,32,16,19,0.52,0.48,0.673469387755102,0.6274509803921569,0.37254901960784315,0.5076923076923077
12,1,100,100,0.101,45,33,4,18,0.63,0.37,0.9183673469387755,0.6470588235294118,0.35294117647058826,0.5769230769230769
13,1,100,100,0.101,21,12,33,34,0.55,0.45,0.3888888888888889,0.2608695652173913,0.7391304347826086,0.6363636363636364
14,1,100,100,0.101,37,39,12,12,0.49,0.51,0.7551020408163265,0.7647058823529411,0.23529411764705882,0.4868421052631579
0,1,100,100,0.201,35,45,6,14,0.49,0.51,0.8536585365853658,0.7627118644067796,0.23728813559322035,0.4375
1,1,100,100,0.201,29,41,9,21,0.5,0.5,0.7631578947368421,0.6612903225806451,0.3387096774193548,0.4142857142857143
2,1,100,100,0.201,24,17,17,42,0.66,0.34,0.5853658536585366,0.288135593220339,0.711864406779661,0.5853658536585366
3,1,100,100,0.201,19,28,10,43,0.62,0.38,0.6551724137931034,0.39436619718309857,0.6056338028169014,0.40425531914893614
4,1,100,100,0.201,19,0,42,39,0.58,0.42,0.3114754098360656,0.0,1.0,1.0
5,1,100,100,0.201,10,18,28,44,0.54,0.46,0.2631578947368421,0.2903225806451613,0.7096774193548387,0.35714285714285715
6,1,100,100,0.201,11,1,34,54,0.65,0.35,0.24444444444444444,0.01818181818181818,0.9818181818181818,0.9166666666666666
7,1,100,100,0.201,30,53,6,11,0.41,0.59,0.8333333333333334,0.828125,0.171875,0.3614457831325301
8,1,100,100,0.201,27,26,13,34,0.61,0.39,0.675,0.43333333333333335,0.5666666666666667,0.5094339622641509
9,1,100,100,0.201,19,6,32,43,0.62,0.38,0.37254901960784315,0.12244897959183673,0.8775510204081632,0.76
10,1,100,100,0.201,22,19,19,40,0.62,0.38,0.5365853658536586,0.3220338983050847,0.6779661016949152,0.5365853658536586
11,1,100,100,0.201,38,17,25,20,0.58,0.42,0.6031746031746031,0.4594594594594595,0.5405405405405406,0.6909090909090909
12,1,100,100,0.201,44,21,15,20,0.64,0.36,0.7457627118644068,0.5121951219512195,0.4878048780487805,0.676923076923077
13,1,100,100,0.201,26,41,12,21,0.47,0.53,0.6842105263157895,0.6612903225806451,0.3387096774193548,0.3880597014925373
14,1,100,100,0.201,35,33,11,21,0.56,0.44,0.7608695652173914,0.6111111111111112,0.3888888888888889,0.5147058823529411
0,1,100,100,0.301,25,24,18,33,0.58,0.42,0.5813953488372093,0.42105263157894735,0.5789473684210527,0.5102040816326531
