Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,inf,100,100,0.001,32,19,20,29,0.61,0.39,0.6153846153846154,0.3958333333333333,0.6041666666666666,0.6274509803921569
1,inf,100,100,0.001,29,16,17,38,0.67,0.33,0.6304347826086957,0.2962962962962963,0.7037037037037037,0.6444444444444445
2,inf,100,100,0.001,40,23,13,24,0.64,0.36,0.7547169811320755,0.48936170212765956,0.5106382978723404,0.6349206349206349
3,inf,100,100,0.001,30,12,21,37,0.67,0.33,0.5882352941176471,0.24489795918367346,0.7551020408163265,0.7142857142857143
4,inf,100,100,0.001,33,25,25,17,0.5,0.5,0.5689655172413793,0.5952380952380952,0.40476190476190477,0.5689655172413793
5,inf,100,100,0.001,37,15,23,25,0.62,0.38,0.6166666666666667,0.375,0.625,0.7115384615384616
6,inf,100,100,0.001,22,21,28,29,0.51,0.49,0.44,0.42,0.58,0.5116279069767442
7,inf,100,100,0.001,38,25,13,24,0.62,0.38,0.7450980392156863,0.5102040816326531,0.4897959183673469,0.6031746031746031
8,inf,100,100,0.001,17,32,24,27,0.44,0.56,0.4146341463414634,0.5423728813559322,0.4576271186440678,0.3469387755102041
9,inf,100,100,0.001,30,25,17,28,0.58,0.42,0.6382978723404256,0.4716981132075472,0.5283018867924528,0.5454545454545454
10,inf,100,100,0.001,31,22,16,31,0.62,0.38,0.6595744680851063,0.41509433962264153,0.5849056603773585,0.5849056603773585
11,inf,100,100,0.001,42,21,18,19,0.61,0.39,0.7,0.525,0.475,0.6666666666666666
12,inf,100,100,0.001,19,33,22,26,0.45,0.55,0.4634146341463415,0.559322033898305,0.4406779661016949,0.36538461538461536
13,inf,100,100,0.001,21,21,22,36,0.57,0.43,0.4883720930232558,0.3684210526315789,0.631578947368421,0.5
14,inf,100,100,0.001,23,21,25,31,0.54,0.46,0.4791666666666667,0.40384615384615385,0.5961538461538461,0.5227272727272727
0,inf,100,100,0.101,32,25,20,23,0.55,0.45,0.6153846153846154,0.5208333333333334,0.4791666666666667,0.5614035087719298
1,inf,100,100,0.101,30,24,28,18,0.48,0.52,0.5172413793103449,0.5714285714285714,0.42857142857142855,0.5555555555555556
2,inf,100,100,0.101,24,21,22,33,0.57,0.43,0.5217391304347826,0.3888888888888889,0.6111111111111112,0.5333333333333333
3,inf,100,100,0.101,31,20,21,28,0.59,0.41,0.5961538461538461,0.4166666666666667,0.5833333333333334,0.6078431372549019
4,inf,100,100,0.101,49,26,14,11,0.6,0.4,0.7777777777777778,0.7027027027027027,0.2972972972972973,0.6533333333333333
5,inf,100,100,0.101,32,26,26,16,0.48,0.52,0.5517241379310345,0.6190476190476191,0.38095238095238093,0.5517241379310345
6,inf,100,100,0.101,25,23,22,30,0.55,0.45,0.5319148936170213,0.4339622641509434,0.5660377358490566,0.5208333333333334
7,inf,100,100,0.101,43,17,14,26,0.69,0.31,0.7543859649122807,0.3953488372093023,0.6046511627906976,0.7166666666666667
8,inf,100,100,0.101,22,15,21,42,0.64,0.36,0.5116279069767442,0.2631578947368421,0.7368421052631579,0.5945945945945946
9,inf,100,100,0.101,25,20,24,31,0.56,0.44,0.5102040816326531,0.39215686274509803,0.6078431372549019,0.5555555555555556
10,inf,100,100,0.101,24,25,24,27,0.51,0.49,0.5,0.4807692307692308,0.5192307692307693,0.4897959183673469
11,inf,100,100,0.101,25,22,19,34,0.59,0.41,0.5681818181818182,0.39285714285714285,0.6071428571428571,0.5319148936170213
12,inf,100,100,0.101,12,22,17,49,0.61,0.39,0.41379310344827586,0.30985915492957744,0.6901408450704225,0.35294117647058826
13,inf,100,100,0.101,30,19,24,27,0.57,0.43,0.5555555555555556,0.41304347826086957,0.5869565217391305,0.6122448979591837
14,inf,100,100,0.101,26,23,18,33,0.59,0.41,0.5909090909090909,0.4107142857142857,0.5892857142857143,0.5306122448979592
0,inf,100,100,0.201,36,18,23,23,0.59,0.41,0.6101694915254238,0.43902439024390244,0.5609756097560976,0.6666666666666666
1,inf,100,100,0.201,35,18,25,22,0.57,0.43,0.5833333333333334,0.45,0.55,0.660377358490566
2,inf,100,100,0.201,27,20,29,24,0.51,0.49,0.48214285714285715,0.45454545454545453,0.5454545454545454,0.574468085106383
3,inf,100,100,0.201,32,16,27,25,0.57,0.43,0.5423728813559322,0.3902439024390244,0.6097560975609756,0.6666666666666666
4,inf,100,100,0.201,22,21,20,37,0.59,0.41,0.5238095238095238,0.3620689655172414,0.6379310344827587,0.5116279069767442
5,inf,100,100,0.201,19,20,23,38,0.57,0.43,0.4523809523809524,0.3448275862068966,0.6551724137931034,0.48717948717948717
6,inf,100,100,0.201,31,16,30,23,0.54,0.46,0.5081967213114754,0.41025641025641024,0.5897435897435898,0.6595744680851063
7,inf,100,100,0.201,21,23,23,33,0.54,0.46,0.4772727272727273,0.4107142857142857,0.5892857142857143,0.4772727272727273
8,inf,100,100,0.201,28,24,19,29,0.57,0.43,0.5957446808510638,0.4528301886792453,0.5471698113207547,0.5384615384615384
9,inf,100,100,0.201,27,19,25,29,0.56,0.44,0.5192307692307693,0.3958333333333333,0.6041666666666666,0.5869565217391305
10,inf,100,100,0.201,28,24,18,30,0.58,0.42,0.6086956521739131,0.4444444444444444,0.5555555555555556,0.5384615384615384
11,inf,100,100,0.201,43,17,23,17,0.6,0.4,0.6515151515151515,0.5,0.5,0.7166666666666667
12,inf,100,100,0.201,34,12,26,28,0.62,0.38,0.5666666666666667,0.3,0.7,0.7391304347826086
13,inf,100,100,0.201,14,27,18,41,0.55,0.45,0.4375,0.39705882352941174,0.6029411764705882,0.34146341463414637
14,inf,100,100,0.201,25,25,20,30,0.55,0.45,0.5555555555555556,0.45454545454545453,0.5454545454545454,0.5
0,inf,100,100,0.301,28,20,18,34,0.62,0.38,0.6086956521739131,0.37037037037037035,0.6296296296296297,0.5833333333333334
1,inf,100,100,0.301,22,30,15,33,0.55,0.45,0.5945945945945946,0.47619047619047616,0.5238095238095238,0.4230769230769231
2,inf,100,100,0.301,25,19,21,35,0.6,0.4,0.5434782608695652,0.35185185185185186,0.6481481481481481,0.5681818181818182
3,inf,100,100,0.301,31,26,18,25,0.56,0.44,0.6326530612244898,0.5098039215686274,0.49019607843137253,0.543859649122807
4,inf,100,100,0.301,20,16,28,36,0.56,0.44,0.4166666666666667,0.3076923076923077,0.6923076923076923,0.5555555555555556
5,inf,100,100,0.301,21,24,24,31,0.52,0.48,0.4666666666666667,0.43636363636363634,0.5636363636363636,0.4666666666666667
6,inf,100,100,0.301,30,20,25,25,0.55,0.45,0.5454545454545454,0.4444444444444444,0.5555555555555556,0.6
7,inf,100,100,0.301,18,21,22,39,0.57,0.43,0.45,0.35,0.65,0.46153846153846156
8,inf,100,100,0.301,25,19,20,36,0.61,0.39,0.5555555555555556,0.34545454545454546,0.6545454545454545,0.5681818181818182
9,inf,100,100,0.301,37,21,21,21,0.58,0.42,0.6379310344827587,0.5,0.5,0.6379310344827587
10,inf,100,100,0.301,22,36,26,16,0.38,0.62,0.4583333333333333,0.6923076923076923,0.3076923076923077,0.3793103448275862
11,inf,100,100,0.301,22,31,19,28,0.5,0.5,0.5365853658536586,0.5254237288135594,0.4745762711864407,0.41509433962264153
12,inf,100,100,0.301,30,28,20,22,0.52,0.48,0.6,0.56,0.44,0.5172413793103449
13,inf,100,100,0.301,39,27,21,13,0.52,0.48,0.65,0.675,0.325,0.5909090909090909
14,inf,100,100,0.301,31,20,20,29,0.6,0.4,0.6078431372549019,0.40816326530612246,0.5918367346938775,0.6078431372549019
0,inf,100,100,0.401,25,20,23,32,0.57,0.43,0.5208333333333334,0.38461538461538464,0.6153846153846154,0.5555555555555556
1,inf,100,100,0.401,31,17,25,27,0.58,0.42,0.5535714285714286,0.38636363636363635,0.6136363636363636,0.6458333333333334
2,inf,100,100,0.401,27,28,15,30,0.57,0.43,0.6428571428571429,0.4827586206896552,0.5172413793103449,0.4909090909090909
3,inf,100,100,0.401,29,22,17,32,0.61,0.39,0.6304347826086957,0.4074074074074074,0.5925925925925926,0.5686274509803921
4,inf,100,100,0.401,26,25,26,23,0.49,0.51,0.5,0.5208333333333334,0.4791666666666667,0.5098039215686274
5,inf,100,100,0.401,28,24,18,30,0.58,0.42,0.6086956521739131,0.4444444444444444,0.5555555555555556,0.5384615384615384
6,inf,100,100,0.401,35,15,23,27,0.62,0.38,0.603448275862069,0.35714285714285715,0.6428571428571429,0.7
7,inf,100,100,0.401,44,14,23,19,0.63,0.37,0.6567164179104478,0.42424242424242425,0.5757575757575758,0.7586206896551724
8,inf,100,100,0.401,32,18,12,38,0.7,0.3,0.7272727272727273,0.32142857142857145,0.6785714285714286,0.64
9,inf,100,100,0.401,34,23,18,25,0.59,0.41,0.6538461538461539,0.4791666666666667,0.5208333333333334,0.5964912280701754
10,inf,100,100,0.401,33,17,24,26,0.59,0.41,0.5789473684210527,0.3953488372093023,0.6046511627906976,0.66
11,inf,100,100,0.401,35,18,24,23,0.58,0.42,0.5932203389830508,0.43902439024390244,0.5609756097560976,0.660377358490566
12,inf,100,100,0.401,16,19,27,38,0.54,0.46,0.37209302325581395,0.3333333333333333,0.6666666666666666,0.45714285714285713
13,inf,100,100,0.401,15,17,22,46,0.61,0.39,0.40540540540540543,0.2698412698412698,0.7301587301587301,0.46875
14,inf,100,100,0.401,24,24,22,30,0.54,0.46,0.5217391304347826,0.4444444444444444,0.5555555555555556,0.5
0,inf,100,100,0.501,21,22,20,37,0.58,0.42,0.5121951219512195,0.3728813559322034,0.6271186440677966,0.4883720930232558
1,inf,100,100,0.501,30,19,19,32,0.62,0.38,0.6122448979591837,0.37254901960784315,0.6274509803921569,0.6122448979591837
2,inf,100,100,0.501,20,27,27,26,0.46,0.54,0.425531914893617,0.5094339622641509,0.49056603773584906,0.425531914893617
3,inf,100,100,0.501,34,23,25,18,0.52,0.48,0.576271186440678,0.5609756097560976,0.43902439024390244,0.5964912280701754
4,inf,100,100,0.501,23,31,19,27,0.5,0.5,0.5476190476190477,0.5344827586206896,0.46551724137931033,0.42592592592592593
5,inf,100,100,0.501,33,22,21,24,0.57,0.43,0.6111111111111112,0.4782608695652174,0.5217391304347826,0.6
6,inf,100,100,0.501,21,23,20,36,0.57,0.43,0.5121951219512195,0.3898305084745763,0.6101694915254238,0.4772727272727273
7,inf,100,100,0.501,40,30,17,13,0.53,0.47,0.7017543859649122,0.6976744186046512,0.3023255813953488,0.5714285714285714
8,inf,100,100,0.501,41,26,19,14,0.55,0.45,0.6833333333333333,0.65,0.35,0.6119402985074627
9,inf,100,100,0.501,19,24,16,41,0.6,0.4,0.5428571428571428,0.36923076923076925,0.6307692307692307,0.4418604651162791
10,inf,100,100,0.501,23,21,26,30,0.53,0.47,0.46938775510204084,0.4117647058823529,0.5882352941176471,0.5227272727272727
11,inf,100,100,0.501,18,18,20,44,0.62,0.38,0.47368421052631576,0.2903225806451613,0.7096774193548387,0.5
12,inf,100,100,0.501,16,30,22,32,0.48,0.52,0.42105263157894735,0.4838709677419355,0.5161290322580645,0.34782608695652173
13,inf,100,100,0.501,29,27,16,28,0.57,0.43,0.6444444444444445,0.4909090909090909,0.509090909090909,0.5178571428571429
14,inf,100,100,0.501,31,21,15,33,0.64,0.36,0.6739130434782609,0.3888888888888889,0.6111111111111112,0.5961538461538461
0,inf,100,100,0.601,22,20,18,40,0.62,0.38,0.55,0.3333333333333333,0.6666666666666666,0.5238095238095238
1,inf,100,100,0.601,42,16,16,26,0.68,0.32,0.7241379310344828,0.38095238095238093,0.6190476190476191,0.7241379310344828
2,inf,100,100,0.601,28,22,21,29,0.57,0.43,0.5714285714285714,0.43137254901960786,0.5686274509803921,0.56
3,inf,100,100,0.601,29,17,26,28,0.57,0.43,0.5272727272727272,0.37777777777777777,0.6222222222222222,0.6304347826086957
4,inf,100,100,0.601,36,20,15,29,0.65,0.35,0.7058823529411765,0.40816326530612246,0.5918367346938775,0.6428571428571429
5,inf,100,100,0.601,21,22,19,38,0.59,0.41,0.525,0.36666666666666664,0.6333333333333333,0.4883720930232558
6,inf,100,100,0.601,33,21,15,31,0.64,0.36,0.6875,0.40384615384615385,0.5961538461538461,0.6111111111111112
7,inf,100,100,0.601,31,23,20,26,0.57,0.43,0.6078431372549019,0.46938775510204084,0.5306122448979592,0.5740740740740741
8,inf,100,100,0.601,27,21,22,30,0.57,0.43,0.5510204081632653,0.4117647058823529,0.5882352941176471,0.5625
9,inf,100,100,0.601,38,16,17,29,0.67,0.33,0.6909090909090909,0.35555555555555557,0.6444444444444445,0.7037037037037037
10,inf,100,100,0.601,29,31,15,25,0.54,0.46,0.6590909090909091,0.5535714285714286,0.44642857142857145,0.48333333333333334
11,inf,100,100,0.601,18,14,30,38,0.56,0.44,0.375,0.2692307692307692,0.7307692307692307,0.5625
12,inf,100,100,0.601,27,26,18,29,0.56,0.44,0.6,0.4727272727272727,0.5272727272727272,0.5094339622641509
13,inf,100,100,0.601,32,24,21,23,0.55,0.45,0.6037735849056604,0.5106382978723404,0.48936170212765956,0.5714285714285714
14,inf,100,100,0.601,28,24,22,26,0.54,0.46,0.56,0.48,0.52,0.5384615384615384
0,inf,100,100,0.701,22,19,25,34,0.56,0.44,0.46808510638297873,0.3584905660377358,0.6415094339622641,0.5365853658536586
1,inf,100,100,0.701,18,22,16,44,0.62,0.38,0.5294117647058824,0.3333333333333333,0.6666666666666666,0.45
2,inf,100,100,0.701,37,24,18,21,0.58,0.42,0.6727272727272727,0.5333333333333333,0.4666666666666667,0.6065573770491803
3,inf,100,100,0.701,34,14,27,25,0.59,0.41,0.5573770491803278,0.358974358974359,0.6410256410256411,0.7083333333333334
4,inf,100,100,0.701,17,28,16,39,0.56,0.44,0.5151515151515151,0.417910447761194,0.582089552238806,0.37777777777777777
5,inf,100,100,0.701,24,26,14,36,0.6,0.4,0.631578947368421,0.41935483870967744,0.5806451612903226,0.48
6,inf,100,100,0.701,25,30,20,25,0.5,0.5,0.5555555555555556,0.5454545454545454,0.45454545454545453,0.45454545454545453
7,inf,100,100,0.701,22,34,26,18,0.4,0.6,0.4583333333333333,0.6538461538461539,0.34615384615384615,0.39285714285714285
8,inf,100,100,0.701,27,21,17,35,0.62,0.38,0.6136363636363636,0.375,0.625,0.5625
9,inf,100,100,0.701,30,31,17,22,0.52,0.48,0.6382978723404256,0.5849056603773585,0.41509433962264153,0.4918032786885246
10,inf,100,100,0.701,33,24,23,20,0.53,0.47,0.5892857142857143,0.5454545454545454,0.45454545454545453,0.5789473684210527
11,inf,100,100,0.701,29,17,28,26,0.55,0.45,0.5087719298245614,0.3953488372093023,0.6046511627906976,0.6304347826086957
12,inf,100,100,0.701,36,14,29,21,0.57,0.43,0.5538461538461539,0.4,0.6,0.72
13,inf,100,100,0.701,15,19,24,42,0.57,0.43,0.38461538461538464,0.3114754098360656,0.6885245901639344,0.4411764705882353
14,inf,100,100,0.701,25,13,23,39,0.64,0.36,0.5208333333333334,0.25,0.75,0.6578947368421053
0,inf,300,100,0.001,28,24,23,25,0.53,0.47,0.5490196078431373,0.4897959183673469,0.5102040816326531,0.5384615384615384
1,inf,300,100,0.001,27,18,25,30,0.57,0.43,0.5192307692307693,0.375,0.625,0.6
2,inf,300,100,0.001,28,26,15,31,0.59,0.41,0.6511627906976745,0.45614035087719296,0.543859649122807,0.5185185185185185
3,inf,300,100,0.001,31,27,16,26,0.57,0.43,0.6595744680851063,0.5094339622641509,0.49056603773584906,0.5344827586206896
4,inf,300,100,0.001,29,20,17,34,0.63,0.37,0.6304347826086957,0.37037037037037035,0.6296296296296297,0.5918367346938775
5,inf,300,100,0.001,33,26,17,24,0.57,0.43,0.66,0.52,0.48,0.559322033898305
6,inf,300,100,0.001,25,19,29,27,0.52,0.48,0.46296296296296297,0.41304347826086957,0.5869565217391305,0.5681818181818182
7,inf,300,100,0.001,26,21,30,23,0.49,0.51,0.4642857142857143,0.4772727272727273,0.5227272727272727,0.5531914893617021
8,inf,300,100,0.001,28,11,22,39,0.67,0.33,0.56,0.22,0.78,0.717948717948718
9,inf,300,100,0.001,29,19,23,29,0.58,0.42,0.5576923076923077,0.3958333333333333,0.6041666666666666,0.6041666666666666
10,inf,300,100,0.001,22,21,27,30,0.52,0.48,0.4489795918367347,0.4117647058823529,0.5882352941176471,0.5116279069767442
11,inf,300,100,0.001,19,18,27,36,0.55,0.45,0.41304347826086957,0.3333333333333333,0.6666666666666666,0.5135135135135135
12,inf,300,100,0.001,32,22,27,19,0.51,0.49,0.5423728813559322,0.5365853658536586,0.4634146341463415,0.5925925925925926
