Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,inf,5000,100,0.001,30,17,28,25,0.55,0.45,0.5172413793103449,0.40476190476190477,0.5952380952380952,0.6382978723404256
1,inf,5000,100,0.001,26,28,21,25,0.51,0.49,0.5531914893617021,0.5283018867924528,0.4716981132075472,0.48148148148148145
2,inf,5000,100,0.001,25,32,15,28,0.53,0.47,0.625,0.5333333333333333,0.4666666666666667,0.43859649122807015
3,inf,5000,100,0.001,23,20,30,27,0.5,0.5,0.4339622641509434,0.425531914893617,0.574468085106383,0.5348837209302325
4,inf,5000,100,0.001,20,19,25,36,0.56,0.44,0.4444444444444444,0.34545454545454546,0.6545454545454545,0.5128205128205128
5,inf,5000,100,0.001,29,21,20,30,0.59,0.41,0.5918367346938775,0.4117647058823529,0.5882352941176471,0.58
6,inf,5000,100,0.001,32,24,17,27,0.59,0.41,0.6530612244897959,0.47058823529411764,0.5294117647058824,0.5714285714285714
7,inf,5000,100,0.001,26,23,23,28,0.54,0.46,0.5306122448979592,0.45098039215686275,0.5490196078431373,0.5306122448979592
8,inf,5000,100,0.001,26,20,26,28,0.54,0.46,0.5,0.4166666666666667,0.5833333333333334,0.5652173913043478
9,inf,5000,100,0.001,25,21,25,29,0.54,0.46,0.5,0.42,0.58,0.5434782608695652
10,inf,5000,100,0.001,33,19,19,29,0.62,0.38,0.6346153846153846,0.3958333333333333,0.6041666666666666,0.6346153846153846
11,inf,5000,100,0.001,32,18,27,23,0.55,0.45,0.5423728813559322,0.43902439024390244,0.5609756097560976,0.64
12,inf,5000,100,0.001,26,26,24,24,0.5,0.5,0.52,0.52,0.48,0.5
13,inf,5000,100,0.001,29,24,21,26,0.55,0.45,0.58,0.48,0.52,0.5471698113207547
14,inf,5000,100,0.001,24,18,32,26,0.5,0.5,0.42857142857142855,0.4090909090909091,0.5909090909090909,0.5714285714285714
0,inf,5000,100,0.101,31,28,15,26,0.57,0.43,0.6739130434782609,0.5185185185185185,0.48148148148148145,0.5254237288135594
1,inf,5000,100,0.101,27,20,24,29,0.56,0.44,0.5294117647058824,0.40816326530612246,0.5918367346938775,0.574468085106383
2,inf,5000,100,0.101,27,24,25,24,0.51,0.49,0.5192307692307693,0.5,0.5,0.5294117647058824
3,inf,5000,100,0.101,39,22,14,25,0.64,0.36,0.7358490566037735,0.46808510638297873,0.5319148936170213,0.639344262295082
4,inf,5000,100,0.101,21,20,30,29,0.5,0.5,0.4117647058823529,0.40816326530612246,0.5918367346938775,0.5121951219512195
5,inf,5000,100,0.101,23,31,20,26,0.49,0.51,0.5348837209302325,0.543859649122807,0.45614035087719296,0.42592592592592593
6,inf,5000,100,0.101,26,21,26,27,0.53,0.47,0.5,0.4375,0.5625,0.5531914893617021
7,inf,5000,100,0.101,26,24,23,27,0.53,0.47,0.5306122448979592,0.47058823529411764,0.5294117647058824,0.52
8,inf,5000,100,0.101,36,21,24,19,0.55,0.45,0.6,0.525,0.475,0.631578947368421
9,inf,5000,100,0.101,28,24,28,20,0.48,0.52,0.5,0.5454545454545454,0.45454545454545453,0.5384615384615384
10,inf,5000,100,0.101,21,22,29,28,0.49,0.51,0.42,0.44,0.56,0.4883720930232558
11,inf,5000,100,0.101,22,27,27,24,0.46,0.54,0.4489795918367347,0.5294117647058824,0.47058823529411764,0.4489795918367347
12,inf,5000,100,0.101,22,25,20,33,0.55,0.45,0.5238095238095238,0.43103448275862066,0.5689655172413793,0.46808510638297873
13,inf,5000,100,0.101,22,24,19,35,0.57,0.43,0.5365853658536586,0.4067796610169492,0.5932203389830508,0.4782608695652174
14,inf,5000,100,0.101,29,18,25,28,0.57,0.43,0.5370370370370371,0.391304347826087,0.6086956521739131,0.6170212765957447
0,inf,5000,100,0.201,21,25,22,32,0.53,0.47,0.4883720930232558,0.43859649122807015,0.5614035087719298,0.45652173913043476
1,inf,5000,100,0.201,34,17,28,21,0.55,0.45,0.5483870967741935,0.4473684210526316,0.5526315789473685,0.6666666666666666
2,inf,5000,100,0.201,28,20,21,31,0.59,0.41,0.5714285714285714,0.39215686274509803,0.6078431372549019,0.5833333333333334
3,inf,5000,100,0.201,22,31,22,25,0.47,0.53,0.5,0.5535714285714286,0.44642857142857145,0.41509433962264153
4,inf,5000,100,0.201,27,23,20,30,0.57,0.43,0.574468085106383,0.4339622641509434,0.5660377358490566,0.54
5,inf,5000,100,0.201,23,21,27,29,0.52,0.48,0.46,0.42,0.58,0.5227272727272727
6,inf,5000,100,0.201,27,18,22,33,0.6,0.4,0.5510204081632653,0.35294117647058826,0.6470588235294118,0.6
7,inf,5000,100,0.201,23,33,24,20,0.43,0.57,0.48936170212765956,0.6226415094339622,0.37735849056603776,0.4107142857142857
8,inf,5000,100,0.201,24,26,24,26,0.5,0.5,0.5,0.5,0.5,0.48
9,inf,5000,100,0.201,27,20,24,29,0.56,0.44,0.5294117647058824,0.40816326530612246,0.5918367346938775,0.574468085106383
10,inf,5000,100,0.201,21,29,23,27,0.48,0.52,0.4772727272727273,0.5178571428571429,0.48214285714285715,0.42
11,inf,5000,100,0.201,18,26,25,31,0.49,0.51,0.4186046511627907,0.45614035087719296,0.543859649122807,0.4090909090909091
12,inf,5000,100,0.201,31,24,22,23,0.54,0.46,0.5849056603773585,0.5106382978723404,0.48936170212765956,0.5636363636363636
13,inf,5000,100,0.201,29,22,22,27,0.56,0.44,0.5686274509803921,0.4489795918367347,0.5510204081632653,0.5686274509803921
14,inf,5000,100,0.201,35,22,21,22,0.57,0.43,0.625,0.5,0.5,0.6140350877192983
0,inf,5000,100,0.301,29,30,15,26,0.55,0.45,0.6590909090909091,0.5357142857142857,0.4642857142857143,0.4915254237288136
1,inf,5000,100,0.301,17,37,24,22,0.39,0.61,0.4146341463414634,0.6271186440677966,0.3728813559322034,0.3148148148148148
2,inf,5000,100,0.301,30,21,18,31,0.61,0.39,0.625,0.40384615384615385,0.5961538461538461,0.5882352941176471
3,inf,5000,100,0.301,30,22,21,27,0.57,0.43,0.5882352941176471,0.4489795918367347,0.5510204081632653,0.5769230769230769
4,inf,5000,100,0.301,24,26,27,23,0.47,0.53,0.47058823529411764,0.5306122448979592,0.46938775510204084,0.48
5,inf,5000,100,0.301,35,24,19,22,0.57,0.43,0.6481481481481481,0.5217391304347826,0.4782608695652174,0.5932203389830508
6,inf,5000,100,0.301,23,19,22,36,0.59,0.41,0.5111111111111111,0.34545454545454546,0.6545454545454545,0.5476190476190477
7,inf,5000,100,0.301,21,25,28,26,0.47,0.53,0.42857142857142855,0.49019607843137253,0.5098039215686274,0.45652173913043476
8,inf,5000,100,0.301,28,23,25,24,0.52,0.48,0.5283018867924528,0.48936170212765956,0.5106382978723404,0.5490196078431373
9,inf,5000,100,0.301,21,22,22,35,0.56,0.44,0.4883720930232558,0.38596491228070173,0.6140350877192983,0.4883720930232558
10,inf,5000,100,0.301,33,24,22,21,0.54,0.46,0.6,0.5333333333333333,0.4666666666666667,0.5789473684210527
11,inf,5000,100,0.301,19,36,27,18,0.37,0.63,0.41304347826086957,0.6666666666666666,0.3333333333333333,0.34545454545454546
12,inf,5000,100,0.301,30,24,21,25,0.55,0.45,0.5882352941176471,0.4897959183673469,0.5102040816326531,0.5555555555555556
13,inf,5000,100,0.301,24,22,28,26,0.5,0.5,0.46153846153846156,0.4583333333333333,0.5416666666666666,0.5217391304347826
14,inf,5000,100,0.301,31,15,26,28,0.59,0.41,0.543859649122807,0.3488372093023256,0.6511627906976745,0.6739130434782609
0,inf,5000,100,0.401,26,25,19,30,0.56,0.44,0.5777777777777777,0.45454545454545453,0.5454545454545454,0.5098039215686274
1,inf,5000,100,0.401,26,23,29,22,0.48,0.52,0.4727272727272727,0.5111111111111111,0.4888888888888889,0.5306122448979592
2,inf,5000,100,0.401,33,22,22,23,0.56,0.44,0.6,0.4888888888888889,0.5111111111111111,0.6
3,inf,5000,100,0.401,23,32,15,30,0.53,0.47,0.6052631578947368,0.5161290322580645,0.4838709677419355,0.41818181818181815
4,inf,5000,100,0.401,20,26,25,29,0.49,0.51,0.4444444444444444,0.4727272727272727,0.5272727272727272,0.43478260869565216
5,inf,5000,100,0.401,26,26,27,21,0.47,0.53,0.49056603773584906,0.5531914893617021,0.44680851063829785,0.5
6,inf,5000,100,0.401,20,24,31,25,0.45,0.55,0.39215686274509803,0.4897959183673469,0.5102040816326531,0.45454545454545453
7,inf,5000,100,0.401,29,25,29,17,0.46,0.54,0.5,0.5952380952380952,0.40476190476190477,0.5370370370370371
8,inf,5000,100,0.401,21,26,29,24,0.45,0.55,0.42,0.52,0.48,0.44680851063829785
9,inf,5000,100,0.401,24,30,23,23,0.47,0.53,0.5106382978723404,0.5660377358490566,0.4339622641509434,0.4444444444444444
10,inf,5000,100,0.401,25,27,27,21,0.46,0.54,0.4807692307692308,0.5625,0.4375,0.4807692307692308
11,inf,5000,100,0.401,21,26,24,29,0.5,0.5,0.4666666666666667,0.4727272727272727,0.5272727272727272,0.44680851063829785
12,inf,5000,100,0.401,27,27,26,20,0.47,0.53,0.5094339622641509,0.574468085106383,0.425531914893617,0.5
13,inf,5000,100,0.401,24,30,28,18,0.42,0.58,0.46153846153846156,0.625,0.375,0.4444444444444444
14,inf,5000,100,0.401,26,23,22,29,0.55,0.45,0.5416666666666666,0.4423076923076923,0.5576923076923077,0.5306122448979592
0,inf,5000,100,0.501,20,26,24,30,0.5,0.5,0.45454545454545453,0.4642857142857143,0.5357142857142857,0.43478260869565216
1,inf,5000,100,0.501,20,26,21,33,0.53,0.47,0.4878048780487805,0.4406779661016949,0.559322033898305,0.43478260869565216
2,inf,5000,100,0.501,24,20,29,27,0.51,0.49,0.4528301886792453,0.425531914893617,0.574468085106383,0.5454545454545454
3,inf,5000,100,0.501,27,30,22,21,0.48,0.52,0.5510204081632653,0.5882352941176471,0.4117647058823529,0.47368421052631576
4,inf,5000,100,0.501,30,28,20,22,0.52,0.48,0.6,0.56,0.44,0.5172413793103449
5,inf,5000,100,0.501,28,30,19,23,0.51,0.49,0.5957446808510638,0.5660377358490566,0.4339622641509434,0.4827586206896552
6,inf,5000,100,0.501,31,22,22,25,0.56,0.44,0.5849056603773585,0.46808510638297873,0.5319148936170213,0.5849056603773585
7,inf,5000,100,0.501,27,20,22,31,0.58,0.42,0.5510204081632653,0.39215686274509803,0.6078431372549019,0.574468085106383
8,inf,5000,100,0.501,29,21,21,29,0.58,0.42,0.58,0.42,0.58,0.58
