Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
0,2,10,1,0.05,16,14,20,50,0.66,0.34,0.4444444444444444,0.21875,0.78125,0.5333333333333333
1,2,10,1,0.05,27,19,17,37,0.64,0.36,0.6136363636363636,0.3392857142857143,0.6607142857142857,0.5869565217391305
2,2,10,1,0.05,65,13,12,10,0.75,0.25,0.8441558441558441,0.5652173913043478,0.43478260869565216,0.8333333333333334
3,2,10,1,0.05,1,5,8,86,0.87,0.13,0.1111111111111111,0.054945054945054944,0.945054945054945,0.16666666666666666
4,2,10,1,0.05,76,4,14,6,0.82,0.18,0.8444444444444444,0.4,0.6,0.95
5,2,10,1,0.05,7,20,19,54,0.61,0.39,0.2692307692307692,0.2702702702702703,0.7297297297297297,0.25925925925925924
6,2,10,1,0.05,48,8,19,25,0.73,0.27,0.7164179104477612,0.24242424242424243,0.7575757575757576,0.8571428571428571
7,2,10,1,0.05,6,10,9,75,0.81,0.19,0.4,0.11764705882352941,0.8823529411764706,0.375
8,2,10,1,0.05,36,17,14,33,0.69,0.31,0.72,0.34,0.66,0.6792452830188679
9,2,10,1,0.05,42,17,18,23,0.65,0.35,0.7,0.425,0.575,0.711864406779661
0,2,10,1,0.1,7,9,12,72,0.79,0.21,0.3684210526315789,0.1111111111111111,0.8888888888888888,0.4375
1,2,10,1,0.1,46,13,18,23,0.69,0.31,0.71875,0.3611111111111111,0.6388888888888888,0.7796610169491526
2,2,10,1,0.1,80,5,12,3,0.83,0.17,0.8695652173913043,0.625,0.375,0.9411764705882353
3,2,10,1,0.1,60,17,11,12,0.72,0.28,0.8450704225352113,0.5862068965517241,0.41379310344827586,0.7792207792207793
4,2,10,1,0.1,11,21,34,34,0.45,0.55,0.24444444444444444,0.38181818181818183,0.6181818181818182,0.34375
5,2,10,1,0.1,11,15,13,61,0.72,0.28,0.4583333333333333,0.19736842105263158,0.8026315789473685,0.4230769230769231
6,2,10,1,0.1,57,18,16,9,0.66,0.34,0.7808219178082192,0.6666666666666666,0.3333333333333333,0.76
7,2,10,1,0.1,44,6,17,33,0.77,0.23,0.7213114754098361,0.15384615384615385,0.8461538461538461,0.88
8,2,10,1,0.1,24,23,16,37,0.61,0.39,0.6,0.38333333333333336,0.6166666666666667,0.5106382978723404
9,2,10,1,0.1,19,19,17,45,0.64,0.36,0.5277777777777778,0.296875,0.703125,0.5
0,2,10,1,0.15,80,9,10,1,0.81,0.19,0.8888888888888888,0.9,0.1,0.898876404494382
1,2,10,1,0.15,67,14,6,13,0.8,0.2,0.9178082191780822,0.5185185185185185,0.48148148148148145,0.8271604938271605
2,2,10,1,0.15,30,23,15,32,0.62,0.38,0.6666666666666666,0.41818181818181815,0.5818181818181818,0.5660377358490566
3,2,10,1,0.15,42,14,10,34,0.76,0.24,0.8076923076923077,0.2916666666666667,0.7083333333333334,0.75
4,2,10,1,0.15,47,24,16,13,0.6,0.4,0.746031746031746,0.6486486486486487,0.35135135135135137,0.6619718309859155
5,2,10,1,0.15,32,12,9,47,0.79,0.21,0.7804878048780488,0.2033898305084746,0.7966101694915254,0.7272727272727273
6,2,10,1,0.15,5,11,8,76,0.81,0.19,0.38461538461538464,0.12643678160919541,0.8735632183908046,0.3125
7,2,10,1,0.15,49,17,7,27,0.76,0.24,0.875,0.38636363636363635,0.6136363636363636,0.7424242424242424
8,2,10,1,0.15,65,10,16,9,0.74,0.26,0.8024691358024691,0.5263157894736842,0.47368421052631576,0.8666666666666667
9,2,10,1,0.15,23,10,22,45,0.68,0.32,0.5111111111111111,0.18181818181818182,0.8181818181818182,0.696969696969697
0,2,10,1,0.2,16,15,19,50,0.66,0.34,0.45714285714285713,0.23076923076923078,0.7692307692307693,0.5161290322580645
1,2,10,1,0.2,21,19,7,53,0.74,0.26,0.75,0.2638888888888889,0.7361111111111112,0.525
2,2,10,1,0.2,51,22,18,9,0.6,0.4,0.7391304347826086,0.7096774193548387,0.2903225806451613,0.6986301369863014
3,2,10,1,0.2,9,15,19,57,0.66,0.34,0.32142857142857145,0.20833333333333334,0.7916666666666666,0.375
4,2,10,1,0.2,13,21,27,39,0.52,0.48,0.325,0.35,0.65,0.38235294117647056
5,2,10,1,0.2,5,13,12,70,0.75,0.25,0.29411764705882354,0.1566265060240964,0.8433734939759037,0.2777777777777778
6,2,10,1,0.2,55,8,12,25,0.8,0.2,0.8208955223880597,0.24242424242424243,0.7575757575757576,0.873015873015873
7,2,10,1,0.2,63,11,19,7,0.7,0.3,0.7682926829268293,0.6111111111111112,0.3888888888888889,0.8513513513513513
8,2,10,1,0.2,74,4,12,10,0.84,0.16,0.8604651162790697,0.2857142857142857,0.7142857142857143,0.9487179487179487
9,2,10,1,0.2,21,18,17,44,0.65,0.35,0.5526315789473685,0.2903225806451613,0.7096774193548387,0.5384615384615384
0,2,10,1,0.25,46,24,16,14,0.6,0.4,0.7419354838709677,0.631578947368421,0.3684210526315789,0.6571428571428571
1,2,10,1,0.25,36,11,12,41,0.77,0.23,0.75,0.21153846153846154,0.7884615384615384,0.7659574468085106
2,2,10,1,0.25,87,6,6,1,0.88,0.12,0.9354838709677419,0.8571428571428571,0.14285714285714285,0.9354838709677419
3,2,10,1,0.25,42,23,18,17,0.59,0.41,0.7,0.575,0.425,0.6461538461538462
4,2,10,1,0.25,15,19,11,55,0.7,0.3,0.5769230769230769,0.25675675675675674,0.7432432432432432,0.4411764705882353
5,2,10,1,0.25,1,12,13,74,0.75,0.25,0.07142857142857142,0.13953488372093023,0.8604651162790697,0.07692307692307693
6,2,10,1,0.25,16,26,23,35,0.51,0.49,0.41025641025641024,0.4262295081967213,0.5737704918032787,0.38095238095238093
7,2,10,1,0.25,47,18,10,25,0.72,0.28,0.8245614035087719,0.4186046511627907,0.5813953488372093,0.7230769230769231
8,2,10,1,0.25,61,6,25,8,0.69,0.31,0.7093023255813954,0.42857142857142855,0.5714285714285714,0.9104477611940298
9,2,10,1,0.25,45,20,19,16,0.61,0.39,0.703125,0.5555555555555556,0.4444444444444444,0.6923076923076923
0,2,20,1,0.05,9,15,21,55,0.64,0.36,0.3,0.21428571428571427,0.7857142857142857,0.375
1,2,20,1,0.05,23,28,27,22,0.45,0.55,0.46,0.56,0.44,0.45098039215686275
2,2,20,1,0.05,44,9,21,26,0.7,0.3,0.676923076923077,0.2571428571428571,0.7428571428571429,0.8301886792452831
3,2,20,1,0.05,13,25,18,44,0.57,0.43,0.41935483870967744,0.36231884057971014,0.6376811594202898,0.34210526315789475
4,2,20,1,0.05,22,18,16,44,0.66,0.34,0.5789473684210527,0.2903225806451613,0.7096774193548387,0.55
5,2,20,1,0.05,20,20,19,41,0.61,0.39,0.5128205128205128,0.32786885245901637,0.6721311475409836,0.5
6,2,20,1,0.05,23,25,20,32,0.55,0.45,0.5348837209302325,0.43859649122807015,0.5614035087719298,0.4791666666666667
7,2,20,1,0.05,53,21,16,10,0.63,0.37,0.7681159420289855,0.6774193548387096,0.3225806451612903,0.7162162162162162
8,2,20,1,0.05,29,22,22,27,0.56,0.44,0.5686274509803921,0.4489795918367347,0.5510204081632653,0.5686274509803921
9,2,20,1,0.05,28,29,16,27,0.55,0.45,0.6363636363636364,0.5178571428571429,0.48214285714285715,0.49122807017543857
0,2,20,1,0.1,40,22,17,21,0.61,0.39,0.7017543859649122,0.5116279069767442,0.4883720930232558,0.6451612903225806
1,2,20,1,0.1,32,19,14,35,0.67,0.33,0.6956521739130435,0.35185185185185186,0.6481481481481481,0.6274509803921569
2,2,20,1,0.1,52,19,14,15,0.67,0.33,0.7878787878787878,0.5588235294117647,0.4411764705882353,0.7323943661971831
3,2,20,1,0.1,46,23,13,18,0.64,0.36,0.7796610169491526,0.5609756097560976,0.43902439024390244,0.6666666666666666
4,2,20,1,0.1,4,20,20,56,0.6,0.4,0.16666666666666666,0.2631578947368421,0.7368421052631579,0.16666666666666666
5,2,20,1,0.1,40,19,14,27,0.67,0.33,0.7407407407407407,0.41304347826086957,0.5869565217391305,0.6779661016949152
6,2,20,1,0.1,43,29,15,13,0.56,0.44,0.7413793103448276,0.6904761904761905,0.30952380952380953,0.5972222222222222
7,2,20,1,0.1,28,22,26,24,0.52,0.48,0.5185185185185185,0.4782608695652174,0.5217391304347826,0.56
8,2,20,1,0.1,31,19,28,22,0.53,0.47,0.5254237288135594,0.4634146341463415,0.5365853658536586,0.62
9,2,20,1,0.1,40,26,27,7,0.47,0.53,0.5970149253731343,0.7878787878787878,0.21212121212121213,0.6060606060606061
0,2,20,1,0.15,19,20,23,38,0.57,0.43,0.4523809523809524,0.3448275862068966,0.6551724137931034,0.48717948717948717
1,2,20,1,0.15,69,10,13,8,0.77,0.23,0.8414634146341463,0.5555555555555556,0.4444444444444444,0.8734177215189873
2,2,20,1,0.15,11,16,21,52,0.63,0.37,0.34375,0.23529411764705882,0.7647058823529411,0.4074074074074074
3,2,20,1,0.15,35,24,19,22,0.57,0.43,0.6481481481481481,0.5217391304347826,0.4782608695652174,0.5932203389830508
4,2,20,1,0.15,30,16,18,36,0.66,0.34,0.625,0.3076923076923077,0.6923076923076923,0.6521739130434783
5,2,20,1,0.15,44,16,19,21,0.65,0.35,0.6984126984126984,0.43243243243243246,0.5675675675675675,0.7333333333333333
6,2,20,1,0.15,46,19,19,16,0.62,0.38,0.7076923076923077,0.5428571428571428,0.45714285714285713,0.7076923076923077
7,2,20,1,0.15,44,15,17,24,0.68,0.32,0.7213114754098361,0.38461538461538464,0.6153846153846154,0.7457627118644068
8,2,20,1,0.15,42,24,21,13,0.55,0.45,0.6666666666666666,0.6486486486486487,0.35135135135135137,0.6363636363636364
9,2,20,1,0.15,68,16,16,0,0.68,0.32,0.8095238095238095,1.0,0.0,0.8095238095238095
0,2,20,1,0.2,17,29,29,25,0.42,0.58,0.3695652173913043,0.5370370370370371,0.46296296296296297,0.3695652173913043
1,2,20,1,0.2,39,14,33,14,0.53,0.47,0.5416666666666666,0.5,0.5,0.7358490566037735
2,2,20,1,0.2,25,14,10,51,0.76,0.24,0.7142857142857143,0.2153846153846154,0.7846153846153846,0.6410256410256411
3,2,20,1,0.2,27,22,28,23,0.5,0.5,0.4909090909090909,0.4888888888888889,0.5111111111111111,0.5510204081632653
4,2,20,1,0.2,44,14,15,27,0.71,0.29,0.7457627118644068,0.34146341463414637,0.6585365853658537,0.7586206896551724
5,2,20,1,0.2,31,21,29,19,0.5,0.5,0.5166666666666667,0.525,0.475,0.5961538461538461
6,2,20,1,0.2,22,23,24,31,0.53,0.47,0.4782608695652174,0.42592592592592593,0.5740740740740741,0.4888888888888889
7,2,20,1,0.2,38,23,16,23,0.61,0.39,0.7037037037037037,0.5,0.5,0.6229508196721312
8,2,20,1,0.2,43,22,16,19,0.62,0.38,0.7288135593220338,0.5365853658536586,0.4634146341463415,0.6615384615384615
9,2,20,1,0.2,45,19,26,10,0.55,0.45,0.6338028169014085,0.6551724137931034,0.3448275862068966,0.703125
0,2,20,1,0.25,23,25,16,36,0.59,0.41,0.5897435897435898,0.4098360655737705,0.5901639344262295,0.4791666666666667
1,2,20,1,0.25,44,25,14,17,0.61,0.39,0.7586206896551724,0.5952380952380952,0.40476190476190477,0.6376811594202898
2,2,20,1,0.25,34,17,20,29,0.63,0.37,0.6296296296296297,0.3695652173913043,0.6304347826086957,0.6666666666666666
3,2,20,1,0.25,33,22,22,23,0.56,0.44,0.6,0.4888888888888889,0.5111111111111111,0.6
4,2,20,1,0.25,50,16,21,13,0.63,0.37,0.704225352112676,0.5517241379310345,0.4482758620689655,0.7575757575757576
5,2,20,1,0.25,46,28,15,11,0.57,0.43,0.7540983606557377,0.717948717948718,0.28205128205128205,0.6216216216216216
6,2,20,1,0.25,15,18,30,37,0.52,0.48,0.3333333333333333,0.32727272727272727,0.6727272727272727,0.45454545454545453
7,2,20,1,0.25,34,24,18,24,0.58,0.42,0.6538461538461539,0.5,0.5,0.5862068965517241
8,2,20,1,0.25,34,22,24,20,0.54,0.46,0.5862068965517241,0.5238095238095238,0.47619047619047616,0.6071428571428571
9,2,20,1,0.25,38,25,26,11,0.49,0.51,0.59375,0.6944444444444444,0.3055555555555556,0.6031746031746031
0,2,30,1,0.05,55,19,13,13,0.68,0.32,0.8088235294117647,0.59375,0.40625,0.7432432432432432
1,2,30,1,0.05,28,18,25,29,0.57,0.43,0.5283018867924528,0.3829787234042553,0.6170212765957447,0.6086956521739131
2,2,30,1,0.05,28,27,15,30,0.58,0.42,0.6511627906976745,0.47368421052631576,0.5263157894736842,0.509090909090909
3,2,30,1,0.05,30,17,18,35,0.65,0.35,0.625,0.3269230769230769,0.6730769230769231,0.6382978723404256
4,2,30,1,0.05,24,26,22,28,0.52,0.48,0.5217391304347826,0.48148148148148145,0.5185185185185185,0.48
5,2,30,1,0.05,24,29,24,23,0.47,0.53,0.5,0.5576923076923077,0.4423076923076923,0.4528301886792453
6,2,30,1,0.05,33,16,12,39,0.72,0.28,0.7333333333333333,0.2909090909090909,0.7090909090909091,0.673469387755102
7,2,30,1,0.05,5,17,28,50,0.55,0.45,0.15151515151515152,0.2537313432835821,0.746268656716418,0.22727272727272727
8,2,30,1,0.05,12,20,26,42,0.54,0.46,0.3157894736842105,0.3225806451612903,0.6774193548387096,0.375
9,2,30,1,0.05,12,17,23,48,0.6,0.4,0.34285714285714286,0.26153846153846155,0.7384615384615385,0.41379310344827586
0,2,30,1,0.1,21,23,25,31,0.52,0.48,0.45652173913043476,0.42592592592592593,0.5740740740740741,0.4772727272727273
1,2,30,1,0.1,35,31,24,10,0.45,0.55,0.5932203389830508,0.7560975609756098,0.24390243902439024,0.5303030303030303
2,2,30,1,0.1,50,24,20,6,0.56,0.44,0.7142857142857143,0.8,0.2,0.6756756756756757
3,2,30,1,0.1,23,19,19,39,0.62,0.38,0.5476190476190477,0.3275862068965517,0.6724137931034483,0.5476190476190477
4,2,30,1,0.1,16,28,28,28,0.44,0.56,0.36363636363636365,0.5,0.5,0.36363636363636365
5,2,30,1,0.1,15,25,26,34,0.49,0.51,0.36585365853658536,0.423728813559322,0.576271186440678,0.375
6,2,30,1,0.1,27,23,15,35,0.62,0.38,0.6428571428571429,0.39655172413793105,0.603448275862069,0.54
7,2,30,1,0.1,25,16,29,30,0.55,0.45,0.46296296296296297,0.34782608695652173,0.6521739130434783,0.6097560975609756
8,2,30,1,0.1,45,21,25,9,0.54,0.46,0.6428571428571429,0.7,0.3,0.6818181818181818
9,2,30,1,0.1,33,22,19,26,0.59,0.41,0.6346153846153846,0.4583333333333333,0.5416666666666666,0.6
