TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
0,1,1,5,1,0.0,0.0
0,1,2,5,1,0.0,0.0
0,1,inf,5,1,0.2,0.447213595499958
1,1,1,5,1,nan,nan
1,1,2,5,1,0.0,0.0
1,1,inf,5,1,0.2,0.447213595499958
2,1,1,5,1,0.0,0.0
2,1,2,5,1,0.0,0.0
2,1,inf,5,1,0.0,0.0
3,1,1,5,1,nan,nan
3,1,2,5,1,0.0,0.0
3,1,inf,5,1,0.0,0.0
4,1,1,5,1,0.0,0.0
4,1,2,5,1,0.0,0.0
4,1,inf,5,1,0.0,0.0
5,1,1,5,1,nan,nan
5,1,2,5,1,0.0,0.0
5,1,inf,5,1,0.0,0.0
6,1,1,5,1,0.0,0.0
6,1,2,5,1,0.2,0.447213595499958
6,1,inf,5,1,0.0,0.0
7,1,1,5,1,0.0,0.0
7,1,2,5,1,0.0,0.0
7,1,inf,5,1,0.2,0.447213595499958
8,1,1,5,1,0.2,0.447213595499958
8,1,2,5,1,0.0,0.0
8,1,inf,5,1,nan,nan
9,1,1,5,1,0.2,0.447213595499958
9,1,2,5,1,0.2,0.447213595499958
9,1,inf,5,1,0.2,0.447213595499958
0,1,1,50,1,0.0,0.0
0,1,2,50,1,0.0,0.0
0,1,inf,50,1,0.0,0.0
1,1,1,50,1,0.0,0.0
1,1,2,50,1,0.0,0.0
1,1,inf,50,1,0.0,0.0
2,1,1,50,1,0.0,0.0
2,1,2,50,1,0.0,0.0
2,1,inf,50,1,0.0,0.0
3,1,1,50,1,0.0,0.0
3,1,2,50,1,0.0,0.0
3,1,inf,50,1,0.0,0.0
4,1,1,50,1,0.0,0.0
4,1,2,50,1,0.0,0.0
4,1,inf,50,1,0.0,0.0
5,1,1,50,1,0.0,0.0
5,1,2,50,1,0.0,0.0
5,1,inf,50,1,0.0,0.0
6,1,1,50,1,0.0,0.0
6,1,2,50,1,0.0,0.0
6,1,inf,50,1,0.0,0.0
7,1,1,50,1,0.0,0.0
7,1,2,50,1,0.0,0.0
7,1,inf,50,1,0.0,0.0
8,1,1,50,1,0.0,0.0
8,1,2,50,1,0.0,0.0
8,1,inf,50,1,0.0,0.0
9,1,1,50,1,0.0,0.0
9,1,2,50,1,0.0,0.0
9,1,inf,50,1,0.0,0.0
0,1,1,500,1,0.0,0.0
0,1,2,500,1,0.0,0.0
0,1,inf,500,1,0.0,0.0
1,1,1,500,1,0.0,0.0
1,1,2,500,1,0.0,0.0
1,1,inf,500,1,0.0,0.0
2,1,1,500,1,0.0,0.0
2,1,2,500,1,0.0,0.0
2,1,inf,500,1,0.0,0.0
3,1,1,500,1,0.0,0.0
3,1,2,500,1,0.0,0.0
3,1,inf,500,1,0.0,0.0
4,1,1,500,1,0.0,0.0
4,1,2,500,1,0.0,0.0
4,1,inf,500,1,0.0,0.0
5,1,1,500,1,0.0,0.0
5,1,2,500,1,0.0,0.0
5,1,inf,500,1,0.0,0.0
6,1,1,500,1,0.0,0.0
6,1,2,500,1,0.0,0.0
6,1,inf,500,1,0.0,0.0
7,1,1,500,1,0.0,0.0
7,1,2,500,1,0.0,0.0
7,1,inf,500,1,0.0,0.0
8,1,1,500,1,0.0,0.0
8,1,2,500,1,0.0,0.0
8,1,inf,500,1,0.0,0.0
9,1,1,500,1,0.0,0.0
9,1,2,500,1,0.0,0.0
9,1,inf,500,1,0.0,0.0
0,1,1,5,2,0.38360204858,0.33393588983702843
0,1,2,5,2,0.244012158481,0.34159696751287816
0,1,inf,5,2,0.213993072857,0.21662647488277617
1,1,1,5,2,0.32046061228,0.2607819750427156
1,1,2,5,2,0.308786824758,0.23298825593976136
1,1,inf,5,2,0.402305078547,0.27723575714874993
2,1,1,5,2,0.264601693662,0.2144774469622898
2,1,2,5,2,0.292130490624,0.23471063662810737
2,1,inf,5,2,0.355898338157,0.178013133497895
3,1,1,5,2,0.157075330925,0.03264349927253183
3,1,2,5,2,0.354470363732,0.27015723904649547
3,1,inf,5,2,0.296809279814,0.3485083461960673
4,1,1,5,2,0.301802872518,0.2075850526658857
4,1,2,5,2,0.288591821874,0.3089318693440438
4,1,inf,5,2,0.296600395114,0.06534356962658748
5,1,1,5,2,0.28522178372,0.23839266925437305
5,1,2,5,2,0.304855196565,0.21233829208951382
5,1,inf,5,2,0.272545847364,0.21740582408543543
6,1,1,5,2,0.387362526468,0.16305471817239264
6,1,2,5,2,0.470078673008,0.10887725226165992
6,1,inf,5,2,0.157699820647,0.15813367425440855
7,1,1,5,2,0.35922011871,0.1880599638585606
7,1,2,5,2,0.394796149434,0.35183582901318994
7,1,inf,5,2,0.292456959252,0.21872904849299074
8,1,1,5,2,0.443409973994,0.08323927685157004
8,1,2,5,2,0.336988972483,0.27209351925260583
8,1,inf,5,2,0.28915825108,0.34153180174291586
9,1,1,5,2,0.466457074708,0.2301203823263277
9,1,2,5,2,0.518465208833,0.19603591493978548
9,1,inf,5,2,0.547768037508,0.2854322391130103
0,1,1,50,2,0.0419085959812,0.0380578638955414
0,1,2,50,2,0.033054373314,0.028239384387578916
0,1,inf,50,2,0.0428780656219,0.0440309513771948
1,1,1,50,2,0.0392016165361,0.03288002270774906
1,1,2,50,2,0.0295460930032,0.03745062652864154
1,1,inf,50,2,0.0347352951845,0.030932314290583688
2,1,1,50,2,0.0386488549616,0.0312623316643152
2,1,2,50,2,0.0429323964198,0.04029174119457582
2,1,inf,50,2,0.0314264549118,0.026776421049017986
3,1,1,50,2,0.0324987479247,0.027634338364734255
3,1,2,50,2,0.0405261429623,0.032676697055624905
3,1,inf,50,2,0.0454979390262,0.0347355377290255
4,1,1,50,2,0.0331100978813,0.032730086832436535
4,1,2,50,2,0.0312657890875,0.04511893211103009
4,1,inf,50,2,0.0386846725562,0.04964677446710454
5,1,1,50,2,0.0384471656276,0.03927226191388997
5,1,2,50,2,0.0401724476961,0.037847515016595314
5,1,inf,50,2,0.0311013189897,0.030761310375312885
6,1,1,50,2,0.0386922130388,0.034967631484071865
6,1,2,50,2,0.0394848491029,0.03417285661168799
6,1,inf,50,2,0.0345625405558,0.02849922543015691
7,1,1,50,2,0.0348618260363,0.03134189267625502
7,1,2,50,2,0.0382373161741,0.03635232682140913
7,1,inf,50,2,0.0364907723697,0.03970011090168861
8,1,1,50,2,0.0415447108804,0.033539493880459015
8,1,2,50,2,0.0329690739994,0.03817968450447267
8,1,inf,50,2,0.0298809586959,0.029436062712420268
9,1,1,50,2,0.0398671150278,0.038641113619069474
9,1,2,50,2,0.0405516278691,0.03957230909352671
9,1,inf,50,2,0.0331081435056,0.03055265624874966
0,1,1,500,2,0.00400487093944,0.004168653650397712
0,1,2,500,2,0.00400294774559,0.00391079549122047
0,1,inf,500,2,0.0040770323672,0.004001136559049589
1,1,1,500,2,0.00420180369622,0.004638383362588431
1,1,2,500,2,0.00377451285517,0.003965468999548409
1,1,inf,500,2,0.0039387019671,0.003881830351974852
2,1,1,500,2,0.00443053375981,0.004465274717249601
2,1,2,500,2,0.00392350748253,0.004657918693169808
2,1,inf,500,2,0.00366453042065,0.00414764879798804
3,1,1,500,2,0.00411669789986,0.0043408455919906755
3,1,2,500,2,0.00377004963551,0.0039335639474153096
3,1,inf,500,2,0.00432727689511,0.004447181074282363
4,1,1,500,2,0.0038002431998,0.004358287950852314
4,1,2,500,2,0.00389953118321,0.00407609649515802
4,1,inf,500,2,0.00396256810227,0.0038607121653373567
5,1,1,500,2,0.00369906988399,0.003754698292628906
5,1,2,500,2,0.00402953962229,0.004054975336119141
5,1,inf,500,2,0.00426936043292,0.004179392361878909
6,1,1,500,2,0.0038304984035,0.004255785798803261
6,1,2,500,2,0.00380020614435,0.004055179623820698
6,1,inf,500,2,0.00380251734024,0.00406378934012867
7,1,1,500,2,0.00385798413195,0.004205897726951837
7,1,2,500,2,0.00384516391717,0.0037677841915614158
7,1,inf,500,2,0.00400285107573,0.0041068348521540905
8,1,1,500,2,0.00392748780262,0.003958223576979596
8,1,2,500,2,0.00421106114992,0.004411641574905604
8,1,inf,500,2,0.00399323860933,0.00420693873671971
9,1,1,500,2,0.0038340596497,0.004254244964714376
9,1,2,500,2,0.00416323425325,0.004292605579852252
9,1,inf,500,2,0.00420079870074,0.0043796783031328735
0,1,1,5,3,0.349953978902,0.19159576720902546
0,1,2,5,3,0.446155962253,0.10804586710073577
0,1,inf,5,3,0.431686651022,0.19069380937158792
1,1,1,5,3,0.291966805692,0.2520228592476242
1,1,2,5,3,0.5188339217,0.2726763907121951
1,1,inf,5,3,0.509548590244,0.18293331246761596
2,1,1,5,3,0.395631481215,0.03805961275459851
2,1,2,5,3,0.53070145691,0.043768350342665234
2,1,inf,5,3,0.511243043717,0.2031132776953469
3,1,1,5,3,0.346167753768,0.2714824565937347
3,1,2,5,3,0.54848274844,0.14479985446451452
3,1,inf,5,3,0.197257415686,0.10013759305503481
4,1,1,5,3,0.455098656355,0.07988935857428421
4,1,2,5,3,0.455756552915,0.10890092598941174
4,1,inf,5,3,0.517234276854,0.23087313318596173
5,1,1,5,3,0.47410625003,0.2398113166690416
5,1,2,5,3,0.36834307162,0.23213872096100904
5,1,inf,5,3,0.389684691853,0.10885021463473868
6,1,1,5,3,0.515773035528,0.10051375814940085
6,1,2,5,3,0.355902478218,0.3523384108311128
6,1,inf,5,3,0.323111516931,0.15764217118343277
7,1,1,5,3,0.430175142895,0.3673774560169445
7,1,2,5,3,0.500702630702,0.09204028080916137
7,1,inf,5,3,0.210634345465,0.2621161666452375
8,1,1,5,3,0.448927740077,0.057565565591777834
8,1,2,5,3,0.458344162903,0.2631628882245963
8,1,inf,5,3,0.309721429195,0.1633931078533454
9,1,1,5,3,0.462835615362,0.1266543314122027
9,1,2,5,3,0.460943725401,0.27751776043969933
9,1,inf,5,3,0.438318362897,0.2339947697533616
0,1,1,50,3,0.131646215159,0.06449164146237395
0,1,2,50,3,0.137350208387,0.07233659921990401
0,1,inf,50,3,0.134063677771,0.0582672925927025
1,1,1,50,3,0.143319806555,0.07174970942381714
1,1,2,50,3,0.162301790622,0.06959927074947976
1,1,inf,50,3,0.132709168955,0.06965423960720564
2,1,1,50,3,0.140761184522,0.07317333956366331
2,1,2,50,3,0.126190361256,0.07176663840638539
2,1,inf,50,3,0.148481255264,0.07270426121583903
3,1,1,50,3,0.137725189403,0.07367852334552062
3,1,2,50,3,0.136015234285,0.05704582006695631
3,1,inf,50,3,0.134557277915,0.06427779702258737
4,1,1,50,3,0.15514075079,0.05922476503701215
4,1,2,50,3,0.116645832956,0.06814503131829217
4,1,inf,50,3,0.14289952178,0.0792270055822255
5,1,1,50,3,0.132044257467,0.06482323441406351
5,1,2,50,3,0.14763019122,0.06775245709242618
5,1,inf,50,3,0.14776525281,0.06064933063548267
6,1,1,50,3,0.14841919548,0.07348902567825472
6,1,2,50,3,0.134994709602,0.060928229654513034
6,1,inf,50,3,0.135318119763,0.06853402453959775
7,1,1,50,3,0.135881054927,0.07815000499029286
7,1,2,50,3,0.127105984391,0.07180283887480092
7,1,inf,50,3,0.158284452978,0.0689989329961368
8,1,1,50,3,0.134969831294,0.06891834256191713
8,1,2,50,3,0.136447294833,0.0679422292308673
8,1,inf,50,3,0.127869137112,0.06279052574025916
9,1,1,50,3,0.128208197178,0.060997318976373185
9,1,2,50,3,0.123045841593,0.0815012305410755
9,1,inf,50,3,0.142730901252,0.06468212590194797
0,1,1,500,3,0.0417551590407,0.023755869257626246
0,1,2,500,3,0.0472327664867,0.024683668415572863
0,1,inf,500,3,0.0429066533106,0.023446009462056
1,1,1,500,3,0.0438678068078,0.024536393606020328
1,1,2,500,3,0.0446690239435,0.022862110109382893
1,1,inf,500,3,0.0452455229671,0.02397466534245592
2,1,1,500,3,0.0449529373177,0.024019459675149773
2,1,2,500,3,0.0436372198064,0.026211103902184812
2,1,inf,500,3,0.0445996835095,0.025184175153848624
3,1,1,500,3,0.0425141822631,0.021548555699022864
3,1,2,500,3,0.0447719095685,0.02411625090643357
3,1,inf,500,3,0.0435557202027,0.02439090686136141
4,1,1,500,3,0.0459368957456,0.024582058101959764
4,1,2,500,3,0.0456129308307,0.023690467467713076
4,1,inf,500,3,0.0449424521699,0.02335021874778939
5,1,1,500,3,0.0450178335784,0.023407436186748787
5,1,2,500,3,0.0447866644956,0.02401858909172727
5,1,inf,500,3,0.0446517189571,0.024101926277980832
6,1,1,500,3,0.0452287444754,0.02442104513318871
6,1,2,500,3,0.0454828383769,0.022363369122140625
6,1,inf,500,3,0.0455151034806,0.026054052496059455
7,1,1,500,3,0.0456159856924,0.024022871159255228
7,1,2,500,3,0.0437586472232,0.02302457691412858
7,1,inf,500,3,0.043663614094,0.02356546687079777
8,1,1,500,3,0.0438653182788,0.024761365687603745
8,1,2,500,3,0.0454823197017,0.022550449678238795
8,1,inf,500,3,0.0445053070966,0.023618574560215693
9,1,1,500,3,0.0439726971507,0.025206662288069843
9,1,2,500,3,0.0442303133789,0.02507948636460323
9,1,inf,500,3,0.0449179050387,0.025525980368343987
0,1,1,5,4,0.408482030674,0.11004852989673979
0,1,2,5,4,0.635237078168,0.11502095929479673
0,1,inf,5,4,0.500147802456,0.34710197251662356
1,1,1,5,4,0.588941646172,0.160410680364837
1,1,2,5,4,0.514862439674,0.12030935171859476
1,1,inf,5,4,0.529235262175,0.09020781598911375
2,1,1,5,4,0.573765044045,0.19974085665633495
2,1,2,5,4,0.619316234158,0.10643041082576243
2,1,inf,5,4,0.451860183488,0.25614147968882983
3,1,1,5,4,0.592072275386,0.09031753691977598
3,1,2,5,4,0.438371378912,0.10331601484266419
3,1,inf,5,4,0.460963426676,0.13793210410769477
4,1,1,5,4,0.410507295347,0.23720824165893323
4,1,2,5,4,0.419441949279,0.2811448398560846
4,1,inf,5,4,0.581367569075,0.21890500284086128
5,1,1,5,4,0.607666528265,0.15224280885295666
5,1,2,5,4,0.509721556753,0.13628166719025003
5,1,inf,5,4,0.451139559519,0.016216958105990716
6,1,1,5,4,0.538681138068,0.18859382119380552
6,1,2,5,4,0.415583894951,0.12285796034546939
6,1,inf,5,4,0.520165044329,0.14995631345231972
7,1,1,5,4,0.562098183153,0.11087230629271506
7,1,2,5,4,0.617150459239,0.07020932171069208
7,1,inf,5,4,0.573471662973,0.08596547110269535
8,1,1,5,4,0.400492350083,0.24920284632129885
8,1,2,5,4,0.431702803612,0.06366867403836318
8,1,inf,5,4,0.484836364418,0.2895329527594329
9,1,1,5,4,0.612889499843,0.07378231623170999
9,1,2,5,4,0.496282802021,0.1692103343285016
9,1,inf,5,4,0.604931292733,0.11613362163769952
0,1,1,50,4,0.244984282776,0.05133929805232223
0,1,2,50,4,0.218194633852,0.0772252832363341
0,1,inf,50,4,0.21286809576,0.06356430176633301
1,1,1,50,4,0.204540786164,0.10048674142786958
1,1,2,50,4,0.207402064621,0.07773936834408025
1,1,inf,50,4,0.199044551946,0.0977694237721393
2,1,1,50,4,0.21334312661,0.09166740487252664
2,1,2,50,4,0.197010129129,0.07275359729926575
2,1,inf,50,4,0.208489681622,0.07416307848711844
3,1,1,50,4,0.234371965469,0.06582611288866051
3,1,2,50,4,0.212274592362,0.08004264570062675
