TrialNumber,Metric,NormalizationMetric,K,N,MinDistance,MaxDistance,Mean,StandardDeviation
0,1,2,500,1,0.0,2.0,0.0,0.0
1,1,2,500,1,0.0,2.0,0.0,0.0
2,1,2,500,1,0.0,2.0,0.0,0.0
3,1,2,500,1,0.0,2.0,0.0,0.0
4,1,2,500,1,0.0,2.0,0.0,0.0
5,1,2,500,1,0.0,2.0,0.0,0.0
6,1,2,500,1,0.0,2.0,0.0,0.0
7,1,2,500,1,0.0,2.0,0.0,0.0
8,1,2,500,1,0.0,2.0,0.0,0.0
9,1,2,500,1,0.0,2.0,0.0,0.0
0,1,2,500,2,0.00806292219251,2.0,0.00403146109625,0.0041818795900024075
1,1,2,500,2,0.0082849655325,2.0,0.00414248276625,0.0045921012578400006
2,1,2,500,2,0.00780778861712,2.0,0.00390389430856,0.004169497526794381
3,1,2,500,2,0.00803090557056,2.0,0.00401545278528,0.004144783127751848
4,1,2,500,2,0.00800493328397,2.0,0.00400246664199,0.004133746679172403
5,1,2,500,2,0.00798986088234,2.0,0.00399493044117,0.004240441083402226
6,1,2,500,2,0.00769400890925,2.0,0.00384700445462,0.003746151852517706
7,1,2,500,2,0.00762329650294,2.0,0.00381164825147,0.0035557192802628946
8,1,2,500,2,0.00756548084646,2.0,0.00378274042323,0.004584570618499642
9,1,2,500,2,0.00773924291981,2.0,0.0038696214599,0.004096386280494904
0,1,2,500,3,0.0886460626386,2.0,0.0443230313193,0.024281894338801086
1,1,2,500,3,0.0870654795245,2.0,0.0435327397623,0.021822053601726364
2,1,2,500,3,0.0918437388443,2.0,0.0459218694221,0.023591206226531183
3,1,2,500,3,0.0908217632866,2.0,0.0454108816433,0.022788612080217385
4,1,2,500,3,0.0908689495538,2.0,0.0454344747769,0.02297963042815912
5,1,2,500,3,0.0910122916371,2.0,0.0455061458185,0.021868199958789428
6,1,2,500,3,0.0895126564658,2.0,0.0447563282329,0.0232131726828597
7,1,2,500,3,0.0902528026692,2.0,0.0451264013346,0.024531946011406687
8,1,2,500,3,0.0876870460542,2.0,0.0438435230271,0.023774593793100363
9,1,2,500,3,0.0879131702911,2.0,0.0439565851455,0.023364783357857886
0,1,2,500,4,0.196809656711,2.0,0.0984048283557,0.03679090400260223
1,1,2,500,4,0.195535752434,2.0,0.0977678762171,0.03588543140579796
2,1,2,500,4,0.207716511283,2.0,0.103858255642,0.03766307130306859
3,1,2,500,4,0.202114069623,2.0,0.101057034812,0.03739377975404078
4,1,2,500,4,0.199025479916,2.0,0.099512739958,0.03829942110671607
5,1,2,500,4,0.199534740759,2.0,0.0997673703793,0.037867348036247986
6,1,2,500,4,0.203606212793,2.0,0.101803106397,0.03620267093984519
7,1,2,500,4,0.199920861642,2.0,0.0999604308209,0.03829228070007558
8,1,2,500,4,0.200787051929,2.0,0.100393525964,0.038022781940303466
9,1,2,500,4,0.201604511933,2.0,0.100802255966,0.03680881298569992
0,1,2,500,5,0.294125599938,2.0,0.147062799969,0.04450085065600018
1,1,2,500,5,0.302886972992,2.0,0.151443486496,0.046114972473150245
2,1,2,500,5,0.310965635423,2.0,0.155482817712,0.0449887493372429
3,1,2,500,5,0.303568767526,2.0,0.151784383763,0.04731880625701295
