Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,int,int,int,float,int,int,int,int,float,float,float,float,float,float
0,2,10,1,0.05,16,14,20,50,0.66,0.34,0.444444444,0.21875,0.78125,0.533333333
1,2,10,1,0.05,27,19,17,37,0.64,0.36,0.613636364,0.339285714,0.660714286,0.586956522
2,2,10,1,0.05,65,13,12,10,0.75,0.25,0.844155844,0.565217391,0.434782609,0.833333333
3,2,10,1,0.05,1,5,8,86,0.87,0.13,0.111111111,0.054945055,0.945054945,0.166666667
4,2,10,1,0.05,76,4,14,6,0.82,0.18,0.844444444,0.4,0.6,0.95
5,2,10,1,0.05,7,20,19,54,0.61,0.39,0.269230769,0.27027027,0.72972973,0.259259259
6,2,10,1,0.05,48,8,19,25,0.73,0.27,0.71641791,0.242424242,0.757575758,0.857142857
7,2,10,1,0.05,6,10,9,75,0.81,0.19,0.4,0.117647059,0.882352941,0.375
8,2,10,1,0.05,36,17,14,33,0.69,0.31,0.72,0.34,0.66,0.679245283
9,2,10,1,0.05,42,17,18,23,0.65,0.35,0.7,0.425,0.575,0.711864407
0,2,10,1,0.1,7,9,12,72,0.79,0.21,0.368421053,0.111111111,0.888888889,0.4375
1,2,10,1,0.1,46,13,18,23,0.69,0.31,0.71875,0.361111111,0.638888889,0.779661017
2,2,10,1,0.1,80,5,12,3,0.83,0.17,0.869565217,0.625,0.375,0.941176471
3,2,10,1,0.1,60,17,11,12,0.72,0.28,0.845070423,0.586206897,0.413793103,0.779220779
4,2,10,1,0.1,11,21,34,34,0.45,0.55,0.244444444,0.381818182,0.618181818,0.34375
5,2,10,1,0.1,11,15,13,61,0.72,0.28,0.458333333,0.197368421,0.802631579,0.423076923
6,2,10,1,0.1,57,18,16,9,0.66,0.34,0.780821918,0.666666667,0.333333333,0.76
7,2,10,1,0.1,44,6,17,33,0.77,0.23,0.721311475,0.153846154,0.846153846,0.88
8,2,10,1,0.1,24,23,16,37,0.61,0.39,0.6,0.383333333,0.616666667,0.510638298
9,2,10,1,0.1,19,19,17,45,0.64,0.36,0.527777778,0.296875,0.703125,0.5
0,2,10,1,0.15,80,9,10,1,0.81,0.19,0.888888889,0.9,0.1,0.898876404
1,2,10,1,0.15,67,14,6,13,0.8,0.2,0.917808219,0.518518519,0.481481481,0.827160494
2,2,10,1,0.15,30,23,15,32,0.62,0.38,0.666666667,0.418181818,0.581818182,0.566037736
3,2,10,1,0.15,42,14,10,34,0.76,0.24,0.807692308,0.291666667,0.708333333,0.75
4,2,10,1,0.15,47,24,16,13,0.6,0.4,0.746031746,0.648648649,0.351351351,0.661971831
5,2,10,1,0.15,32,12,9,47,0.79,0.21,0.780487805,0.203389831,0.796610169,0.727272727
6,2,10,1,0.15,5,11,8,76,0.81,0.19,0.384615385,0.126436782,0.873563218,0.3125
7,2,10,1,0.15,49,17,7,27,0.76,0.24,0.875,0.386363636,0.613636364,0.742424242
