TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
str,str,int,int,int,float,float
0,1,2,500,1,0.001585483,0.006785488
1,1,2,500,1,0.001317218,0.002469131
2,1,2,500,1,0.001439753,0.002294007
3,1,2,500,1,0.001480799,0.004740296
4,1,2,500,1,0.001475487,0.005064882
0,1,2,500,2,0.021289686,0.016104018
1,1,2,500,2,0.022719062,0.016240166
2,1,2,500,2,0.021123449,0.017071112
3,1,2,500,2,0.020700255,0.015364423
4,1,2,500,2,0.020988209,0.014653631
0,1,2,500,3,0.054246664,0.027794285
1,1,2,500,3,0.058895505,0.028041624
2,1,2,500,3,0.054125255,0.029739316
3,1,2,500,3,0.055028156,0.027314468
4,1,2,500,3,0.052739382,0.025461085
0,1,2,500,4,0.088160752,0.034043516
1,1,2,500,4,0.093697835,0.034349387
2,1,2,500,4,0.09019695,0.03544985
3,1,2,500,4,0.094574291,0.034814842
4,1,2,500,4,0.091710595,0.034691769
0,1,2,500,5,0.128822507,0.038624131
1,1,2,500,5,0.122802782,0.037649879
2,1,2,500,5,0.126794849,0.039549589
3,1,2,500,5,0.123475569,0.036763212
4,1,2,500,5,0.12739088,0.037175315
0,1,2,500,6,0.150019947,0.040357256
1,1,2,500,6,0.158357637,0.038722422
2,1,2,500,6,0.163737752,0.03909321
3,1,2,500,6,0.15251519,0.041468691
4,1,2,500,6,0.15849359,0.040289088
0,1,2,500,7,0.19035431,0.037856313
1,1,2,500,7,0.190070308,0.040654379
2,1,2,500,7,0.189017618,0.042586221
3,1,2,500,7,0.185458767,0.044913646
4,1,2,500,7,0.182005104,0.040571186
0,1,2,500,8,0.212757013,0.041855134
1,1,2,500,8,0.213308027,0.040961378
2,1,2,500,8,0.218193292,0.03987125
3,1,2,500,8,0.213407128,0.040911876
4,1,2,500,8,0.20864327,0.043270228
0,1,2,500,9,0.231966976,0.041002622
1,1,2,500,9,0.233278748,0.043375469
2,1,2,500,9,0.245932159,0.041168834
3,1,2,500,9,0.233012425,0.042374362
4,1,2,500,9,0.232106957,0.042855257
0,1,2,500,10,0.254117744,0.044717352
1,1,2,500,10,0.255888741,0.040216343
2,1,2,500,10,0.260929524,0.04152463
3,1,2,500,10,0.259948088,0.042781238
4,1,2,500,10,0.251476954,0.046245116
0,1,2,500,20,0.3957081,0.037744746
1,1,2,500,20,0.398044419,0.035931387
2,1,2,500,20,0.397029622,0.038687561
3,1,2,500,20,0.386727827,0.039107383
4,1,2,500,20,0.399837707,0.038212508
0,1,2,500,30,0.472029963,0.033805374
1,1,2,500,30,0.471964453,0.033056233
2,1,2,500,30,0.466361696,0.034842033
3,1,2,500,30,0.464375187,0.037841522
4,1,2,500,30,0.471966948,0.035620169
0,1,2,500,40,0.521797798,0.031999634
1,1,2,500,40,0.520799128,0.032586722
2,1,2,500,40,0.517891796,0.033381271
3,1,2,500,40,0.521997877,0.033128909
4,1,2,500,40,0.522322307,0.030090799
0,1,2,500,50,0.559245795,0.032463294
1,1,2,500,50,0.559823921,0.030313901
2,1,2,500,50,0.561782397,0.030819077
3,1,2,500,50,0.563613528,0.029874258
4,1,2,500,50,0.562884378,0.030478565
0,1,2,500,60,0.59013982,0.026901166
1,1,2,500,60,0.592033186,0.027426839
2,1,2,500,60,0.591359907,0.026011545
3,1,2,500,60,0.594753662,0.028891822
4,1,2,500,60,0.59242841,0.028024065
0,1,2,500,70,0.614760691,0.028511045
1,1,2,500,70,0.614936239,0.026958648
2,1,2,500,70,0.62011418,0.025296585
3,1,2,500,70,0.612200197,0.026393153
4,1,2,500,70,0.618130754,0.026511197
0,1,2,500,80,0.634938472,0.025287001
1,1,2,500,80,0.632954749,0.026062089
2,1,2,500,80,0.626398788,0.027843124
3,1,2,500,80,0.625206313,0.029528076
4,1,2,500,80,0.636201397,0.026353234
0,1,2,500,90,0.653780273,0.024017421
1,1,2,500,90,0.649595314,0.026246059
2,1,2,500,90,0.656718112,0.024101807
3,1,2,500,90,0.647893844,0.026630382
4,1,2,500,90,0.649910922,0.024752845
0,1,2,500,100,0.666638376,0.024813054
1,1,2,500,100,0.669368493,0.023906727
2,1,2,500,100,0.665075605,0.024634044
3,1,2,500,100,0.666085768,0.026183028
4,1,2,500,100,0.662148921,0.025894269
0,2,2,500,1,0.001604161,0.004299216
1,2,2,500,1,0.001486235,0.004843194
2,2,2,500,1,0.001383273,0.003521067
3,2,2,500,1,0.00154558,0.004203212
4,2,2,500,1,0.001627604,0.006434507
0,2,2,500,2,0.021806746,0.018194815
1,2,2,500,2,0.023039747,0.018414754
2,2,2,500,2,0.02234827,0.021166671
3,2,2,500,2,0.022454591,0.016628722
4,2,2,500,2,0.022382225,0.017990733
0,2,2,500,3,0.061397093,0.031305432
1,2,2,500,3,0.057504556,0.028679758
2,2,2,500,3,0.058131149,0.026825825
3,2,2,500,3,0.062685519,0.028780428
4,2,2,500,3,0.059803086,0.030862306
0,2,2,500,4,0.098945324,0.037363496
1,2,2,500,4,0.09723136,0.037513226
2,2,2,500,4,0.099713534,0.037410528
3,2,2,500,4,0.095854055,0.03699513
4,2,2,500,4,0.10393498,0.036953082
0,2,2,500,5,0.140161082,0.041146781
1,2,2,500,5,0.137833997,0.041689702
2,2,2,500,5,0.131800539,0.044686265
3,2,2,500,5,0.140082543,0.039169593
4,2,2,500,5,0.136743827,0.042506837
0,2,2,500,6,0.16924033,0.044890503
1,2,2,500,6,0.171506806,0.045095076
2,2,2,500,6,0.177946756,0.042468761
3,2,2,500,6,0.17330588,0.045182274
4,2,2,500,6,0.173544961,0.043608341
0,2,2,500,7,0.205452201,0.045208516
1,2,2,500,7,0.209168062,0.043786451
2,2,2,500,7,0.206943621,0.042278665
3,2,2,500,7,0.205480915,0.047033573
4,2,2,500,7,0.197795999,0.042821295
0,2,2,500,8,0.228382356,0.04577718
1,2,2,500,8,0.229081487,0.042378284
2,2,2,500,8,0.227895422,0.045693969
3,2,2,500,8,0.231168764,0.044368848
4,2,2,500,8,0.238996472,0.042619055
0,2,2,500,9,0.25234132,0.044227089
1,2,2,500,9,0.265072402,0.042364917
2,2,2,500,9,0.255459949,0.040451644
3,2,2,500,9,0.259365207,0.04369209
4,2,2,500,9,0.263175076,0.043418181
0,2,2,500,10,0.265056642,0.048443989
1,2,2,500,10,0.27235302,0.047327441
2,2,2,500,10,0.273240054,0.045416826
3,2,2,500,10,0.281674588,0.046070148
4,2,2,500,10,0.26680266,0.043296923
0,2,2,500,20,0.419198077,0.040312474
1,2,2,500,20,0.422047454,0.036484062
2,2,2,500,20,0.41414237,0.038591166
3,2,2,500,20,0.421451955,0.04129532
4,2,2,500,20,0.407300246,0.040384031
0,2,2,500,30,0.497330791,0.035036333
1,2,2,500,30,0.490293566,0.03552943
2,2,2,500,30,0.492158198,0.034186214
3,2,2,500,30,0.494889931,0.036006713
4,2,2,500,30,0.495528604,0.032460697
0,2,2,500,40,0.545251935,0.032464645
1,2,2,500,40,0.552196165,0.032152022
2,2,2,500,40,0.549252512,0.032045106
3,2,2,500,40,0.548089232,0.031086533
4,2,2,500,40,0.54691124,0.030529127
0,2,2,500,50,0.591410632,0.028090436
1,2,2,500,50,0.584142398,0.031811105
2,2,2,500,50,0.584913922,0.030829371
3,2,2,500,50,0.580159402,0.032276005
4,2,2,500,50,0.585839288,0.027455085
0,2,2,500,60,0.612147766,0.029457946
1,2,2,500,60,0.611856273,0.026855575
2,2,2,500,60,0.614492599,0.027381531
3,2,2,500,60,0.617647116,0.02755902
4,2,2,500,60,0.61469679,0.028106325
0,2,2,500,70,0.641164959,0.025329577
1,2,2,500,70,0.639008226,0.025540822
2,2,2,500,70,0.632933591,0.026538245
3,2,2,500,70,0.639924376,0.027026536
4,2,2,500,70,0.633715437,0.025726385
0,2,2,500,80,0.658829074,0.025520301
1,2,2,500,80,0.653893021,0.025641255
2,2,2,500,80,0.657313086,0.024911688
3,2,2,500,80,0.654898369,0.024421513
4,2,2,500,80,0.659315167,0.024286095
0,2,2,500,90,0.671661728,0.024276356
1,2,2,500,90,0.669182056,0.023720343
2,2,2,500,90,0.676811599,0.024904009
3,2,2,500,90,0.676313308,0.02436892
4,2,2,500,90,0.67447147,0.0253069
0,2,2,500,100,0.690845331,0.020659688
1,2,2,500,100,0.687128603,0.022123305
2,2,2,500,100,0.688553606,0.022004824
3,2,2,500,100,0.684876548,0.022989666
4,2,2,500,100,0.683511476,0.022277786
0,inf,2,500,1,0.001488689,0.002328524
1,inf,2,500,1,0.001458825,0.004271406
2,inf,2,500,1,0.001502544,0.004817982
3,inf,2,500,1,0.001494658,0.003430497
4,inf,2,500,1,0.001540323,0.003003455
0,inf,2,500,2,0.020514211,0.016436167
1,inf,2,500,2,0.021122653,0.016423401
2,inf,2,500,2,0.022276626,0.017272716
3,inf,2,500,2,0.019699128,0.013897751
4,inf,2,500,2,0.021498055,0.017418825
0,inf,2,500,3,0.053924603,0.026706048
1,inf,2,500,3,0.053672759,0.025974355
2,inf,2,500,3,0.054591579,0.029423149
3,inf,2,500,3,0.0548752,0.027823603
4,inf,2,500,3,0.055699723,0.027336696
0,inf,2,500,4,0.09134283,0.033515681
1,inf,2,500,4,0.088250377,0.033060325
2,inf,2,500,4,0.08628771,0.032586076
3,inf,2,500,4,0.086880468,0.031942583
4,inf,2,500,4,0.091229948,0.032471966
0,inf,2,500,5,0.110736036,0.037566964
1,inf,2,500,5,0.12196728,0.037801794
2,inf,2,500,5,0.120668465,0.033969913
3,inf,2,500,5,0.11888272,0.034731297
4,inf,2,500,5,0.118570183,0.030926897
0,inf,2,500,6,0.145200757,0.037624184
1,inf,2,500,6,0.136866573,0.036051844
2,inf,2,500,6,0.145498278,0.03569543
3,inf,2,500,6,0.145660233,0.038761526
4,inf,2,500,6,0.139356159,0.032511598
0,inf,2,500,7,0.165852782,0.036915528
1,inf,2,500,7,0.17099089,0.03597815
2,inf,2,500,7,0.16234856,0.035430568
3,inf,2,500,7,0.163380548,0.04197029
4,inf,2,500,7,0.167218156,0.034940407
0,inf,2,500,8,0.18376353,0.03800663
1,inf,2,500,8,0.183443066,0.03866917
2,inf,2,500,8,0.18308668,0.034850838
3,inf,2,500,8,0.180885326,0.036495144
4,inf,2,500,8,0.177785395,0.035140675
0,inf,2,500,9,0.208057219,0.034456972
1,inf,2,500,9,0.197617488,0.033829441
2,inf,2,500,9,0.198405874,0.035868922
3,inf,2,500,9,0.201104663,0.034937088
4,inf,2,500,9,0.204125098,0.039642173
0,inf,2,500,10,0.203358068,0.04035782
1,inf,2,500,10,0.220717404,0.039512604
2,inf,2,500,10,0.215817948,0.035342541
3,inf,2,500,10,0.208317502,0.037611464
4,inf,2,500,10,0.21116739,0.038488227
0,inf,2,500,20,0.297100725,0.034938595
1,inf,2,500,20,0.288482902,0.037509952
2,inf,2,500,20,0.308798473,0.032564809
3,inf,2,500,20,0.30672342,0.032935036
4,inf,2,500,20,0.294473207,0.037114335
0,inf,2,500,30,0.344976666,0.031638423
1,inf,2,500,30,0.340154845,0.032159135
2,inf,2,500,30,0.334401488,0.036790643
3,inf,2,500,30,0.341418462,0.034297177
4,inf,2,500,30,0.343310372,0.033764727
0,inf,2,500,40,0.379149789,0.030555761
1,inf,2,500,40,0.371585091,0.035159346
2,inf,2,500,40,0.375878933,0.034330379
3,inf,2,500,40,0.388294072,0.032227658
4,inf,2,500,40,0.381586561,0.031853472
0,inf,2,500,50,0.395427594,0.033396795
1,inf,2,500,50,0.397919989,0.031710026
2,inf,2,500,50,0.385132598,0.032248903
3,inf,2,500,50,0.388715519,0.032521989
4,inf,2,500,50,0.387657278,0.031431227
0,inf,2,500,60,0.408967935,0.031545134
1,inf,2,500,60,0.397370679,0.031620014
2,inf,2,500,60,0.410739557,0.031029016
3,inf,2,500,60,0.403623348,0.029991263
4,inf,2,500,60,0.406864802,0.030732672
0,inf,2,500,70,0.415628891,0.031776487
1,inf,2,500,70,0.420807518,0.03115834
2,inf,2,500,70,0.424531376,0.031080524
3,inf,2,500,70,0.418070087,0.033252667
4,inf,2,500,70,0.414122528,0.031962858
0,inf,2,500,80,0.429447642,0.031974195
1,inf,2,500,80,0.432003129,0.02900573
2,inf,2,500,80,0.42077645,0.032626861
3,inf,2,500,80,0.429297105,0.034423776
4,inf,2,500,80,0.424349113,0.032026539
0,inf,2,500,90,0.442555669,0.030390289
1,inf,2,500,90,0.43447482,0.033844409
2,inf,2,500,90,0.438646594,0.029770291
3,inf,2,500,90,0.441602704,0.031685239
4,inf,2,500,90,0.437761587,0.032039703
0,inf,2,500,100,0.439979739,0.034120696
1,inf,2,500,100,0.443952506,0.032968785
2,inf,2,500,100,0.451874306,0.031610032
3,inf,2,500,100,0.448524275,0.030234454
4,inf,2,500,100,0.445386587,0.031287959
