TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
str,str,str,int,int,float,float
0,1,2,500,2,0.001344908,0.001405099
1,1,2,500,2,0.001383077,0.001379304
2,1,2,500,2,0.001267999,0.001311278
3,1,2,500,2,0.001467394,0.001482196
4,1,2,500,2,0.001395943,0.001449075
0,1,2,500,3,0.020009174,0.012262473
1,1,2,500,3,0.019377155,0.013292926
2,1,2,500,3,0.020917834,0.012642298
3,1,2,500,3,0.019208425,0.013136426
4,1,2,500,3,0.021016468,0.01282953
0,1,2,500,4,0.053241374,0.025382667
1,1,2,500,4,0.054870716,0.024313808
2,1,2,500,4,0.054986445,0.024258427
3,1,2,500,4,0.055989975,0.024048202
4,1,2,500,4,0.0553206,0.025814922
0,1,2,500,5,0.084771361,0.032865584
1,1,2,500,5,0.087914978,0.033450936
2,1,2,500,5,0.08776808,0.033094092
3,1,2,500,5,0.088923477,0.031102107
4,1,2,500,5,0.0894421,0.032184394
0,1,2,500,6,0.124801542,0.035644573
1,1,2,500,6,0.116888537,0.03811485
2,1,2,500,6,0.122031359,0.039606379
3,1,2,500,6,0.118195222,0.034740085
4,1,2,500,6,0.123569875,0.038049679
0,1,2,500,7,0.149526141,0.042050115
1,1,2,500,7,0.148022326,0.040647013
2,1,2,500,7,0.152323114,0.039561101
3,1,2,500,7,0.149453103,0.037810917
4,1,2,500,7,0.143916299,0.03944185
0,1,2,500,8,0.169669288,0.041150747
1,1,2,500,8,0.17043136,0.042647256
2,1,2,500,8,0.178702722,0.039194127
3,1,2,500,8,0.175448465,0.039274316
4,1,2,500,8,0.174352417,0.038518235
0,1,2,500,9,0.200154299,0.043914543
1,1,2,500,9,0.195848539,0.038729669
2,1,2,500,9,0.20173204,0.040313009
3,1,2,500,9,0.196427855,0.039882204
4,1,2,500,9,0.198221958,0.043051121
0,1,2,500,10,0.22040186,0.042341781
1,1,2,500,10,0.21054255,0.039245206
2,1,2,500,10,0.22971032,0.039874365
3,1,2,500,10,0.22123431,0.037188659
4,1,2,500,10,0.22580544,0.040403393
0,1,2,500,20,0.349220865,0.04086807
1,1,2,500,20,0.355784321,0.038245621
2,1,2,500,20,0.366145175,0.036092774
3,1,2,500,20,0.356526848,0.040419732
4,1,2,500,20,0.354158551,0.039996804
0,1,2,500,30,0.443279614,0.034931977
1,1,2,500,30,0.441566423,0.033654893
2,1,2,500,30,0.440509593,0.036641596
3,1,2,500,30,0.440590665,0.035929277
4,1,2,500,30,0.441593269,0.035155527
0,1,2,500,40,0.497972338,0.033973016
1,1,2,500,40,0.495414997,0.033111604
2,1,2,500,40,0.489259545,0.033958165
3,1,2,500,40,0.494586374,0.03178527
4,1,2,500,40,0.483453234,0.033399982
0,1,2,500,50,0.523821371,0.033176754
1,1,2,500,50,0.526377389,0.031162741
