Metric,K,N,Mean,StandardDeviation
str,int,int,float,float
1,5,1,0,0
1,50,1,0,0
1,500,1,0,0
1,5,2,0.159112161,0.280596302
1,50,2,0.039516225,0.032655366
1,500,2,0.004137863,0.004263276
1,5,3,0.598734555,0.168757355
1,50,3,0.146550884,0.067608615
1,500,3,0.044977734,0.023607794
1,5,4,0.488097766,0.096982817
1,50,4,0.203071878,0.072152107
1,500,4,0.099794432,0.036822854
1,5,5,0.698247844,0.137173775
1,50,5,0.266460831,0.061933096
1,500,5,0.149039325,0.047103578
1,5,6,0.610490033,0.231349319
1,50,6,0.317317787,0.087071618
1,500,6,0.193850294,0.047957257
1,5,7,0.72394599,0.092953678
1,50,7,0.346816171,0.067264036
1,500,7,0.223668379,0.047792201
1,5,8,0.674053403,0.0938439
1,50,8,0.348321853,0.074387153
1,500,8,0.260175091,0.048245847
1,5,9,0.657412438,0.191457861
1,50,9,0.405963519,0.059027295
1,500,9,0.281995845,0.048014697
1,5,10,0.595966242,0.019645874
1,50,10,0.416058274,0.072006829
1,500,10,0.308267214,0.04499708
1,5,20,0.796938201,0.042066046
1,50,20,0.547101803,0.063815026
1,500,20,0.449856401,0.035383891
1,5,30,0.79808269,0.078210276
1,50,30,0.607785842,0.048488749
1,500,30,0.52694538,0.033599375
1,5,40,0.839320056,0.036447316
1,50,40,0.675881396,0.039799923
1,500,40,0.571713889,0.030425878
1,5,50,0.884603489,0.039510273
1,50,50,0.696397938,0.041443653
1,500,50,0.609438774,0.028978299
1,5,60,0.84719283,0.084986106
1,50,60,0.713198367,0.04410269
1,500,60,0.638002595,0.026811128
1,5,70,0.861533408,0.029644276
1,50,70,0.729282015,0.042035285
1,500,70,0.658243857,0.027107504
1,5,80,0.871855086,0.024663923
1,50,80,0.761742359,0.032148417
1,500,80,0.675151888,0.023929154
1,5,90,0.851284893,0.049281175
1,50,90,0.752433015,0.04029609
1,500,90,0.69401545,0.02195274
1,5,100,0.828727051,0.056297673
1,50,100,0.771439107,0.027412292
1,500,100,0.707841302,0.020782577
2,5,1,0,0
2,50,1,0,0
2,500,1,0,0
2,5,2,0.320402078,0.417157992
2,50,2,0.032813838,0.026003731
2,500,2,0.003093313,0.003286786
2,5,3,0.501340697,0.118490688
2,50,3,0.133582808,0.068177188
2,500,3,0.039200248,0.021306572
2,5,4,0.497676602,0.225377675
2,50,4,0.218672144,0.076620299
2,500,4,0.094672372,0.035920027
2,5,5,0.717157906,0.139336038
2,50,5,0.283369862,0.077292433
2,500,5,0.148339578,0.039801529
2,5,6,0.642035249,0.120309624
2,50,6,0.331119699,0.066172909
2,500,6,0.194158944,0.045452738
2,5,7,0.67673509,0.09375409
2,50,7,0.348328191,0.070518507
2,500,7,0.232680279,0.046820922
2,5,8,0.733919743,0.112998825
2,50,8,0.40657949,0.056449319
2,500,8,0.263142145,0.049977277
2,5,9,0.730539707,0.096646053
2,50,9,0.433900526,0.064937983
2,500,9,0.298643812,0.044181672
2,5,10,0.71503726,0.089518179
2,50,10,0.442376262,0.059809119
2,500,10,0.322087858,0.046963048
2,5,20,0.746563531,0.063474023
2,50,20,0.592896785,0.052790679
2,500,20,0.483439049,0.036461041
2,5,30,0.860583004,0.051155964
2,50,30,0.663331192,0.039170986
2,500,30,0.559759142,0.032682618
2,5,40,0.845831118,0.032196578
2,50,40,0.701537463,0.037440106
2,500,40,0.605849974,0.031164943
2,5,50,0.872785708,0.072709187
2,50,50,0.725146867,0.036668507
2,500,50,0.640859334,0.02859971
2,5,60,0.89929624,0.016893989
2,50,60,0.741400114,0.029091097
2,500,60,0.669116954,0.024872572
2,5,70,0.881442993,0.033726065
2,50,70,0.764742626,0.033973132
2,500,70,0.690035013,0.024684511
2,5,80,0.900442755,0.031384894
2,50,80,0.772906194,0.03213333
2,500,80,0.707319252,0.02298609
2,5,90,0.884491623,0.018978941
2,50,90,0.790233833,0.02555274
2,500,90,0.722254427,0.02074025
2,5,100,0.904369609,0.020670496
2,50,100,0.79101278,0.023061315
2,500,100,0.733508461,0.020766946
inf,5,1,0,0
inf,50,1,0,0
inf,500,1,0,0
inf,5,2,0.496513422,0.308063491
inf,50,2,0.034983542,0.024574364
inf,500,2,0.004068173,0.00423907
inf,5,3,0.593799077,0.154181902
inf,50,3,0.139485856,0.084409576
inf,500,3,0.046917079,0.024185665
inf,5,4,0.500427447,0.221044401
inf,50,4,0.222307514,0.077781534
inf,500,4,0.105901923,0.041199716
inf,5,5,0.566829066,0.160776684
inf,50,5,0.246340001,0.092147946
inf,500,5,0.159846717,0.046632366
inf,5,6,0.606495493,0.142124926
inf,50,6,0.317418424,0.079660438
inf,500,6,0.196436578,0.050071821
inf,5,7,0.726868681,0.101816154
inf,50,7,0.305496444,0.062071277
inf,500,7,0.229054362,0.04753753
inf,5,8,0.667525545,0.167014007
inf,50,8,0.348396011,0.064380838
inf,500,8,0.256996377,0.050875311
inf,5,9,0.637480412,0.094130943
inf,50,9,0.387517556,0.062845652
inf,500,9,0.275165803,0.047478204
inf,5,10,0.731505145,0.074719092
inf,50,10,0.381742583,0.057240237
inf,500,10,0.290212369,0.050842709
inf,5,20,0.744877508,0.04174465
inf,50,20,0.461208732,0.052123758
inf,500,20,0.37834061,0.048030312
inf,5,30,0.798220169,0.0175109
inf,50,30,0.497942693,0.049761714
inf,500,30,0.412685722,0.038423716
inf,5,40,0.669987547,0.088889702
inf,50,40,0.512622942,0.055060168
inf,500,40,0.440623396,0.037469207
inf,5,50,0.817335884,0.058398585
inf,50,50,0.54002835,0.042891407
inf,500,50,0.449717074,0.03769803
